table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_5_9a,field_company_size_domestic_employees_10_19,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
721,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['355,821', '&nbsp;']","['2,988', 'i']","['5,680', 'i']","['10,249', 'i']","['11,509', '&nbsp;']","['13,602', '&nbsp;']","['13,553', '&nbsp;']","['15,217', '&nbsp;']","['58,094', '&nbsp;']","['38,838', '&nbsp;']","['59,328', '&nbsp;']","['126,763', '&nbsp;']"
721,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['236,132', '&nbsp;']","['898', 'i']","['1,977', 'i']","['4,315', 'i']","['5,116', '&nbsp;']","['7,939', '&nbsp;']","['7,819', '&nbsp;']","['9,913', '&nbsp;']","['41,077', '&nbsp;']","['24,382', '&nbsp;']","['51,932', '&nbsp;']","['80,764', '&nbsp;']"
721,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,838', '&nbsp;']","['35', 'i']","['11', 'i']","['19', 'i']","['41', 'i']","['192', 'i']","['150', '&nbsp;']","['177', '&nbsp;']","['605', '&nbsp;']","['338', '&nbsp;']","['1,271', 'i']","['1,998', '&nbsp;']"
721,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['1,002', '&nbsp;']","['5', 'i']","['*', 'i']","['3', 'i']","['3', 'i']","['9', '&nbsp;']","['D', '&nbsp;']","['7', '&nbsp;']","['D', '&nbsp;']","['161', '&nbsp;']","['39', '&nbsp;']","['594', '&nbsp;']"
721,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['748', '&nbsp;']","['11', 'i']","['20', 'i']","['48', 'i']","['27', 'i']","['46', 'i']","['42', '&nbsp;']","['20', '&nbsp;']","['205', '&nbsp;']","['245', '&nbsp;']","['83', '&nbsp;']","['0', '&nbsp;']"
721,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['195', '&nbsp;']","['2', 'i']","['1', 'i']","['17', 'i']","['16', 'i']","['10', 'i']","['10', 'i']","['38', '&nbsp;']","['39', '&nbsp;']","['64', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
721,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['766', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['14', 'i']","['D', ' ']","['28', 'i']","['D', '&nbsp;']","['23', '&nbsp;']","['66', '&nbsp;']","['123', '&nbsp;']","['446', '&nbsp;']","['27', '&nbsp;']"
721,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['196', 'i']","['D', ' ']","['D', ' ']","['25', 'i']","['D', ' ']","['26', 'i']","['D', ' ']","['15', '&nbsp;']","['61', 'i']","['32', '&nbsp;']","['D', '&nbsp;']","['*', 'i']"
721,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['214', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['30', '&nbsp;']","['10', 'i']","['14', '&nbsp;']","['47', '&nbsp;']","['20', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['68,196', '&nbsp;']","['D', '&nbsp;']","['859', 'i']","['1,796', '&nbsp;']","['2,017', '&nbsp;']","['2,888', '&nbsp;']","['2,838', '&nbsp;']","['2,175', '&nbsp;']","['11,798', '&nbsp;']","['9,328', '&nbsp;']","['21,477', '&nbsp;']","['D', '&nbsp;']"
721,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['3,042', '&nbsp;']","['3', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['141', '&nbsp;']","['D', '&nbsp;']","['360', '&nbsp;']","['130', '&nbsp;']","['D', '&nbsp;']","['505', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,201', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['86', '&nbsp;']","['60', '&nbsp;']","['93', 'i']","['159', '&nbsp;']","['D', '&nbsp;']","['337', '&nbsp;']"
721,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['2', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['27', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['58,675', '&nbsp;']","['D', '&nbsp;']","['663', 'i']","['1,537', '&nbsp;']","['1,695', '&nbsp;']","['2,615', '&nbsp;']","['2,295', '&nbsp;']","['1,924', '&nbsp;']","['9,431', '&nbsp;']","['7,891', '&nbsp;']","['18,056', '&nbsp;']","['D', '&nbsp;']"
721,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['1,398', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['17', '&nbsp;']","['52', '&nbsp;']","['267', '&nbsp;']","['485', '&nbsp;']","['D', '&nbsp;']","['19', '&nbsp;']"
721,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['8', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['8', '&nbsp;']","['543', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['57', '&nbsp;']"
721,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,541', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['68', 'i']","['113', 'i']","['326', 'i']","['205', 'i']","['336', '&nbsp;']","['655', '&nbsp;']","['655', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,259', '&nbsp;']","['9', 'i']","['D', '&nbsp;']","['6', 'i']","['37', 'i']","['78', 'i']","['D', '&nbsp;']","['66', '&nbsp;']","['108', '&nbsp;']","['105', '&nbsp;']","['830', '&nbsp;']","['0', '&nbsp;']"
721,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['628', '&nbsp;']","['1', 'i']","['16', 'i']","['19', 'i']","['25', 'i']","['61', '&nbsp;']","['27', '&nbsp;']","['52', '&nbsp;']","['176', '&nbsp;']","['33', '&nbsp;']","['217', '&nbsp;']","['0', '&nbsp;']"
721,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,261', 'i']","['41', 'i']","['117', 'i']","['219', 'i']","['196', 'i']","['463', 'i']","['265', '&nbsp;']","['188', '&nbsp;']","['459', '&nbsp;']","['236', '&nbsp;']","['78', '&nbsp;']","['0', '&nbsp;']"
721,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,426', '&nbsp;']","['67', 'i']","['216', 'i']","['591', 'i']","['443', 'i']","['632', '&nbsp;']","['678', '&nbsp;']","['937', '&nbsp;']","['3,211', '&nbsp;']","['2,294', '&nbsp;']","['1,013', '&nbsp;']","['3,344', '&nbsp;']"
721,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['1,531', '&nbsp;']","['19', 'i']","['2', 'i']","['20', 'i']","['8', 'i']","['44', '&nbsp;']","['19', 'i']","['57', '&nbsp;']","['71', '&nbsp;']","['177', '&nbsp;']","['0', '&nbsp;']","['1,113', '&nbsp;']"
721,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,214', '&nbsp;']","['1', 'i']","['4', 'i']","['6', '&nbsp;']","['19', '&nbsp;']","['110', '&nbsp;']","['34', '&nbsp;']","['101', '&nbsp;']","['1,724', 'i']","['1,215', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
721,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['2,535', '&nbsp;']","['2', '&nbsp;']","['*', 'i']","['36', 'i']","['21', '&nbsp;']","['30', '&nbsp;']","['104', '&nbsp;']","['18', '&nbsp;']","['119', '&nbsp;']","['291', '&nbsp;']","['0', '&nbsp;']","['1,914', '&nbsp;']"
721,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['6,146', '&nbsp;']","['45', 'i']","['209', 'i']","['530', 'i']","['395', 'i']","['448', '&nbsp;']","['520', '&nbsp;']","['762', '&nbsp;']","['1,296', '&nbsp;']","['611', '&nbsp;']","['1,013', '&nbsp;']","['317', '&nbsp;']"
721,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['72,110', '&nbsp;']","['167', 'i']","['338', 'i']","['841', 'i']","['925', '&nbsp;']","['1,835', '&nbsp;']","['2,301', '&nbsp;']","['3,809', '&nbsp;']","['14,663', '&nbsp;']","['6,502', '&nbsp;']","['12,883', '&nbsp;']","['27,845', '&nbsp;']"
721,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['19,424', '&nbsp;']","['D', '&nbsp;']","['18', 'i']","['D', '&nbsp;']","['153', '&nbsp;']","['319', '&nbsp;']","['D', '&nbsp;']","['1,197', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['30,451', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['321', '&nbsp;']","['841', '&nbsp;']","['1,126', '&nbsp;']","['1,346', '&nbsp;']","['7,270', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['14,128', '&nbsp;']","['85', 'i']","['204', '&nbsp;']","['D', '&nbsp;']","['335', '&nbsp;']","['467', '&nbsp;']","['576', '&nbsp;']","['680', '&nbsp;']","['2,870', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['2,758', '&nbsp;']","['36', 'i']","['139', '&nbsp;']","['75', '&nbsp;']","['112', '&nbsp;']","['194', '&nbsp;']","['345', 'i']","['307', '&nbsp;']","['687', '&nbsp;']","['0', '&nbsp;']","['171', '&nbsp;']","['692', '&nbsp;']"
721,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['7,360', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['18', '&nbsp;']","['D', '&nbsp;']","['38', '&nbsp;']","['21', '&nbsp;']","['701', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['4,011', '&nbsp;']","['46', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['205', '&nbsp;']","['D', '&nbsp;']","['193', '&nbsp;']","['351', '&nbsp;']","['1,482', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['387', '&nbsp;']"
721,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['8,106', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['116', '&nbsp;']","['207', '&nbsp;']","['D', '&nbsp;']","['587', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,335', '&nbsp;']","['21', 'i']","['85', '&nbsp;']","['143', 'i']","['180', '&nbsp;']","['224', '&nbsp;']","['237', '&nbsp;']","['363', 'i']","['848', '&nbsp;']","['543', '&nbsp;']","['1,123', 'i']","['568', '&nbsp;']"
721,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['49,274', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['134', 'i']","['340', '&nbsp;']","['498', '&nbsp;']","['551', '&nbsp;']","['787', '&nbsp;']","['4,811', '&nbsp;']","['2,461', '&nbsp;']","['7,072', '&nbsp;']","['32,498', '&nbsp;']"
721,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['19,078', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['415', '&nbsp;']","['497', '&nbsp;']","['2,902', '&nbsp;']","['D', '&nbsp;']","['2,560', '&nbsp;']","['D', '&nbsp;']"
721,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['27,464', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['39', 'i']","['D', '&nbsp;']","['209', '&nbsp;']","['D', '&nbsp;']","['198', '&nbsp;']","['1,542', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['20,242', '&nbsp;']"
721,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['25,817', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['209', '&nbsp;']","['D', '&nbsp;']","['174', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['20,242', '&nbsp;']"
721,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['1,647', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['24', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['16', '&nbsp;']","['*', 'i']","['*', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['1', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
721,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,716', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['93', '&nbsp;']","['367', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['452', '&nbsp;']","['35', 'i']","['D', '&nbsp;']","['27', 'i']","['D', '&nbsp;']","['32', 'i']","['D', '&nbsp;']","['4', 'i']","['146', '&nbsp;']","['157', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
721,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['13,690', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['581', '&nbsp;']","['D', '&nbsp;']","['868', '&nbsp;']","['D', '&nbsp;']","['1,106', 'i']","['5,181', '&nbsp;']","['D', '&nbsp;']"
721,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['11,382', '&nbsp;']","['D', '&nbsp;']","['135', 'i']","['249', '&nbsp;']","['607', '&nbsp;']","['462', '&nbsp;']","['175', '&nbsp;']","['734', '&nbsp;']","['2,118', '&nbsp;']","['815', 'i']","['5,181', '&nbsp;']","['D', '&nbsp;']"
721,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['2,309', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['119', '&nbsp;']","['D', '&nbsp;']","['134', '&nbsp;']","['D', '&nbsp;']","['291', 'i']","['0', '&nbsp;']","['360', 'i']"
721,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['119,690', '&nbsp;']","['2,090', 'i']","['3,703', 'i']","['5,934', 'i']","['6,393', 'i']","['5,664', '&nbsp;']","['5,734', '&nbsp;']","['5,304', '&nbsp;']","['17,017', '&nbsp;']","['14,456', '&nbsp;']","['7,396', '&nbsp;']","['45,999', '&nbsp;']"
721,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['4,012', '&nbsp;']","['3', 'i']","['38', 'i']","['16', '&nbsp;']","['14', 'i']","['186', '&nbsp;']","['52', '&nbsp;']","['29', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['1,714', '&nbsp;']","['D', '&nbsp;']"
721,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['480', '&nbsp;']","['6', '&nbsp;']","['6', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['*', 'i']","['5', '&nbsp;']","['32', '&nbsp;']","['142', '&nbsp;']","['D', '&nbsp;']","['54', '&nbsp;']"
721,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,768', 'i']","['117', 'i']","['208', 'i']","['764', 'i']","['198', 'i']","['231', 'i']","['97', 'i']","['24', 'i']","['123', 'i']","['6', 'i']","['1', 'i']","['0', '&nbsp;']"
721,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['1,533', 'i']","['31', 'i']","['48', 'i']","['40', 'i']","['*', 'i']","['34', 'i']","['D', '&nbsp;']","['48', 'i']","['6', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
721,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['403', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['226', '&nbsp;']"
721,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['65,513', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['746', 'i']","['1,926', 'i']","['1,753', '&nbsp;']","['2,221', '&nbsp;']","['2,693', '&nbsp;']","['10,299', '&nbsp;']","['11,636', '&nbsp;']","['D', '&nbsp;']","['31,993', '&nbsp;']"
721,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,346', '&nbsp;']","['71', 'i']","['D', '&nbsp;']","['305', 'i']","['1,067', 'i']","['812', '&nbsp;']","['874', '&nbsp;']","['777', '&nbsp;']","['5,993', '&nbsp;']","['4,985', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['98', 'i']","['0', '&nbsp;']","['11', 'i']","['2', 'i']","['2', 'i']","['20', 'i']","['45', '&nbsp;']","['18', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
721,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['33,248', '&nbsp;']","['71', 'i']","['D', '&nbsp;']","['304', 'i']","['1,065', 'i']","['791', '&nbsp;']","['829', '&nbsp;']","['759', '&nbsp;']","['5,993', '&nbsp;']","['4,985', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
721,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,607', '&nbsp;']","['11', 'i']","['D', '&nbsp;']","['54', 'i']","['330', '&nbsp;']","['51', '&nbsp;']","['D', '&nbsp;']","['179', '&nbsp;']","['61', '&nbsp;']","['0', '&nbsp;']","['28', '&nbsp;']","['D', '&nbsp;']"
721,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['9,416', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['480', '&nbsp;']","['817', '&nbsp;']","['1,083', '&nbsp;']","['1,528', '&nbsp;']","['3,223', '&nbsp;']","['D', '&nbsp;']","['1,302', '&nbsp;']","['D', '&nbsp;']"
721,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['19,144', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['50', '&nbsp;']","['73', '&nbsp;']","['D', '&nbsp;']","['209', '&nbsp;']","['1,022', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
721,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['5,366', '&nbsp;']","['2', 'i']","['62', 'i']","['3', '&nbsp;']","['10', '&nbsp;']","['55', '&nbsp;']","['17', '&nbsp;']","['534', '&nbsp;']","['797', '&nbsp;']","['296', '&nbsp;']","['670', '&nbsp;']","['2,921', '&nbsp;']"
721,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['301', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['4', '&nbsp;']","['3', 'i']","['31', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['220', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
721,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['68', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
