table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
3752,r001,All sectors,All sectors,,,,1,119000,1000,127000,1500,100000,500
3752,r002,All sectors -> Science occupations&#160;,All sectors,Science occupations&#160;,,,2,106000,1500,116000,1500,96000,1000
3752,r003,"All sectors -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Science occupations&#160;,"Biological, agricultural, and other life scientist",,3,100000,500,108000,2500,93000,2000
3752,r004,All sectors -> Science occupations&#160; -> Computer and information scientist,All sectors,Science occupations&#160;,Computer and information scientist,,3,149000,2000,149000,500,130000,5500
3752,r005,All sectors -> Science occupations&#160; -> Mathematical scientist,All sectors,Science occupations&#160;,Mathematical scientist,,3,114000,2500,115000,2500,104000,4500
3752,r006,All sectors -> Science occupations&#160; -> Physical scientist,All sectors,Science occupations&#160;,Physical scientist,,3,102000,2500,108000,2000,92000,2500
3752,r007,All sectors -> Science occupations&#160; -> Psychologist,All sectors,Science occupations&#160;,Psychologist,,3,100000,500,105000,3500,95000,2500
3752,r008,All sectors -> Science occupations&#160; -> Social scientist,All sectors,Science occupations&#160;,Social scientist,,3,99000,1500,105000,1000,90000,1500
3752,r009,All sectors -> Engineering occupations&#160;,All sectors,Engineering occupations&#160;,,,2,130000,500,132000,3000,119000,1000
3752,r010,All sectors -> S&E-related occupations&#160;,All sectors,S&E-related occupations&#160;,,,2,130000,500,154000,5000,105000,1000
3752,r011,All sectors -> Non-S&E occupations&#160;,All sectors,Non-S&E occupations&#160;,,,2,138000,3500,156000,4500,114000,3000
3752,r012,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,,,2,95000,500,100000,500,86000,1500
3752,r013,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,,3,89000,1000,93000,1500,80000,1000
3752,r014,"All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,82000,1500,90000,500,73000,2000
3752,r015,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,104000,2500,107000,3000,97000,3500
3752,r016,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,89000,1000,90000,2500,81000,3000
3752,r017,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,85000,1500,88000,3500,79000,2000
3752,r018,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,88000,1500,93000,2500,85000,1500
3752,r019,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,93000,1500,100000,1500,85000,1000
3752,r020,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Engineering occupations&#160;,,3,108000,2000,108000,1500,100000,2000
3752,r021,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,S&E-related occupations&#160;,,3,106000,2500,125000,6500,94000,2500
3752,r022,All sectors -> 4-year educational institution<sup>a</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,4-year educational institution<sup>a</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,120000,2500,140000,5500,100000,3500
3752,r023,All sectors -> Other educational institution<sup>b</sup>&#160;&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,,,2,76000,1500,76000,2000,76000,2000
3752,r024,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,,3,76000,2000,77000,2000,76000,2500
3752,r025,"All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,73000,2500,75000,3500,71000,2500
3752,r026,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,78000,9500,74000,10500,79000,7000
3752,r027,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,79000,4000,77000,16500,81000,3000
3752,r028,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,70000,3000,73000,5000,70000,2500
3752,r029,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,84000,5000,83000,7000,84000,5000
3752,r030,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,76000,2500,76000,3000,75000,3000
3752,r031,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Engineering occupations&#160;,,3,73000,11500,75000,25500,,
3752,r032,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,S&E-related occupations&#160;,,3,65000,3500,66000,5500,65000,4000
3752,r033,All sectors -> Other educational institution<sup>b</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Other educational institution<sup>b</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,94000,4000,112000,6000,87000,4000
3752,r034,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160;",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",,,2,150000,500,150000,2000,130000,1000
3752,r035,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160;",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,,3,140000,2000,150000,500,126000,2500
3752,r036,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,"Biological, agricultural, and other life scientist",4,127000,2500,130000,3500,120000,1500
3752,r037,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,Computer and information scientist,4,160000,2000,165000,4000,149000,1500
3752,r038,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,Mathematical scientist,4,150000,4500,159000,1500,139000,3500
3752,r039,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,Physical scientist,4,133000,2000,135000,2500,120000,3500
3752,r040,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,Psychologist,4,117000,4500,120000,4000,108000,5000
3752,r041,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Science occupations&#160;,Social scientist,4,154000,6500,159000,15000,143000,14500
3752,r042,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Engineering occupations&#160;",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Engineering occupations&#160;,,3,140000,2000,144000,1500,125000,2500
3752,r043,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> S&E-related occupations&#160;",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",S&E-related occupations&#160;,,3,169000,4000,180000,3500,138000,5500
3752,r044,"All sectors -> Private, for profit<sup>c</sup>&#160;&#160; -> Non-S&E occupations&#160;",All sectors,"Private, for profit<sup>c</sup>&#160;&#160;",Non-S&E occupations&#160;,,3,164000,4500,180000,4000,134000,3500
3752,r045,"All sectors -> Private, nonprofit&#160;&#160;",All sectors,"Private, nonprofit&#160;&#160;",,,2,119000,500,130000,3500,105000,3500
3752,r046,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,,3,110000,2500,120000,4000,103000,1500
3752,r047,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,"Biological, agricultural, and other life scientist",4,100000,2500,108000,6500,89000,8500
3752,r048,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Computer and information scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Computer and information scientist,4,137000,13000,144000,10500,118000,8500
3752,r049,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Mathematical scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Mathematical scientist,4,130000,3000,130000,3000,128000,12000
3752,r050,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Physical scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Physical scientist,4,128000,4500,133000,7000,108000,9500
3752,r051,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Psychologist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Psychologist,4,104000,2000,105000,4000,103000,1500
3752,r052,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Social scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Social scientist,4,120000,9000,132000,8500,114000,7500
3752,r053,"All sectors -> Private, nonprofit&#160;&#160; -> Engineering occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Engineering occupations&#160;,,3,137000,7000,142000,7500,128000,6500
