table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_totala,field_basic_researchb,field_applied_researchb,field_developmentb
12301,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['30,161', '  ']","['977', '  ']","['3,671', '  ']","['25,512', '  ']"
12301,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['19,950', '  ']","['933', '  ']","['3,549', '  ']","['15,467', '  ']"
12301,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['D', '  ']","['D', '  ']","['D', '  ']","['124', '  ']"
12301,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12301,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['D', '  ']","['0', '  ']","['0', '  ']","['D', '  ']"
12301,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['23', 'r ']","['2', 'r ']","['2', 'r ']","['20', 'r ']"
12301,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12301,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12301,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12301,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['3,390', '  ']","['185', '  ']","['491', '  ']","['2,713', '  ']"
12301,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['37', '  ']","['D', '&nbsp;']","['8', 'i ']","['D', '&nbsp;']"
