table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_hhs,field_nsf,field_usda
7289,r001,All tribal colleges and universities,All tribal colleges and universities,,1,-,18374.7,1143.5,17071.5,159.7
7289,r002,All tribal colleges and universities -> Salish Kootenai C.,All tribal colleges and universities,Salish Kootenai C.,2,1,4813.0,294.6,4446.0,72.4
7289,r003,All tribal colleges and universities -> Navajo Technical U.,All tribal colleges and universities,Navajo Technical U.,2,2,3991.4,0.0,3991.4,0.0
7289,r004,All tribal colleges and universities -> Nueta Hidatsa Sahnish C.,All tribal colleges and universities,Nueta Hidatsa Sahnish C.,2,3,2607.9,0.0,2607.9,0.0
7289,r005,All tribal colleges and universities -> Chief Dull Knife C.,All tribal colleges and universities,Chief Dull Knife C.,2,4,2220.0,0.0,2220.0,0.0
7289,r006,All tribal colleges and universities -> Turtle Mountain Community C.,All tribal colleges and universities,Turtle Mountain Community C.,2,5,1053.0,0.0,1053.0,0.0
7289,r007,All tribal colleges and universities -> Dine C.,All tribal colleges and universities,Dine C.,2,6,726.8,711.3,15.5,0.0
7289,r008,All tribal colleges and universities -> United Tribes Technical C.,All tribal colleges and universities,United Tribes Technical C.,2,7,642.4,0.0,642.4,0.0
7289,r009,All tribal colleges and universities -> Tohono O'odham Community C.,All tribal colleges and universities,Tohono O'odham Community C.,2,8,515.8,0.0,515.8,0.0
7289,r010,All tribal colleges and universities -> Cankdeska Cikana Community C.,All tribal colleges and universities,Cankdeska Cikana Community C.,2,9,478.3,0.0,478.3,0.0
7289,r011,All tribal colleges and universities -> Nebraska Indian Community C.,All tribal colleges and universities,Nebraska Indian Community C.,2,10,303.4,0.0,303.4,0.0
7289,r012,All tribal colleges and universities -> Aaniiih Nakoda C.,All tribal colleges and universities,Aaniiih Nakoda C.,2,11,248.8,0.0,248.8,0.0
7289,r013,All tribal colleges and universities -> Oglala Lakota C.,All tribal colleges and universities,Oglala Lakota C.,2,12,157.9,137.7,20.2,0.0
7289,r014,All tribal colleges and universities -> Sisseton Wahpeton C.,All tribal colleges and universities,Sisseton Wahpeton C.,2,13,147.2,0.0,147.2,0.0
7289,r015,All tribal colleges and universities -> Northwest Indian C.,All tribal colleges and universities,Northwest Indian C.,2,14,124.0,0.0,124.0,0.0
7289,r016,All tribal colleges and universities -> Blackfeet Community C.,All tribal colleges and universities,Blackfeet Community C.,2,15,117.7,0.0,117.7,0.0
7289,r017,All tribal colleges and universities -> Leech Lake Tribal C.,All tribal colleges and universities,Leech Lake Tribal C.,2,16,100.3,0.0,13.0,87.3
7289,r018,All tribal colleges and universities -> Sitting Bull C.,All tribal colleges and universities,Sitting Bull C.,2,17,99.0,0.0,99.0,0.0
7289,r019,All tribal colleges and universities -> Fort Peck Community C.,All tribal colleges and universities,Fort Peck Community C.,2,18,20.0,0.0,20.0,0.0
7289,r020,All tribal colleges and universities -> C. Menominee Nation,All tribal colleges and universities,C. Menominee Nation,2,19,7.7,0.0,7.7,0.0
