table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
7767,r001,"All occupations, all ages","All occupations, all ages",,,,1,44153000,21594000,22559000,26882000,12652000,14229000,12668000,6974000,5695000,1877000,758000,1119000,2726000,1210000,1516000
7767,r002,"All occupations, all ages -> 29 and younger","All occupations, all ages",29 and younger,,,2,6586000,3615000,2971000,4982000,2615000,2367000,1298000,814000,484000,58000,29000,29000,249000,157000,92000
7767,r003,"All occupations, all ages -> 30&#8211;39","All occupations, all ages",30&#8211;39,,,2,12566000,6284000,6282000,7464000,3533000,3931000,3791000,2102000,1689000,521000,226000,295000,790000,423000,367000
7767,r004,"All occupations, all ages -> 40&#8211;49","All occupations, all ages",40&#8211;49,,,2,10750000,5378000,5373000,5987000,2821000,3166000,3534000,1987000,1547000,508000,216000,291000,722000,353000,369000
7767,r005,"All occupations, all ages -> 50&#8211;75","All occupations, all ages",50&#8211;75,,,2,14251000,6317000,7933000,8449000,3683000,4766000,4045000,2070000,1975000,791000,287000,504000,965000,277000,688000
7767,r006,"All occupations, all ages -> S&E occupations","All occupations, all ages",S&E occupations,,,2,7230000,1998000,5232000,4152000,978000,3174000,2148000,690000,1458000,865000,296000,569000,66000,34000,32000
7767,r007,"All occupations, all ages -> S&E occupations -> 29 and younger","All occupations, all ages",S&E occupations,29 and younger,,3,1430000,444000,986000,1071000,312000,759000,326000,119000,207000,30000,12000,18000,3000,S,
7767,r008,"All occupations, all ages -> S&E occupations -> 30&#8211;39","All occupations, all ages",S&E occupations,30&#8211;39,,3,2351000,649000,1702000,1262000,274000,989000,757000,247000,509000,311000,117000,194000,21000,11000,10000
7767,r009,"All occupations, all ages -> S&E occupations -> 40&#8211;49","All occupations, all ages",S&E occupations,40&#8211;49,,3,1560000,435000,1125000,833000,188000,645000,478000,148000,330000,231000,86000,144000,18000,13000,5000
7767,r010,"All occupations, all ages -> S&E occupations -> 50&#8211;75","All occupations, all ages",S&E occupations,50&#8211;75,,3,1890000,470000,1420000,986000,204000,781000,587000,176000,411000,292000,80000,212000,24000,9000,15000
7767,r011,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",,3,711000,326000,385000,260000,121000,138000,164000,86000,78000,269000,110000,159000,18000,8000,10000
7767,r012,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,4,153000,77000,76000,103000,52000,51000,37000,17000,20000,11000,7000,4000,S,,
7767,r013,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,4,241000,111000,130000,76000,32000,44000,61000,34000,27000,103000,44000,59000,2000,S,1000
7767,r014,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,4,151000,72000,79000,43000,21000,22000,27000,18000,9000,73000,28000,45000,9000,5000,3000
7767,r015,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,4,165000,65000,100000,38000,16000,22000,39000,17000,23000,82000,31000,51000,6000,2000,4000
7767,r016,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists","All occupations, all ages",S&E occupations,Computer and mathematical scientists,,3,3822000,972000,2850000,2455000,566000,1889000,1173000,354000,819000,173000,45000,128000,21000,S,15000
7767,r017,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","All occupations, all ages",S&E occupations,Computer and mathematical scientists,29 and younger,4,706000,187000,518000,548000,136000,412000,152000,51000,101000,6000,S,5000,,,
7767,r018,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Computer and mathematical scientists,30&#8211;39,4,1267000,287000,980000,791000,158000,633000,402000,113000,289000,68000,16000,52000,6000,,6000
7767,r019,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Computer and mathematical scientists,40&#8211;49,4,870000,225000,644000,529000,122000,406000,288000,82000,206000,48000,17000,30000,S,,
7767,r020,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Computer and mathematical scientists,50&#8211;75,4,979000,272000,707000,587000,150000,437000,330000,108000,222000,52000,12000,40000,10000,,S
7767,r021,"All occupations, all ages -> S&E occupations -> Physical and related scientists","All occupations, all ages",S&E occupations,Physical and related scientists,,3,361000,116000,245000,160000,55000,105000,82000,32000,49000,118000,28000,90000,S,,0.05
