table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female
5625,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    30,951 ', '&nbsp;']","['    24,353 ', '&nbsp;']","['    6,598 ', '&nbsp;']"
5625,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    4,306 ', '&nbsp;']","['    3,718 ', '&nbsp;']","['    589 ', '&nbsp;']"
5625,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    13 ', '&nbsp;']","['    10 ', '&nbsp;']","['D', '&nbsp;']"
5625,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5625,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    602 ', '&nbsp;']","['    407 ', '&nbsp;']","['    195 ', '&nbsp;']"
5625,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    357 ', '&nbsp;']","['    233 ', '&nbsp;']","['    124 ', '&nbsp;']"
5625,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    245 ', '&nbsp;']","['    174 ', '&nbsp;']","['    72 ', '&nbsp;']"
5625,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    66 ', 'r']","['    51 ', 'r']","['    16 ', 'r']"
5625,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5625,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    47 ', 'r']","['    36 ', 'r']","['D', '&nbsp;']"
5625,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    462 ', '&nbsp;']","['    410 ', '&nbsp;']","['D', '&nbsp;']"
5625,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    2,330 ', '&nbsp;']","['    2,093 ', '&nbsp;']","['    237 ', '&nbsp;']"
5625,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    535 ', '&nbsp;']","['    481 ', '&nbsp;']","['    53 ', '&nbsp;']"
