table_id,row_id,degree_field_and_country_of_birth_full_path,degree_field_and_country_of_birth_level_1,degree_field_and_country_of_birth_level_2,degree_field_and_country_of_birth_level_3,degree_field_and_country_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
7783,r001,"All foreign-born college graduates, all degree fields","All foreign-born college graduates, all degree fields",,,1,9311000,2261000,1930000,5120000
7783,r002,"All foreign-born college graduates, all degree fields -> India","All foreign-born college graduates, all degree fields",India,,2,1381000,660000,279000,443000
7783,r003,"All foreign-born college graduates, all degree fields -> Philippines","All foreign-born college graduates, all degree fields",Philippines,,2,753000,55000,306000,392000
7783,r004,"All foreign-born college graduates, all degree fields -> China","All foreign-born college graduates, all degree fields",China,,2,666000,306000,128000,233000
7783,r005,"All foreign-born college graduates, all degree fields -> Mexico","All foreign-born college graduates, all degree fields",Mexico,,2,552000,79000,53000,420000
7783,r006,"All foreign-born college graduates, all degree fields -> Canada","All foreign-born college graduates, all degree fields",Canada,,2,364000,66000,60000,239000
7783,r007,"All foreign-born college graduates, all degree fields -> South Korea","All foreign-born college graduates, all degree fields",South Korea,,2,323000,61000,74000,188000
7783,r008,"All foreign-born college graduates, all degree fields -> Germany, not specified","All foreign-born college graduates, all degree fields","Germany, not specified",,2,286000,48000,35000,204000
7783,r009,"All foreign-born college graduates, all degree fields -> Vietnam","All foreign-born college graduates, all degree fields",Vietnam,,2,255000,60000,46000,149000
7783,r010,"All foreign-born college graduates, all degree fields -> Taiwan","All foreign-born college graduates, all degree fields",Taiwan,,2,214000,56000,59000,99000
7783,r011,"All foreign-born college graduates, all degree fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields","United Kingdom, not specified",,2,193000,38000,31000,124000
7783,r012,"All foreign-born college graduates, all degree fields -> Jamaica","All foreign-born college graduates, all degree fields",Jamaica,,2,190000,12000,29000,149000
7783,r013,"All foreign-born college graduates, all degree fields -> Colombia","All foreign-born college graduates, all degree fields",Colombia,,2,188000,18000,32000,138000
7783,r014,"All foreign-born college graduates, all degree fields -> Japan","All foreign-born college graduates, all degree fields",Japan,,2,153000,31000,30000,91000
7783,r015,"All foreign-born college graduates, all degree fields -> Nigeria","All foreign-born college graduates, all degree fields",Nigeria,,2,144000,25000,58000,61000
7783,r016,"All foreign-born college graduates, all degree fields -> Venezuela","All foreign-born college graduates, all degree fields",Venezuela,,2,140000,19000,16000,105000
7783,r017,"All foreign-born college graduates, all degree fields -> Brazil","All foreign-born college graduates, all degree fields",Brazil,,2,140000,27000,15000,97000
7783,r018,"All foreign-born college graduates, all degree fields -> Iran","All foreign-born college graduates, all degree fields",Iran,,2,127000,41000,34000,52000
7783,r019,"All foreign-born college graduates, all degree fields -> Russia","All foreign-born college graduates, all degree fields",Russia,,2,114000,37000,14000,62000
7783,r020,"All foreign-born college graduates, all degree fields -> Pakistan","All foreign-born college graduates, all degree fields",Pakistan,,2,113000,22000,21000,70000
7783,r021,"All foreign-born college graduates, all degree fields -> Hong Kong","All foreign-born college graduates, all degree fields",Hong Kong,,2,110000,26000,16000,69000
7783,r022,"All foreign-born college graduates, all degree fields -> Cuba","All foreign-born college graduates, all degree fields",Cuba,,2,109000,11000,31000,67000
7783,r023,"All foreign-born college graduates, all degree fields -> France","All foreign-born college graduates, all degree fields",France,,2,105000,23000,18000,65000
7783,r024,"All foreign-born college graduates, all degree fields -> Peru","All foreign-born college graduates, all degree fields",Peru,,2,104000,9000,13000,82000
7783,r025,"All foreign-born college graduates, all degree fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Dominican Republic,,2,90000,9000,13000,67000
7783,r026,"All foreign-born college graduates, all degree fields -> Poland","All foreign-born college graduates, all degree fields",Poland,,2,89000,15000,21000,54000
7783,r027,"All foreign-born college graduates, all degree fields -> All other countries","All foreign-born college graduates, all degree fields",All other countries,,2,2408000,509000,500000,1399000
7783,r028,"All foreign-born college graduates, all degree fields -> S&E fields","All foreign-born college graduates, all degree fields",S&E fields,,2,4002000,1902000,607000,1493000
7783,r029,"All foreign-born college graduates, all degree fields -> S&E fields -> India","All foreign-born college graduates, all degree fields",S&E fields,India,3,888000,561000,132000,195000
7783,r030,"All foreign-born college graduates, all degree fields -> S&E fields -> China","All foreign-born college graduates, all degree fields",S&E fields,China,3,439000,273000,68000,97000
7783,r031,"All foreign-born college graduates, all degree fields -> S&E fields -> Mexico","All foreign-born college graduates, all degree fields",S&E fields,Mexico,3,205000,63000,28000,113000
7783,r032,"All foreign-born college graduates, all degree fields -> S&E fields -> Philippines","All foreign-born college graduates, all degree fields",S&E fields,Philippines,3,155000,44000,24000,87000
7783,r033,"All foreign-born college graduates, all degree fields -> S&E fields -> Canada","All foreign-born college graduates, all degree fields",S&E fields,Canada,3,123000,62000,11000,50000
7783,r034,"All foreign-born college graduates, all degree fields -> S&E fields -> South Korea","All foreign-born college graduates, all degree fields",S&E fields,South Korea,3,114000,46000,21000,47000
7783,r035,"All foreign-born college graduates, all degree fields -> S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E fields,Vietnam,3,104000,48000,15000,41000
7783,r036,"All foreign-born college graduates, all degree fields -> S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E fields,Taiwan,3,99000,50000,19000,30000
7783,r037,"All foreign-born college graduates, all degree fields -> S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E fields,"Germany, not specified",3,88000,34000,11000,43000
7783,r038,"All foreign-born college graduates, all degree fields -> S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E fields,"United Kingdom, not specified",3,82000,32000,11000,40000
7783,r039,"All foreign-born college graduates, all degree fields -> S&E fields -> Iran","All foreign-born college graduates, all degree fields",S&E fields,Iran,3,78000,36000,13000,29000
7783,r040,"All foreign-born college graduates, all degree fields -> S&E fields -> Japan","All foreign-born college graduates, all degree fields",S&E fields,Japan,3,64000,25000,6000,32000
7783,r041,"All foreign-born college graduates, all degree fields -> S&E fields -> Russia","All foreign-born college graduates, all degree fields",S&E fields,Russia,3,59000,34000,4000,22000
7783,r042,"All foreign-born college graduates, all degree fields -> S&E fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E fields,Pakistan,3,52000,19000,5000,27000
