table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7298,r001,All consortia,All consortia,,1,435735.8,379906.9,50499.9,35.6,3703.1,1257.5,332.9
7298,r002,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,539.6,539.6,0.0,na,na,na,na
7298,r003,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,3642.6,3493.0,0.0,0.0,149.5,0.0,0.0
7298,r004,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,6760.3,5161.9,0.0,na,na,na,na
7298,r005,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,271215.4,224740.0,46349.6,0.0,125.8,0.0,0.0
7298,r006,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,4150.3,0.0,4150.3,na,na,na,na
7298,r007,All consortia -> Chesapeake Research Consortium Inc.,All consortia,Chesapeake Research Consortium Inc.,2,298.3,0.0,0.0,0.0,298.3,0.0,0.0
7298,r008,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,975.7,975.7,0.0,0.0,0.0,0.0,0.0
7298,r009,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,3049.6,3039.8,0.0,0.0,9.8,0.0,0.0
7298,r010,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,958.5,0.0,0.0,na,na,na,na
7298,r011,All consortia -> Human Relations Area Files,All consortia,Human Relations Area Files,2,1384.3,1384.3,0.0,0.0,0.0,0.0,0.0
7298,r012,All consortia -> ICAMR Inc.,All consortia,ICAMR Inc.,2,2138.8,2138.8,0.0,na,na,na,na
7298,r013,All consortia -> Land Institute,All consortia,Land Institute,2,428.4,428.4,0.0,na,na,na,na
7298,r014,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,662.8,662.8,0.0,0.0,0.0,0.0,0.0
7298,r015,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,1622.5,1599.5,0.0,0.0,23.0,0.0,0.0
7298,r016,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,2,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0
7298,r017,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,318.7,230.2,0.0,0.0,0.0,0.0,88.5
7298,r018,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,2412.3,2412.3,0.0,0.0,0.0,0.0,0.0
7298,r019,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,4707.9,4707.9,0.0,0.0,0.0,0.0,0.0
7298,r020,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,21066.5,20767.5,0.0,0.0,0.0,299.0,0.0
7298,r021,All consortia -> Northwest Center for Alternatives to Pesticides,All consortia,Northwest Center for Alternatives to Pesticides,2,35.2,35.2,0.0,na,na,na,na
7298,r022,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,15977.0,15941.5,0.0,35.6,0.0,0.0,0.0
7298,r023,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1579.0,1579.0,0.0,0.0,0.0,0.0,0.0
7298,r024,All consortia -> Southeastern Universities Research Association,All consortia,Southeastern Universities Research Association,2,37.5,37.5,0.0,0.0,0.0,0.0,0.0
7298,r025,All consortia -> Stephenson Technologies Corp.,All consortia,Stephenson Technologies Corp.,2,4637.2,4637.2,0.0,na,na,na,na
7298,r026,All consortia -> Texas Association of Developing Colleges,All consortia,Texas Association of Developing Colleges,2,94.7,94.7,0.0,0.0,0.0,0.0,0.0
7298,r027,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,69517.1,67774.4,0.0,0.0,1498.2,0.0,244.4
7298,r028,All consortia -> U. Pennsylvania Linguistic Data Consortium,All consortia,U. Pennsylvania Linguistic Data Consortium,2,2335.6,2335.6,0.0,0.0,0.0,0.0,0.0
7298,r029,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,14190.1,14190.1,0.0,0.0,0.0,0.0,0.0
