table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
3931,r001,All agencies surveyed,All agencies surveyed,,,,1,261289.2,19729.7,37568.7,10281.0,16154.8,177555.1
3931,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,,
3931,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,27822.6,0.0,19780.2,0.0,7970.2,72.2
3931,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,152.8,0.0,152.8,0.0,0.0,0.0
3931,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,142.2,0.0,20.0,0.0,50.0,72.2
3931,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,27527.6,0.0,19607.4,0.0,7920.2,0.0
3931,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,21377.9,0.0,0.0,0.0,0.0,21377.9
3931,r008,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,2600.6,0.0,0.0,0.0,0.0,2600.6
3931,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,2306.1,0.0,0.0,0.0,0.0,2306.1
3931,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,4373.0,0.0,0.0,0.0,0.0,4373.0
3931,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,12098.1,0.0,0.0,0.0,0.0,12098.1
3931,r012,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,42775.3,0.0,0.0,0.0,0.0,42775.3
3931,r013,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,42775.3,0.0,0.0,0.0,0.0,42775.3
3931,r014,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,,
3931,r015,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,169313.5,19729.7,17788.5,10281.0,8184.5,113329.7
