table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3147,r001,All HBCUs,All HBCUs,,1,-,"['508,537', '']","['371,149', '']","['39,900', '']","['81,044', '']","['6,904', '']","['7,000', '']","['2,540', '']"
3147,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['44,163', '']","['29,978', '']","['1,478', '']","['8,386', '']","['3,685', '']","['636', '']","['0', '']"
3147,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['42,470', '']","['35,362', '']","['1,647', '']","['4,651', '']","['543', '']","['267', '']","['0', '']"
3147,r004,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,3,"['37,339', '']","['23,863', '']","['347', '']","['12,615', '']","['208', '']","['208', '']","['98', '']"
3147,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['31,289', '']","['22,461', '']","['457', '']","['6,555', '']","['0', '']","['1,816', '']","['0', '']"
3147,r006,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,5,"['23,017', '']","['12,179', '']","['498', '']","['10,315', '']","['25', '']","['0', '']","['0', '']"
3147,r007,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,6,"['20,562', '']","['14,825', '']","['2,573', '']","['2,653', '']","['0', '']","['0', '']","['511', '']"
3147,r008,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,7,"['18,286', '']","['16,443', '']","['0', '']","['921', '']","['50', '']","['872', '']","['0', '']"
3147,r009,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,8,"['18,160', '']","['16,259', '']","['0', '']","['1,438', '']","['0', '']","['347', '']","['116', '']"
3147,r010,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,9,"['18,018', '']","['9,346', '']","['4,886', '']","['3,454', '']","['221', '']","['111', '']","['0', '']"
3147,r011,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,10,"['16,227', '']","['13,503', '']","['233', '']","['NA', '']","['262', '']","['980', '']","['1,249', '']"
3147,r012,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,11,"['15,236', '']","['8,962', '']","['752', '']","['5,443', '']","['66', '']","['13', '']","['0', '']"
3147,r013,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,12,"['14,435', '']","['7,540', '']","['4,725', '']","['2,133', '']","['37', '']","['0', '']","['0', '']"
3147,r014,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,13,"['13,605', '']","['13,390', '']","['0', '']","['215', '']","['0', '']","['0', '']","['0', '']"
3147,r015,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,14,"['13,253', '']","['11,952', '']","['336', '']","['507', '']","['278', '']","['58', '']","['122', '']"
3147,r016,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,15,"['12,840', '']","['8,277', '']","['4,405', '']","['19', '']","['139', '']","['0', '']","['0', '']"
3147,r017,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,16,"['12,236', '']","['10,445', '']","['359', '']","['1,385', '']","['47', '']","['0', '']","['0', '']"
3147,r018,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,17,"['11,457', '']","['6,636', '']","['1,527', '']","['2,262', '']","['71', '']","['954', '']","['7', '']"
3147,r019,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,18,"['10,719', '']","['6,622', '']","['0', '']","['3,856', '']","['241', '']","['0', '']","['0', '']"
3147,r020,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,19,"['10,152', '']","['8,679', '']","['514', '']","['932', '']","['0', '']","['27', '']","['0', '']"
