table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_1989_number,field_1989_percent,field_1994_number,field_1994_percent,field_1999_number,field_1999_percent,field_2004_number,field_2004_percent,field_2009_number,field_2009_percent,field_2014_number,field_2014_percent,field_2019_number,field_2019_percent
2810,r001,All fields,All fields,,,1,34325,100.0,41034,100.0,41100,100.0,42122,100.0,49552,100.0,53986,100.0,55703,100.0
2810,r002,All fields -> Life sciences,All fields,Life sciences,,2,6410,18.7,7800,19.0,8204,20.0,8813,20.9,11403,23.0,12484,23.1,12781,22.9
2810,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,1320,3.8,1301,3.2,1216,3.0,1155,2.7,1283,2.6,1338,2.5,1491,2.7
2810,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,4116,12.0,5203,12.7,5581,13.6,5940,14.1,8025,16.2,8868,16.4,8702,15.6
2810,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,974,2.8,1296,3.2,1407,3.4,1718,4.1,2095,4.2,2278,4.2,2588,4.6
2810,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3916,11.4,4740,11.6,4285,10.4,4023,9.6,5160,10.4,5910,10.9,6585,11.8
2810,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,1970,5.7,2257,5.5,2132,5.2,1986,4.7,2391,4.8,2673,5.0,2941,5.3
2810,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,672,2.0,791,1.9,723,1.8,686,1.6,877,1.8,1098,2.0,1274,2.3
2810,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1274,3.7,1692,4.1,1430,3.5,1351,3.2,1892,3.8,2139,4.0,2370,4.3
2810,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1471,4.3,2021,4.9,1939,4.7,2024,4.8,3163,6.4,3862,7.2,4240,7.6
2810,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,612,1.8,903,2.2,856,2.1,948,2.3,1610,3.2,1988,3.7,2228,4.0
2810,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics,All fields,Mathematics and computer sciences,Mathematics and statistics,3,859,2.5,1118,2.7,1083,2.6,1076,2.6,1553,3.1,1874,3.5,2012,3.6
2810,r013,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6225,18.1,6923,16.9,7389,18.0,7158,17.0,7945,16.0,8748,16.2,9071,16.3
2810,r014,All fields -> Psychology and social sciences -> Psychology,All fields,Psychology and social sciences,Psychology,3,3208,9.3,3379,8.2,3668,8.9,3327,7.9,3472,7.0,3724,6.9,3936,7.1
2810,r015,All fields -> Psychology and social sciences -> Anthropology,All fields,Psychology and social sciences,Anthropology,3,325,0.9,384,0.9,462,1.1,531,1.3,503,1.0,523,1.0,445,0.8
2810,r016,All fields -> Psychology and social sciences -> Economics,All fields,Psychology and social sciences,Economics,3,898,2.6,939,2.3,926,2.3,959,2.3,1118,2.3,1196,2.2,1247,2.2
2810,r017,All fields -> Psychology and social sciences -> Political science and government,All fields,Psychology and social sciences,Political science and government,3,430,1.3,589,1.4,655,1.6,587,1.4,682,1.4,775,1.4,707,1.3
