table_id,row_id,fos_item_full_path,fos_item_level_1,fos_item_level_2,fos_item_hierarchy_depth,field_2020_sed_fos_codes,field_2021_sed_cip_codes,field_change
7649,r001,Total ,Total ,,1,7047,3448,-3599
7649,r002,Total  -> Associate's degree,Total ,Associate's degree,2,188,52,-136
7649,r003,Total  -> Bachelor's degree,Total ,Bachelor's degree,2,840,420,-420
7649,r004,Total  -> Master's degree,Total ,Master's degree,2,1352,524,-828
7649,r005,Total  -> Doctoral degree,Total ,Doctoral degree,2,1625,856,-769
7649,r006,Total  -> Dissertation research,Total ,Dissertation research,2,3042,1596,-1446
