table_id,row_id,region_country_or_economy_and_field_full_path,region_country_or_economy_and_field_level_1,region_country_or_economy_and_field_level_2,region_country_or_economy_and_field_level_3,region_country_or_economy_and_field_level_4,region_country_or_economy_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1572,r001,Argentina,Argentina,,,,1,,,,,,,,,,,,,,,,,
1572,r002,Argentina -> All fields,Argentina,All fields,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,937,1518,1674,2088,2088,2406,NA
1572,r003,Argentina -> All fields -> All S&E,Argentina,All fields,All S&E,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,1122,1203,1726,1726,1716,NA
1572,r004,Argentina -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Argentina,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,590,709,934,934,904,NA
1572,r005,Argentina -> All fields -> All S&E -> Computer sciences,Argentina,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,83,19,NA,NA,28,NA
1572,r006,Argentina -> All fields -> All S&E -> Agricultural sciences,Argentina,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,106,82,87,87,99,NA
1572,r007,Argentina -> All fields -> All S&E -> Social and behavioral sciences,Argentina,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,221,305,551,551,527,NA
1572,r008,Argentina -> All fields -> All S&E -> Engineering,Argentina,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,122,88,154,154,158,NA
1572,r009,Australia,Australia,,,,1,,,,,,,,,,,,,,,,,
1572,r010,Australia -> All fields,Australia,All fields,,,2,3687,3802,3910,4315,4763,4886,5276,5559,5749,5808,5825,6079,NA,8101,8400,8627,9089
1572,r011,Australia -> All fields -> All S&E,Australia,All fields,All S&E,,3,2086,2122,2185,2328,2611,2642,2866,3090,3364,3226,3189,3434,NA,4576,4865,5011,5285
1572,r012,Australia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Australia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,992,922,1014,1006,1131,1129,1134,1228,1302,1295,1301,1306,NA,1621,1668,1900,1988
1572,r013,Australia -> All fields -> All S&E -> Computer sciences,Australia,All fields,All S&E,Computer sciences,4,98,107,98,99,94,112,158,171,228,218,197,229,NA,315,311,327,346
1572,r014,Australia -> All fields -> All S&E -> Agricultural sciences,Australia,All fields,All S&E,Agricultural sciences,4,211,198,186,197,228,193,212,221,251,219,230,280,NA,306,300,353,406
1572,r015,Australia -> All fields -> All S&E -> Social and behavioral sciences,Australia,All fields,All S&E,Social and behavioral sciences,4,309,377,430,486,572,572,635,709,737,704,682,762,NA,998,1088,1040,1043
1572,r016,Australia -> All fields -> All S&E -> Engineering,Australia,All fields,All S&E,Engineering,4,476,518,457,540,586,636,727,761,846,790,779,857,NA,1336,1498,1391,1502
1572,r017,Austria,Austria,,,,1,,,,,,,,,,,,,,,,,
1572,r018,Austria -> All fields,Austria,All fields,,,2,1790,1871,2125,2197,2443,2228,2158,2085,2205,2284,2500,2359,2412,2228,2207,2189,2239
1572,r019,Austria -> All fields -> All S&E,Austria,All fields,All S&E,,3,986,1059,1149,1107,1188,1222,1209,1178,1248,1321,1384,1369,1414,1330,1305,1243,1316
1572,r020,Austria -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Austria,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,359,384,431,377,373,418,415,370,397,461,463,454,440,493,416,431,440
1572,r021,Austria -> All fields -> All S&E -> Computer sciences,Austria,All fields,All S&E,Computer sciences,4,53,21,67,63,71,74,61,59,93,99,129,96,139,111,114,113,113
1572,r022,Austria -> All fields -> All S&E -> Agricultural sciences,Austria,All fields,All S&E,Agricultural sciences,4,85,92,135,135,97,101,80,103,115,103,96,93,80,71,56,67,70
1572,r023,Austria -> All fields -> All S&E -> Social and behavioral sciences,Austria,All fields,All S&E,Social and behavioral sciences,4,149,162,171,210,250,224,220,212,206,230,235,262,271,223,209,166,158
1572,r024,Austria -> All fields -> All S&E -> Engineering,Austria,All fields,All S&E,Engineering,4,340,400,345,322,397,405,433,434,437,428,461,464,484,433,512,467,537
1572,r025,Belgium,Belgium,,,,1,,,,,,,,,,,,,,,,,
1572,r026,Belgium -> All fields,Belgium,All fields,,,2,1147,1317,1413,1432,1479,1601,1718,1716,1880,1902,2126,2165,2368,2464,2581,2800,2890
1572,r027,Belgium -> All fields -> All S&E,Belgium,All fields,All S&E,,3,807,891,907,914,944,1021,1091,1042,1179,947,1281,1313,1431,1546,1575,1677,1662
1572,r028,Belgium -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Belgium,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,479,519,468,564,592,509,493,439,651,312,422,438,464,455,504,804,590
1572,r029,Belgium -> All fields -> All S&E -> Computer sciences,Belgium,All fields,All S&E,Computer sciences,4,0.05,2,80,62,66,65,66,112,82,11,54,58,55,67,64,2,16
1572,r030,Belgium -> All fields -> All S&E -> Agricultural sciences,Belgium,All fields,All S&E,Agricultural sciences,4,66,77,76,85,75,71,89,84,109,109,111,105,115,133,135,73,86
1572,r031,Belgium -> All fields -> All S&E -> Social and behavioral sciences,Belgium,All fields,All S&E,Social and behavioral sciences,4,109,124,120,119,122,126,157,130,153,118,193,205,238,264,266,273,303
1572,r032,Belgium -> All fields -> All S&E -> Engineering,Belgium,All fields,All S&E,Engineering,4,153,169,163,84,89,250,286,277,184,397,501,507,559,627,606,525,667
1572,r033,Brazil,Brazil,,,,1,,,,,,,,,,,,,,,,,
1572,r034,Brazil -> All fields,Brazil,All fields,,,2,NA,NA,NA,NA,35742,36042,NA,9919,10711,11256,11314,12321,13912,NA,16745,18625,20605
1572,r035,Brazil -> All fields -> All S&E,Brazil,All fields,All S&E,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9124,9414,10469
1572,r036,Brazil -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Brazil,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2798,2899,3143
1572,r037,Brazil -> All fields -> All S&E -> Computer sciences,Brazil,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,289,332
1572,r038,Brazil -> All fields -> All S&E -> Agricultural sciences,Brazil,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941,2116,2389
1572,r039,Brazil -> All fields -> All S&E -> Social and behavioral sciences,Brazil,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302,1396,1544
1572,r040,Brazil -> All fields -> All S&E -> Engineering,Brazil,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2859,2714,3061
1572,r041,Bulgaria,Bulgaria,,,,1,,,,,,,,,,,,,,,,,
1572,r042,Bulgaria -> All fields,Bulgaria,All fields,,,2,NA,NA,NA,NA,NA,528,NA,NA,NA,NA,596,NA,NA,1202,1363,1442,1464
1572,r043,Bulgaria -> All fields -> All S&E,Bulgaria,All fields,All S&E,,3,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,313,NA,NA,561,692,710,634
1572,r044,Bulgaria -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Bulgaria,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,84,NA,NA,140,174,191,176
1572,r045,Bulgaria -> All fields -> All S&E -> Computer sciences,Bulgaria,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,7,NA,NA,25,33,36,18
1572,r046,Bulgaria -> All fields -> All S&E -> Agricultural sciences,Bulgaria,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,20,NA,NA,37,47,61,43
1572,r047,Bulgaria -> All fields -> All S&E -> Social and behavioral sciences,Bulgaria,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,66,NA,NA,135,177,167,162
1572,r048,Bulgaria -> All fields -> All S&E -> Engineering,Bulgaria,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,136,NA,NA,224,261,255,235
1572,r049,Canada,Canada,,,,1,,,,,,,,,,,,,,,,,
1572,r050,Canada -> All fields,Canada,All fields,,,2,3978,NA,NA,NA,3709,4116,4200,4608,4827,5440,5416,5673,5906,7059,7190,7546,7768
1572,r051,Canada -> All fields -> All S&E,Canada,All fields,All S&E,,3,2281,NA,NA,NA,2198,2433,2427,3105,3444,3879,3884,4060,4307,5187,5075,5325,5556
1572,r052,Canada -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Canada,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,830,NA,NA,NA,854,945,873,1347,1554,1746,1746,1756,1925,2299,1947,2043,2083
1572,r053,Canada -> All fields -> All S&E -> Computer sciences,Canada,All fields,All S&E,Computer sciences,4,72,NA,NA,NA,50,96,117,147,150,180,182,227,238,283,259,272,251
1572,r054,Canada -> All fields -> All S&E -> Agricultural sciences,Canada,All fields,All S&E,Agricultural sciences,4,138,NA,NA,NA,145,153,138,120,129,135,135,164,157,188,203,213,248
1572,r055,Canada -> All fields -> All S&E -> Social and behavioral sciences,Canada,All fields,All S&E,Social and behavioral sciences,4,662,NA,NA,NA,662,612,663,744,720,783,785,818,855,1027,1215,1276,1341
1572,r056,Canada -> All fields -> All S&E -> Engineering,Canada,All fields,All S&E,Engineering,4,579,NA,NA,NA,487,627,636,747,891,1035,1036,1095,1132,1391,1451,1522,1632
1572,r057,Chile,Chile,,,,1,,,,,,,,,,,,,,,,,
1572,r058,Chile -> All fields,Chile,All fields,,,2,NA,NA,NA,NA,188,85,290,217,307,368,423,461,538,593,606,670,699
1572,r059,Chile -> All fields -> All S&E,Chile,All fields,All S&E,,3,NA,NA,NA,NA,158,59,249,166,234,275,327,335,387,436,408,469,495
1572,r060,Chile -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Chile,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,149,49,148,122,147,183,223,198,231,215,205,254,278
1572,r061,Chile -> All fields -> All S&E -> Computer sciences,Chile,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,0.05,0.05,1,1,6,2,2,6,4,22,9,11,13
1572,r062,Chile -> All fields -> All S&E -> Agricultural sciences,Chile,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,3,0.05,9,9,38,29,29,34,44,50,46,53,58
1572,r063,Chile -> All fields -> All S&E -> Social and behavioral sciences,Chile,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,3,1,36,10,13,21,21,29,30,32,53,48,50
1572,r064,Chile -> All fields -> All S&E -> Engineering,Chile,All fields,All S&E,Engineering,4,NA,NA,NA,NA,3,9,55,24,30,40,52,68,78,117,96,103,96
1572,r065,China<sup>a</sup>,China<sup>a</sup>,,,,1,,,,,,,,,,,,,,,,,
1572,r066,China<sup>a</sup> -> All fields,China<sup>a</sup>,All fields,,,2,11383,12465,14638,18806,23446,27677,36247,41464,43759,48658,48987,50289,51713,53139,53653,53778,NA
1572,r067,China<sup>a</sup> -> All fields -> All S&E,China<sup>a</sup>,All fields,All S&E,,3,7766,8153,9523,12238,14858,17595,22953,26582,28439,31423,31410,32208,32331,33490,34103,34440,NA
1572,r068,China<sup>a</sup> -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,China<sup>a</sup>,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,2306,2655,2808,3705,4518,5458,7241,8051,8953,9570,9638,9881,9762,10396,10922,10978,NA
1572,r069,China<sup>a</sup> -> All fields -> All S&E -> Computer sciences,China<sup>a</sup>,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,r070,China<sup>a</sup> -> All fields -> All S&E -> Agricultural sciences,China<sup>a</sup>,All fields,All S&E,Agricultural sciences,4,462,536,626,756,977,1093,1544,1903,1936,2006,1973,2241,2365,2435,2382,2549,NA
1572,r071,China<sup>a</sup> -> All fields -> All S&E -> Social and behavioral sciences,China<sup>a</sup>,All fields,All S&E,Social and behavioral sciences,4,514,621,837,1204,1309,1617,2038,2149,2274,2461,2371,2383,2314,2328,2262,2184,NA
1572,r072,China<sup>a</sup> -> All fields -> All S&E -> Engineering,China<sup>a</sup>,All fields,All S&E,Engineering,4,4484,4341,5252,6573,8054,9427,12130,14479,15276,17386,17428,17703,17890,18331,18537,18729,NA
1572,r073,Colombia,Colombia,,,,1,,,,,,,,,,,,,,,,,
1572,r074,Colombia -> All fields,Colombia,All fields,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,323,408,466,600
1572,r075,Colombia -> All fields -> All S&E,Colombia,All fields,All S&E,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,214,262,300,395
1572,r076,Colombia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Colombia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,79,90,106,139
1572,r077,Colombia -> All fields -> All S&E -> Computer sciences,Colombia,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,9,15,17
