table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10102,r001,All R&D fields,All R&D fields,,,,1,61286610,65274393,65729007,66977566,67161428,68519962,71736671,75148301,79024262,83488120,86302262,89694837,97680528
10102,r002,All R&D fields -> Science,All R&D fields,Science,,,2,49061829,51955427,51914870,52608816,52761785,53843479,56236111,58936243,62018905,65419110,67563860,70288825,76226286
10102,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1638047,1742486,1822321,2067869,1927578,1962053,2079440,2192315,2397625,2637165,2924673,2952940,3224949
10102,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2991741,3153174,3173011,3195029,3227092,3246105,3082816,3147878,3159553,3185919,3281415,3294584,3690235
10102,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,429354,481275,476729,493385,501517,573913,626676,623504,608041,590385,612496,624278,668918
10102,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1083969,1142630,1168945,1163446,1159067,1113536,997666,1084087,1131923,1121261,1159394,1241621,1370650
10102,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1021857,1049630,1025472,1051418,1071370,1049538,1097963,1098634,1061402,1100768,1136721,1035249,1211130
10102,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,456561,479639,501865,486780,495138,509118,360511,341653,358187,373505,372804,393436,439537
10102,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,34984249,37337522,37200171,37556765,37938741,38769105,40859076,43098275,45606391,48226684,49614879,52349524,56498207
10102,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3011150,3116840,3300098,3347687,3381853,3479612,3287685,3274597,3307251,3426773,3625348,3552705,3935731
