table_id,row_id,field_and_institution_full_path,field_and_institution_level_1,field_and_institution_level_2,field_and_institution_level_3,field_and_institution_hierarchy_depth,field_rank,field_total,field_male,field_female
2800,r001,Life sciences<sup>a</sup>,Life sciences<sup>a</sup>,,,1,-,12781,5819,6961
2800,r002,Life sciences<sup>a</sup> -> From top 20 institutions,Life sciences<sup>a</sup>,From top 20 institutions,,2,-,3584,1558,2026
2800,r003,Life sciences<sup>a</sup> -> From top 20 institutions -> Harvard U.,Life sciences<sup>a</sup>,From top 20 institutions,Harvard U.,3,1,269,133,136
2800,r004,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Florida,Life sciences<sup>a</sup>,From top 20 institutions,U. Florida,3,2,248,100,148
2800,r005,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Wisconsin-Madison,Life sciences<sup>a</sup>,From top 20 institutions,U. Wisconsin-Madison,3,3,226,112,114
2800,r006,Life sciences<sup>a</sup> -> From top 20 institutions -> Johns Hopkins U.,Life sciences<sup>a</sup>,From top 20 institutions,Johns Hopkins U.,3,4,222,86,136
2800,r007,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Washington, Seattle",Life sciences<sup>a</sup>,From top 20 institutions,"U. Washington, Seattle",3,5,221,88,133
2800,r008,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Davis",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Davis",3,6,203,93,110
2800,r009,"Life sciences<sup>a</sup> -> From top 20 institutions -> Ohio State U., Columbus",Life sciences<sup>a</sup>,From top 20 institutions,"Ohio State U., Columbus",3,7,191,90,101
2800,r010,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Minnesota, Twin Cities",Life sciences<sup>a</sup>,From top 20 institutions,"U. Minnesota, Twin Cities",3,8,188,85,103
2800,r011,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. North Carolina, Chapel Hill",Life sciences<sup>a</sup>,From top 20 institutions,"U. North Carolina, Chapel Hill",3,9,176,62,114
2800,r012,"Life sciences<sup>a</sup> -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Life sciences<sup>a</sup>,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,10,169,86,83
2800,r013,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Michigan, Ann Arbor",Life sciences<sup>a</sup>,From top 20 institutions,"U. Michigan, Ann Arbor",3,11,166,75,91
2800,r014,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Los Angeles",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Los Angeles",3,12,164,77,87
2800,r015,Life sciences<sup>a</sup> -> From top 20 institutions -> Walden U.,Life sciences<sup>a</sup>,From top 20 institutions,Walden U.,3,13,161,42,119
2800,r016,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Georgia,Life sciences<sup>a</sup>,From top 20 institutions,U. Georgia,3,14,156,78,78
2800,r017,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Berkeley",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Berkeley",3,15,145,58,87
2800,r018,Life sciences<sup>a</sup> -> From top 20 institutions -> Michigan State U.,Life sciences<sup>a</sup>,From top 20 institutions,Michigan State U.,3,16,143,66,77
2800,r019,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Life sciences<sup>a</sup>,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,16,143,62,81
2800,r020,"Life sciences<sup>a</sup> -> From top 20 institutions -> Purdue U., West Lafayette",Life sciences<sup>a</sup>,From top 20 institutions,"Purdue U., West Lafayette",3,18,139,60,79
2800,r021,"Life sciences<sup>a</sup> -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Life sciences<sup>a</sup>,From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,19,128,54,74
2800,r022,Life sciences<sup>a</sup> -> From top 20 institutions -> Columbia U. in the City of New York,Life sciences<sup>a</sup>,From top 20 institutions,Columbia U. in the City of New York,3,20,126,51,75
2800,r023,Physical sciences and earth sciences,Physical sciences and earth sciences,,,1,-,6585,4368,2213
2800,r024,Physical sciences and earth sciences -> From top 20 institutions,Physical sciences and earth sciences,From top 20 institutions,,2,-,1939,1311,626
2800,r025,"Physical sciences and earth sciences -> From top 20 institutions -> U. California, Berkeley",Physical sciences and earth sciences,From top 20 institutions,"U. California, Berkeley",3,1,146,91,55
2800,r026,Physical sciences and earth sciences -> From top 20 institutions -> Stanford U.,Physical sciences and earth sciences,From top 20 institutions,Stanford U.,3,2,136,97,39
2800,r027,Physical sciences and earth sciences -> From top 20 institutions -> Massachusetts Institute of Technology,Physical sciences and earth sciences,From top 20 institutions,Massachusetts Institute of Technology,3,3,129,88,41
2800,r028,Physical sciences and earth sciences -> From top 20 institutions -> Harvard U.,Physical sciences and earth sciences,From top 20 institutions,Harvard U.,3,4,126,78,48
2800,r029,"Physical sciences and earth sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Physical sciences and earth sciences,From top 20 institutions,"U. Michigan, Ann Arbor",3,5,125,75,50
2800,r030,"Physical sciences and earth sciences -> From top 20 institutions -> U. Texas, Austin",Physical sciences and earth sciences,From top 20 institutions,"U. Texas, Austin",3,6,107,79,28
2800,r031,"Physical sciences and earth sciences -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Physical sciences and earth sciences,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,7,96,68,28
