table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_total_number,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_number,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_number,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_number,field_science_mathematics_and_statistics_se,field_science_physical_sciences_number,field_science_physical_sciences_se,field_science_psychology_number,field_science_psychology_se,field_science_social_sciences_number,field_science_social_sciences_se,field_engineering_number,field_engineering_se,field_health_number,field_health_se
3694,r001,All locations,All locations,,,1,857200,1975,640300,1900,220700,1100,31100,400,36650,450,133750,950,115350,825,102700,900,176700,1175,40200,475
3694,r002,All locations -> New England,All locations,New England,,2,77100,1375,60300,1250,23450,800,2250,225,3150,275,12900,525,9200,550,9350,450,13400,575,3400,275
3694,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,12900,550,10050,525,3150,300,200,75,550,125,2300,275,2200,250,1650,200,2350,275,500,125
3694,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,2750,300,2500,275,750,150,50,25,100,50,500,125,550,150,550,125,150,50,100,50
3694,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,52350,1150,40350,1050,17250,725,1850,200,2150,250,9050,425,4700,400,5400,350,9550,500,2450,250
3694,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,3450,325,2750,300,1050,225,S,S,S,S,350,100,600,150,550,100,550,125,150,50
3694,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,3400,250,2800,225,700,125,,,150,75,400,100,700,150,800,150,500,150,150,50
3694,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,2300,250,1900,225,600,125,,,100,50,300,100,450,125,400,125,350,100,50,50
3694,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,117450,1875,92750,1725,29200,925,4650,325,6600,375,18150,700,18400,700,15750,600,19150,650,5550,400
3694,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,23700,875,17900,750,5900,450,950,175,1500,225,4800,350,2850,300,1950,250,4300,400,1500,225
3694,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,59150,1150,48050,1050,13650,625,2800,275,3450,300,7750,450,10800,550,9600,475,8950,500,2150,250
3694,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,34600,975,26750,850,9650,500,900,150,1700,150,5600,325,4750,350,4150,325,5900,425,1900,225
3694,r013,All locations -> East North Central,All locations,East North Central,,2,100900,1550,75450,1275,25550,675,2700,275,4400,300,16300,625,13850,600,12600,525,20300,800,5150,350
3694,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,28900,875,21900,775,6350,400,850,150,1300,175,5400,450,4050,325,3900,300,5550,425,1500,200
3694,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,13450,575,10150,450,4050,325,550,150,750,150,1700,225,1450,200,1650,250,2500,275,800,150
3694,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,21450,725,14900,575,4950,350,600,150,750,125,2650,250,3400,300,2550,275,5650,375,900,150
3694,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,24950,800,18900,650,6400,350,500,100,1000,175,4700,325,3350,275,3000,250,4700,425,1350,175
3694,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,12150,575,9650,500,3850,325,250,100,600,125,1850,225,1600,175,1500,175,1900,225,650,125
3694,r019,All locations -> West North Central,All locations,West North Central,,2,48750,1175,38150,1025,15150,650,1000,175,2250,250,6350,450,7850,525,5550,300,7550,475,3100,250
3694,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,6850,400,5550,400,2250,275,250,100,450,125,900,225,950,150,700,125,1050,175,300,125
3694,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,5500,350,4250,300,1450,200,100,75,200,75,600,125,1050,150,850,150,900,200,400,100
3694,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,16100,725,11750,575,4050,325,350,100,700,125,2600,250,2450,275,1600,175,3050,350,1350,175
3694,r023,All locations -> West North Central -> Missouri,All locations,West North Central,Missouri,3,12650,575,10350,550,4500,350,200,75,650,175,1600,225,1750,250,1650,175,1750,200,550,100
3694,r024,All locations -> West North Central -> Nebraska,All locations,West North Central,Nebraska,3,4500,325,3700,300,1650,200,,,150,50,350,125,1050,200,450,125,500,125,300,100
3694,r025,All locations -> West North Central -> North Dakota,All locations,West North Central,North Dakota,3,1350,175,1100,150,550,125,,,,,100,50,200,100,100,50,200,100,100,50
3694,r026,All locations -> West North Central -> South Dakota,All locations,West North Central,South Dakota,3,1700,225,1500,200,650,150,,,100,50,150,50,400,125,200,75,100,50,100,50
