table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
4396,r001,All occupations,All occupations,,,,1,28627,3869,13.5,89,0.3,2065,7.2,2646,9.2,19225,67.2,82,0.3,650,2.3
4396,r002,S&E occupations,S&E occupations,,,,1,7466,1543,20.7,s,s,379,5.1,564,7.6,4784,64.1,17,0.2,158,2.1
4396,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,3774,955,25.3,s,s,214,5.7,238,6.3,2259,59.9,6,0.2,88,2.3
4396,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,3379,877,26.0,s,s,188,5.6,210,6.2,2000,59.2,6,0.2,83,2.5
4396,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,90,27,30.7,s,s,3,3.4,6,6.7,52,57.9,s,s,s,s
4396,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,40,10,25.8,s,s,5,12.6,1,3.6,23,58.0,s,s,s,s
4396,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,294,31,10.7,s,s,29,9.9,25,8.7,200,68.0,s,s,s,s
4396,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,362,106,29.2,s,s,24,6.6,28,7.8,196,54.3,s,s,7,2.0
4396,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,129,25,19.3,s,s,6,4.5,10,8.0,82,64.0,s,s,s,s
4396,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,113,12,10.4,s,s,19,16.8,12,10.7,57,50.3,s,s,13,11.7
4396,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,192,14,7.2,s,s,21,10.8,14,7.1,138,71.7,s,s,6,2.9
