table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_asian_number,field_asian_median_salary_,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_median_salary_,field_black_or_african_american_number,field_black_or_african_american_median_salary_,field_hispanic_or_latino_number,field_hispanic_or_latino_median_salary_,field_white_number,field_white_median_salary_,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_median_salary_,field_more_than_one_race_number,field_more_than_one_race_median_salary_
4403,r001,All occupations,All occupations,,,,1,13130,80000,2138,100000,30,65000,889,60000,1224,65000,8523,82000,40,100000,286,73000
4403,r002,S&E occupations,S&E occupations,,,,1,5211,96000,1201,104000,8,86000,239,83000,408,80000,3236,97000,12,90000,106,90000
4403,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,2465,105000,742,111000,s,s,137,85000,167,85000,1355,105000,s,s,60,93000
4403,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,2251,105000,692,112000,s,s,127,87000,148,83000,1224,105000,s,s,58,94000
4403,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,67,125000,23,127000,s,s,s,s,3,s,37,125000,s,s,s,s
4403,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,27,101000,8,112000,s,s,4,s,1,s,14,100000,s,s,s,s
4403,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,144,61000,19,84000,s,s,19,59000,14,69000,87,62000,s,s,s,s
4403,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,232,90000,79,97000,s,s,15,80000,18,96000,115,82000,s,s,4,s
4403,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,88,104000,23,122000,s,s,4,72000,7,95000,50,91000,s,s,s,s
4403,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,79,100000,12,118000,s,s,14,95000,9,72000,37,126000,s,s,7,141000
4403,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,121,84000,12,83000,s,s,16,58000,9,71000,79,90000,s,s,s,s
4403,r012,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers, applications and systems software",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Software developers, applications and systems software",4,512,109000,179,110000,s,s,17,109000,27,84000,274,110000,s,s,14,85000
4403,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,69,94000,15,87000,s,s,s,s,9,77000,43,116000,s,s,2,s
4403,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,175,105000,39,106000,s,s,9,76000,8,82000,113,111000,s,s,6,79000
4403,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers&#8212;software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers&#8212;software,4,737,119000,282,123000,s,s,24,112000,42,99000,375,119000,s,s,12,119000
4403,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,153,102000,37,102000,s,s,8,68000,16,90000,91,107000,s,s,1,85000
4403,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,5,91000,2,66000,s,s,s,s,s,s,3,92000,s,s,s,s
4403,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,87,105000,19,117000,s,s,4,78000,12,100000,51,101000,s,s,1,85000
4403,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,51,103000,14,96000,s,s,s,s,3,83000,30,109000,s,s,s,s
4403,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,9,96000,s,s,s,s,s,s,s,s,6,s,s,s,s,s
4403,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,,3,61,71000,13,83000,s,s,3,82000,3,61000,41,67000,s,s,1,s
