table_id,row_id,_b_detailed_occupations_b_full_path,_b_detailed_occupations_b_level_1,_b_detailed_occupations_b_level_2,_b_detailed_occupations_b_hierarchy_depth,field_all_workers_median_earnings,field_male_median_earnings,field_female_median_earnings,field_male_female_difference,field_male_female_significant
11010,r001,S&E occupations,S&E occupations,,1,,,,,
11010,r002,S&E occupations -> School psychologists,S&E occupations,School psychologists,2,74821,82393,74525,7868,
11010,r003,S&E occupations -> Chemists and materials scientists,S&E occupations,Chemists and materials scientists,2,74482,74922,71629,3293,
11010,r004,"S&E occupations -> Computer occupations, all other",S&E occupations,"Computer occupations, all other",2,72981,74303,69722,4581,0.05
11010,r005,S&E occupations -> Biological scientists,S&E occupations,Biological scientists,2,69955,71280,69623,1657,
11010,r006,S&E occupations -> Web and digital interface designers,S&E occupations,Web and digital interface designers,2,69451,69608,69306,302,
11010,r007,S&E occupations -> Agricultural and food scientists,S&E occupations,Agricultural and food scientists,2,68420,74669,62486,12183,0.05
11010,r008,"S&E occupations -> Environmental scientists and specialists, incl. health",S&E occupations,"Environmental scientists and specialists, incl. health",2,64456,69654,59890,9764,0.05
11010,r009,S&E occupations -> Computer support specialists,S&E occupations,Computer support specialists,2,59968,61450,57216,4234,0.05
11010,r010,S&E occupations -> Conservation scientists and foresters,S&E occupations,Conservation scientists and foresters,2,59608,61649,58381,3268,
11010,r011,S&E occupations -> Logisticians,S&E occupations,Logisticians,2,57083,59972,51399,8573,0.05
11010,r012,S&E-related occupations,S&E-related occupations,,1,,,,,
11010,r013,"S&E-related occupations -> Other life, physical, and social science technicians",S&E-related occupations,"Other life, physical, and social science technicians",2,46862,49290,44680,4610,0.05
11010,r014,S&E-related occupations -> Licensed practical and licensed vocational nurses,S&E-related occupations,Licensed practical and licensed vocational nurses,2,44936,49924,44882,5042,0.05
11010,r015,S&E-related occupations -> Medical records specialists,S&E-related occupations,Medical records specialists,2,44333,47089,43975,3114,
11010,r016,S&E-related occupations -> Misc. health technologists and technicians,S&E-related occupations,Misc. health technologists and technicians,2,44325,53736,39510,14226,0.05
11010,r017,"S&E-related occupations -> Opticians, dispensing",S&E-related occupations,"Opticians, dispensing",2,39356,49938,35212,14726,0.05
11010,r018,S&E-related occupations -> Emergency medical technicians,S&E-related occupations,Emergency medical technicians,2,38955,39974,34836,5138,0.05
11010,r019,S&E-related occupations -> Pharmacy technicians,S&E-related occupations,Pharmacy technicians,2,35602,38958,34963,3995,0.05
11010,r020,S&E-related occupations -> Psychiatric technicians,S&E-related occupations,Psychiatric technicians,2,34153,34701,33718,983,
11010,r021,S&E-related occupations -> Veterinary technologists and technicians,S&E-related occupations,Veterinary technologists and technicians,2,32941,37868,31936,5932,0.05
11010,r022,S&E-related occupations -> Dietetic technicians and ophthalmic medical technicians,S&E-related occupations,Dietetic technicians and ophthalmic medical technicians,2,29981,29802,30129,(327),
11010,r023,STEM middle-skill occupations,STEM middle-skill occupations,,1,,,,,
11010,r024,"STEM middle-skill occupations -> Other installation, maintenance, and repair workers",STEM middle-skill occupations,"Other installation, maintenance, and repair workers",2,43945,44604,35879,8725,0.05
11010,r025,STEM middle-skill occupations -> Automotive service technicians and mechanics,STEM middle-skill occupations,Automotive service technicians and mechanics,2,42903,42943,34042,8901,0.05
11010,r026,STEM middle-skill occupations -> Carpenters,STEM middle-skill occupations,Carpenters,2,41576,41715,38871,2844,
11010,r027,STEM middle-skill occupations -> Etchers and engravers,STEM middle-skill occupations,Etchers and engravers,2,40642,40066,40669,(603),
11010,r028,STEM middle-skill occupations -> Prepress technicians and workers,STEM middle-skill occupations,Prepress technicians and workers,2,39342,44220,29984,14236,0.05
11010,r029,"STEM middle-skill occupations -> Misc. production workers, incl. equipment operators and tenders",STEM middle-skill occupations,"Misc. production workers, incl. equipment operators and tenders",2,38238,39998,31904,8094,0.05
11010,r030,STEM middle-skill occupations -> Roofers,STEM middle-skill occupations,Roofers,2,37431,37452,28563,"(8,889)",
11010,r031,"STEM middle-skill occupations -> Drywall installers, ceiling tile installers, and tapers",STEM middle-skill occupations,"Drywall installers, ceiling tile installers, and tapers",2,36024,36400,31585,4815,
11010,r032,STEM middle-skill occupations -> Chefs and head cooks,STEM middle-skill occupations,Chefs and head cooks,2,35852,39549,29536,10013,0.05
11010,r033,"STEM middle-skill occupations -> Butchers and other meat, poultry, and fish processing workers",STEM middle-skill occupations,"Butchers and other meat, poultry, and fish processing workers",2,35844,37813,29852,7961,0.05
