table_id,row_id,technology_area_full_path,technology_area_level_1,technology_area_level_2,technology_area_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10569,r001,Total,Total,,1,1463,1466,1458,1360,1430,1506,1621,1443,1398,1280
10569,r002,Total -> Analysis of biological materials,Total,Analysis of biological materials,2,41,40,42,34,40,40,33,35,27,29
10569,r003,Total -> Audio-visual technology,Total,Audio-visual technology,2,13,20,25,17,25,23,18,14,19,12
10569,r004,Total -> Basic communication processes,Total,Basic communication processes,2,18,11,14,12,15,20,18,18,11,17
10569,r005,Total -> Basic materials chemistry ,Total,Basic materials chemistry ,2,46,49,46,43,62,49,39,42,42,29
10569,r006,Total -> Biotechnology,Total,Biotechnology,2,122,139,118,116,100,121,123,115,104,92
10569,r007,Total -> Chemical engineering,Total,Chemical engineering,2,41,46,47,53,50,42,48,43,45,46
10569,r008,Total -> Civil engineering,Total,Civil engineering,2,8,4,10,10,6,18,14,15,12,13
10569,r009,Total -> Computer technology,Total,Computer technology,2,98,79,80,89,60,82,103,86,94,82
10569,r010,Total -> Control,Total,Control,2,19,18,19,14,18,21,23,17,20,14
10569,r011,Total -> Digital communication,Total,Digital communication,2,19,30,29,26,24,37,36,28,25,25
10569,r012,"Total -> Electrical machinery, apparatus, energy",Total,"Electrical machinery, apparatus, energy",2,86,88,85,92,90,102,109,107,73,82
10569,r013,"Total -> Engines, pumps, turbines",Total,"Engines, pumps, turbines",2,27,28,25,25,29,22,33,23,24,33
10569,r014,Total -> Environmental technology,Total,Environmental technology,2,36,32,31,29,31,27,28,29,31,26
10569,r015,Total -> Food chemistry,Total,Food chemistry,2,4,4,6,4,4,5,7,4,2,3
10569,r016,"Total -> Furniture, games",Total,"Furniture, games",2,1,4,5,2,6,2,1,3,2,1
10569,r017,Total -> Handling,Total,Handling,2,22,10,13,8,6,9,10,12,10,9
10569,r018,Total -> IT methods for management,Total,IT methods for management,2,9,7,2,4,3,5,8,8,9,7
10569,r019,Total -> Machine tools,Total,Machine tools,2,16,9,10,9,12,9,17,16,16,16
10569,r020,"Total -> Macromolecular chemistry, polymers",Total,"Macromolecular chemistry, polymers",2,17,17,34,21,24,21,21,27,23,21
10569,r021,"Total -> Materials, metallurgy",Total,"Materials, metallurgy",2,42,44,42,40,51,50,60,57,45,49
10569,r022,Total -> Measurement,Total,Measurement,2,189,189,160,144,145,185,194,152,147,134
10569,r023,Total -> Mechanical elements,Total,Mechanical elements,2,20,17,13,16,24,14,21,21,25,18
10569,r024,Total -> Medical technology,Total,Medical technology,2,45,37,43,45,50,58,54,56,52,58
10569,r025,Total -> Micro-structural and nano-technology,Total,Micro-structural and nano-technology,2,30,35,38,26,24,15,20,18,13,19
10569,r026,Total -> Optics,Total,Optics,2,55,44,46,34,53,65,62,57,60,59
10569,r027,Total -> Organic fine chemistry,Total,Organic fine chemistry,2,46,47,50,49,44,43,46,45,48,31
10569,r028,Total -> Other consumer goods,Total,Other consumer goods,2,10,7,9,7,10,7,11,5,11,14
10569,r029,Total -> Other special machines,Total,Other special machines,2,97,94,82,83,98,76,90,81,109,75
10569,r030,Total -> Pharmaceuticals,Total,Pharmaceuticals,2,98,124,120,106,96,105,124,116,105,81
10569,r031,Total -> Semiconductors,Total,Semiconductors,2,48,64,68,55,69,64,73,45,49,53
10569,r032,"Total -> Surface technology, coating",Total,"Surface technology, coating",2,32,28,36,30,38,33,45,34,42,30
10569,r033,Total -> Telecommunications,Total,Telecommunications,2,51,39,37,58,60,72,61,45,38,37
10569,r034,Total -> Textile and paper machines,Total,Textile and paper machines,2,6,8,8,6,8,7,7,3,9,5
10569,r035,Total -> Thermal processes and apparatus,Total,Thermal processes and apparatus,2,9,8,18,5,10,19,19,15,15,15
10569,r036,Total -> Transport,Total,Transport,2,41,45,47,46,44,36,44,52,38,45
10569,r037,Total -> Unclassified,Total,Unclassified,2,2,1,0,0,0,0,2,1,2,0
