table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_united_kingdom,field_india,field_germany,field_china,field_canada,field_israel,field_switzerland,field_ireland,field_japan,field_france
6637,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['104,464', '']","['11,797', '']","['9,846', '']","['8,879', '']","['8,195', '']","['6,862', '']","['5,974', '']","['4,536', '']","['4,207', '']","['4,090', '']","['3,313', '']"
6637,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['64,351', '']","['5,565', '']","['4,483', '']","['6,917', '']","['5,923', '']","['3,610', '']","['3,894', '']","['2,946', '']","['2,281', '']","['2,722', '']","['2,091', '']"
6637,r003,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['18,568', '']","['2,224', '']","['400', 'i']","['1,128', '']","['1,043', '']","['789', '']","['276', '']","['1,772', '']","['1,454', '']","['1,219', '']","['711', '']"
6637,r004,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['15,868', '']","['1,964', 'i']","['350', 'i']","['810', '']","['803', '']","['684', '']","['214', '']","['1,724', '']","['1,453', '']","['1,139', '']","['606', '']"
6637,r005,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,251', '']","['375', '']","['384', '']","['678', '']","['396', '']","['147', '']","['363', '']","['187', '']","['15', 'i']","['190', '']","['392', '']"
6637,r006,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['25,452', 'i']","['1,422', '']","['3,216', '']","['2,078', '']","['2,470', '']","['1,764', '']","['3,061', '']","['331', '']","['507', '']","['798', '']","['461', 'i']"
6637,r007,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['13,007', 'i']","['411', '']","['1,549', '']","['823', '']","['1,530', '']","['665', '']","['2,207', '']","['79', '']","['269', '']","['326', '']","['195', 'i']"
6637,r008,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,743', '']","['117', '']","['50', '']","['261', '']","['370', '']","['286', 'i']","['0 - 19', '']","['67', '']","['8', '']","['75', '']","['52', '']"
6637,r009,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,812', '']","['907', '']","['226', '']","['2,020', '']","['999', '']","['325', '']","['4', '']","['8', '']","['13', '']","['103', '']","['167', '']"
6637,r010,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['6,993', '']","['736', '']","['212', '']","['1,895', '']","['989', '']","['231', '']","['4', '']","['0 - 9', '']","['13', '']","['99', '']","['98', '']"
6637,r011,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['585', '']","['151', '']","['0 - 15', '']","['97', '']","['0 - 11', '']","['35', '']","['0', '']","['0 - 9', '']","['0', '']","['4', '']","['0 - 54', '']"
6637,r012,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['40,113', '']","['6,233', '']","['5,364', '']","['1,961', '']","['2,272', '']","['3,252', '']","['2,080', '']","['1,590', '']","['1,926', '']","['1,369', 'i']","['1,221', '']"
6637,r013,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['19,051', '']","['2,984', '']","['3,231', '']","['636', '']","['1,173', '']","['1,877', '']","['1,346', '']","['1,032', '']","['851', '']","['237 - 349', '']","['549', '']"
6637,r014,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['6,949', '']","['671', '']","['1,446', '']","['235', '']","['690', '']","['1,015', '']","['468', '']","['72', '']","['0 - 332', '']","['84', '']","['225', '']"
6637,r015,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['6,949', '']","['671', '']","['1,446', '']","['235', '']","['690', '']","['1,015', '']","['468', '']","['72', '']","['0 - 332', '']","['84', '']","['225', '']"
6637,r016,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['5,891', '']","['591', '']","['1,530', '']","['198', '']","['347', '']","['634', '']","['403', '']","['0 - 205', '']","['317', '']","['44', '']","['205', '']"
6637,r017,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['14,790', '']","['2,506', '']","['1,347', '']","['764', '']","['774', '']","['1,003', '']","['554', '']","['530', '']","['338 - 457', '']","['665', 'i']","['574', '']"
6637,r018,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['5,370', '']","['417', '']","['994', '']","['322', '']","['347', '']","['458', '']","['463', '']","['94', '']","['244 - 365', '']","['70', '']","['114', '']"
