table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
3043,r001,FYs 1986&#8211;87,All sources,,1,2050.6
3043,r002,FYs 1986&#8211;87,Government,Federal,2,145.4
3043,r003,FYs 1986&#8211;87,Government,State and local,2,779.1
3043,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,1126.1
3043,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,1887.7
3043,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,129.9
3043,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,690.4
3043,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,1067.4
3043,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,162.9
3043,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,15.5
3043,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,88.7
3043,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,58.7
3043,r013,FYs 1988&#8211;89,All sources,,1,2464.5
3043,r014,FYs 1988&#8211;89,Government,Federal,2,352.0
3043,r015,FYs 1988&#8211;89,Government,State and local,2,890.7
3043,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,1221.8
3043,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,2315.0
3043,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,339.0
3043,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,807.3
3043,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,1168.7
3043,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,149.5
3043,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,13.0
3043,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,83.4
3043,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,53.1
3043,r025,FYs 1990&#8211;91,All sources,,1,2975.6
3043,r026,FYs 1990&#8211;91,Government,Federal,2,476.3
3043,r027,FYs 1990&#8211;91,Government,State and local,2,956.6
3043,r028,FYs 1990&#8211;91,Institutional funds and other sourcesa,,1,1542.7
3043,r029,FYs 1990&#8211;91 -> Doctorate granting,All sources,,1,2847.3
3043,r030,FYs 1990&#8211;91 -> Doctorate granting,Government,Federal,2,465.5
3043,r031,FYs 1990&#8211;91 -> Doctorate granting,Government,State and local,2,947.9
3043,r032,FYs 1990&#8211;91 -> Doctorate granting,Institutional funds and other sourcesa,,1,1433.9
3043,r033,FYs 1990&#8211;91 -> Nondoctorate granting,All sources,,1,128.4
3043,r034,FYs 1990&#8211;91 -> Nondoctorate granting,Government,Federal,2,10.8
3043,r035,FYs 1990&#8211;91 -> Nondoctorate granting,Government,State and local,2,8.7
3043,r036,FYs 1990&#8211;91 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,108.9
3043,r037,FYs 1992&#8211;93,All sources,,1,2810.8
3043,r038,FYs 1992&#8211;93,Government,Federal,2,459.3
3043,r039,FYs 1992&#8211;93,Government,State and local,2,968.0
3043,r040,FYs 1992&#8211;93,Institutional funds and other sourcesa,,1,1383.5
3043,r041,FYs 1992&#8211;93 -> Doctorate granting,All sources,,1,2720.0
3043,r042,FYs 1992&#8211;93 -> Doctorate granting,Government,Federal,2,452.0
3043,r043,FYs 1992&#8211;93 -> Doctorate granting,Government,State and local,2,893.0
3043,r044,FYs 1992&#8211;93 -> Doctorate granting,Institutional funds and other sourcesa,,1,1375.0
3043,r045,FYs 1992&#8211;93 -> Nondoctorate granting,All sources,,1,91.8
3043,r046,FYs 1992&#8211;93 -> Nondoctorate granting,Government,Federal,2,7.3
3043,r047,FYs 1992&#8211;93 -> Nondoctorate granting,Government,State and local,2,75.0
3043,r048,FYs 1992&#8211;93 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,9.5
3043,r049,FYs 1994&#8211;95,All sources,,1,2767.6
3043,r050,FYs 1994&#8211;95,Government,Federal,2,206.5
3043,r051,FYs 1994&#8211;95,Government,State and local,2,1180.8
3043,r052,FYs 1994&#8211;95,Institutional funds and other sourcesa,,1,1380.3
3043,r053,FYs 1994&#8211;95 -> Doctorate granting,All sources,,1,2436.9
3043,r054,FYs 1994&#8211;95 -> Doctorate granting,Government,Federal,2,201.2
3043,r055,FYs 1994&#8211;95 -> Doctorate granting,Government,State and local,2,890.4
3043,r056,FYs 1994&#8211;95 -> Doctorate granting,Institutional funds and other sourcesa,,1,1345.3
3043,r057,FYs 1994&#8211;95 -> Nondoctorate granting,All sources,,1,330.6
3043,r058,FYs 1994&#8211;95 -> Nondoctorate granting,Government,Federal,2,5.2
3043,r059,FYs 1994&#8211;95 -> Nondoctorate granting,Government,State and local,2,290.5
3043,r060,FYs 1994&#8211;95 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,34.9
3043,r061,FYs 1996&#8211;97,All sources,,1,3110.3
3043,r062,FYs 1996&#8211;97,Government,Federal,2,270.9
3043,r063,FYs 1996&#8211;97,Government,State and local,2,966.6
3043,r064,FYs 1996&#8211;97,Institutional funds and other sourcesa,,1,1872.8
3043,r065,FYs 1996&#8211;97 -> Doctorate granting,All sources,,1,2843.2
3043,r066,FYs 1996&#8211;97 -> Doctorate granting,Government,Federal,2,268.3
3043,r067,FYs 1996&#8211;97 -> Doctorate granting,Government,State and local,2,880.6
3043,r068,FYs 1996&#8211;97 -> Doctorate granting,Institutional funds and other sourcesa,,1,1694.3
3043,r069,FYs 1996&#8211;97 -> Nondoctorate granting,All sources,,1,267.1
3043,r070,FYs 1996&#8211;97 -> Nondoctorate granting,Government,Federal,2,2.5
3043,r071,FYs 1996&#8211;97 -> Nondoctorate granting,Government,State and local,2,86.0
3043,r072,FYs 1996&#8211;97 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,178.6
3043,r073,FYs 1998&#8211;99,All sources,,1,2765.4
3043,r074,FYs 1998&#8211;99,Government,Federal,2,237.8
3043,r075,FYs 1998&#8211;99,Government,State and local,2,939.0
3043,r076,FYs 1998&#8211;99,Institutional funds and other sourcesa,,1,1588.5
3043,r077,FYs 1998&#8211;99 -> Doctorate granting,All sources,,1,2562.5
3043,r078,FYs 1998&#8211;99 -> Doctorate granting,Government,Federal,2,206.0
3043,r079,FYs 1998&#8211;99 -> Doctorate granting,Government,State and local,2,869.1
3043,r080,FYs 1998&#8211;99 -> Doctorate granting,Institutional funds and other sourcesa,,1,1487.4
3043,r081,FYs 1998&#8211;99 -> Nondoctorate granting,All sources,,1,202.9
3043,r082,FYs 1998&#8211;99 -> Nondoctorate granting,Government,Federal,2,31.8
3043,r083,FYs 1998&#8211;99 -> Nondoctorate granting,Government,State and local,2,69.9
3043,r084,FYs 1998&#8211;99 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,101.1
3043,r085,FYs 2002&#8211;03,All sources,,1,7388.7
3043,r086,FYs 2002&#8211;03,Government,Federal,2,351.3
3043,r087,FYs 2002&#8211;03,Government,State and local,2,2364.5
3043,r088,FYs 2002&#8211;03,Institutional funds and other sourcesa,,1,4672.9
3043,r089,FYs 2002&#8211;03 -> Doctorate granting,All sources,,1,7185.2
3043,r090,FYs 2002&#8211;03 -> Doctorate granting,Government,Federal,2,318.5
3043,r091,FYs 2002&#8211;03 -> Doctorate granting,Government,State and local,2,2301.4
3043,r092,FYs 2002&#8211;03 -> Doctorate granting,Institutional funds and other sourcesa,,1,4565.3
