table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_sales_r_d_performers_or_fundersa_worldwide,field_sales_r_d_performers_or_fundersa_domestic,field_sales_r_d_performers_or_fundersa_foreign,field_sales_domestic_r_d_performersb_worldwide,field_sales_domestic_r_d_performersb_domestic,field_sales_domestic_r_d_performersb_foreign
1377,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['12,285,760', '  ']","['9,191,871', '  ']","['3,093,889', '  ']","['11,881,988', '  ']","['8,874,793', '  ']","['3,007,195', '  ']"
1377,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['7,483,867', '  ']","['5,396,816', '  ']","['2,087,051', '  ']","['7,376,945', '  ']","['5,325,493', '  ']","['2,051,452', '  ']"
1377,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['747,939', '  ']","['550,691', '  ']","['197,247', '  ']","['747,939', '  ']","['550,691', '  ']","['197,247', '  ']"
1377,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['230,927', '  ']","['146,434', '  ']","['84,493', '  ']","['200,618', '  ']","['146,434', '  ']","['54,183', '  ']"
1377,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['116,524', '  ']","['96,812', '  ']","['19,712', '  ']","['116,524', '  ']","['96,812', '  ']","['19,712', '  ']"
1377,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['41,246', '  ']","['35,726', '  ']","['5,520', '  ']","['41,246', '  ']","['35,726', '  ']","['5,520', '  ']"
1377,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['91,616', '  ']","['67,653', '  ']","['23,962', '  ']","['91,616', '  ']","['67,653', '  ']","['23,962', '  ']"
1377,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['28,619', '  ']","['25,059', '  ']","['3,560', '  ']","['28,619', '  ']","['25,059', '  ']","['3,560', '  ']"
1377,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['198,336', '  ']","['163,381', '  ']","['34,955', '  ']","['198,336', '  ']","['163,381', '  ']","['34,955', '  ']"
1377,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,446,440', '  ']","['1,039,760', '  ']","['406,681', '  ']","['1,443,961', '  ']","['1,037,281', '  ']","['406,681', '  ']"
