table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
6090,r001,All detailed fields,All detailed fields,,,,1,697813,100.0,62679,100.0,2042,100.0,53094,100.0,41916,100.0,778,100.0,284055,100.0,17579,100.0,24908,100.0,210762,100.0
6090,r002,All detailed fields -> Science,All detailed fields,Science,,,2,464646,66.6,43705,69.7,1468,71.9,34812,65.6,29051,69.3,553,71.1,195406,68.8,12244,69.7,17720,71.1,129687,61.5
6090,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,10800,1.5,823,1.3,27,1.3,335,0.6,378,0.9,15,1.9,5743,2.0,231,1.3,292,1.2,2956,1.4
6090,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9380,1.3,724,1.2,25,1.2,279,0.5,334,0.8,13,1.7,4939,1.7,198,1.1,232,0.9,2636,1.3
6090,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1420,0.2,99,0.2,2,0.1,56,0.1,44,0.1,2,0.3,804,0.3,33,0.2,60,0.2,320,0.2
6090,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,94825,13.6,9442,15.1,297,14.5,9520,17.9,6049,14.4,137,17.6,44974,15.8,2851,16.2,3447,13.8,18108,8.6
6090,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5537,0.8,591,0.9,22,1.1,469,0.9,218,0.5,12,1.5,2532,0.9,151,0.9,135,0.5,1407,0.7
6090,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15649,2.2,1737,2.8,53,2.6,999,1.9,942,2.2,30,3.9,8342,2.9,464,2.6,507,2.0,2575,1.2
6090,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10412,1.5,1135,1.8,30,1.5,1647,3.1,1311,3.1,23,3.0,4314,1.5,336,1.9,309,1.2,1307,0.6
6090,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,868,0.1,68,0.1,2,0.1,110,0.2,14,0.05,1,0.1,349,0.1,19,0.1,30,0.1,275,0.1
6090,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6482,0.9,306,0.5,13,0.6,863,1.6,193,0.5,3,0.4,2064,0.7,146,0.8,243,1.0,2651,1.3
6090,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3244,0.5,357,0.6,8,0.4,460,0.9,346,0.8,3,0.4,1257,0.4,117,0.7,151,0.6,545,0.3
6090,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1631,0.2,147,0.2,3,0.1,70,0.1,34,0.1,4,0.5,787,0.3,55,0.3,51,0.2,480,0.2
6090,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5962,0.9,679,1.1,28,1.4,622,1.2,231,0.6,7,0.9,2731,1.0,193,1.1,195,0.8,1276,0.6
6090,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3777,0.5,313,0.5,15,0.7,137,0.3,115,0.3,7,0.9,2413,0.8,113,0.6,149,0.6,515,0.2
6090,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,5185,0.7,513,0.8,10,0.5,701,1.3,439,1.0,2,0.3,2097,0.7,154,0.9,192,0.8,1077,0.5
6090,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2802,0.4,251,0.4,13,0.6,261,0.5,102,0.2,4,0.5,1467,0.5,81,0.5,66,0.3,557,0.3
6090,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,5773,0.8,661,1.1,22,1.1,517,1.0,292,0.7,4,0.5,2984,1.1,175,1.0,254,1.0,864,0.4
6090,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1618,0.2,195,0.3,3,0.1,182,0.3,68,0.2,0,0.0,716,0.3,42,0.2,52,0.2,360,0.2
6090,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5820,0.8,655,1.0,19,0.9,586,1.1,252,0.6,2,0.3,2980,1.0,195,1.1,192,0.8,939,0.4
6090,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,3359,0.5,292,0.5,7,0.3,243,0.5,152,0.4,7,0.9,1949,0.7,107,0.6,111,0.4,491,0.2
6090,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,858,0.1,78,0.1,5,0.2,72,0.1,43,0.1,1,0.1,362,0.1,29,0.2,60,0.2,208,0.1
6090,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,2944,0.4,263,0.4,9,0.4,318,0.6,206,0.5,3,0.4,1300,0.5,94,0.5,117,0.5,634,0.3
6090,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,5802,0.8,476,0.8,14,0.7,634,1.2,478,1.1,5,0.6,2798,1.0,164,0.9,295,1.2,938,0.4
6090,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,2047,0.3,143,0.2,6,0.3,55,0.1,49,0.1,0,0.0,1321,0.5,61,0.3,80,0.3,332,0.2
