table_id,row_id,occupation_category_full_path,occupation_category_level_1,occupation_category_level_2,occupation_category_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations,field_type_of_nonprofit_organizationa_fy_2021_all_organizations,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations
9806,r001,All R&D employees ,All R&D employees ,,1,"['212,995', '  ']","['126,859', '  ']","['66,559', '  ']","['19,577', '  ']","['196,418', '  ']","['114,871', '  ']","['64,075', '  ']","['17,473', '  ']"
9806,r002,All R&D employees  -> Researchers,All R&D employees ,Researchers,2,"['79,353', '  ']","['46,160', 'i ']","['24,596', '  ']","['8,598', '  ']","['77,265', '  ']","['44,216', '  ']","['25,583', '  ']","['7,466', '  ']"
9806,r003,All R&D employees  -> Technicians,All R&D employees ,Technicians,2,"['76,436', '  ']","['42,701', '  ']","['28,915', '  ']","['4,819', '  ']","['72,145', '  ']","['42,276', 'i ']","['25,953', '  ']","['3,916', '  ']"
9806,r004,All R&D employees  -> Other support personnel,All R&D employees ,Other support personnel,2,"['57,206', '  ']","['37,998', '  ']","['13,048', '  ']","['6,160', '  ']","['47,008', '  ']","['28,379', '  ']","['12,539', '  ']","['6,090', '  ']"
