table_id,row_id,_b_survey_population_and_highest_degree_granted_b_full_path,_b_survey_population_and_highest_degree_granted_b_level_1,_b_survey_population_and_highest_degree_granted_b_level_2,_b_survey_population_and_highest_degree_granted_b_level_3,_b_survey_population_and_highest_degree_granted_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
12631,r001,All universities and colleges,All universities and colleges,,,1,108841148,101290,0.1
12631,r002,All universities and colleges -> Standard form institutions,All universities and colleges,Standard form institutions,,2,108681008,87627,0.1
12631,r003,All universities and colleges -> Standard form institutions -> Doctorate-granting institutions,All universities and colleges,Standard form institutions,Doctorate-granting institutions,3,107813315,34469,0.0
12631,r004,All universities and colleges -> Standard form institutions -> Nondoctorate-granting institutions,All universities and colleges,Standard form institutions,Nondoctorate-granting institutions,3,867693,53158,6.1
12631,r005,All universities and colleges -> Short form institutions,All universities and colleges,Short form institutions,,2,160140,13663,8.5
12631,r006,All universities and colleges -> Short form institutions -> Doctorate-granting institutions,All universities and colleges,Short form institutions,Doctorate-granting institutions,3,54417,4876,9.0
12631,r007,All universities and colleges -> Short form institutions -> Nondoctorate-granting institutions,All universities and colleges,Short form institutions,Nondoctorate-granting institutions,3,105723,8787,8.3
