table_id,row_id,institution,rank,total,male,female
4640,r001,Walden U.,1,867,276,591
4640,r002,"U. Michigan, Ann Arbor",2,846,500,346
4640,r003,"U. Illinois, Urbana-Champaign",3,821,505,316
4640,r004,"U. California, Berkeley",4,797,475,322
4640,r005,"Purdue U., West Lafayette",5,794,529,265
4640,r006,"Texas A&M U., College Station and Health Science Center",6,772,466,306
4640,r007,Stanford U.,7,769,494,275
4640,r008,"U. Texas, Austin",8,744,438,306
4640,r009,U. Wisconsin-Madison,9,724,374,350
4640,r010,"Ohio State U., Columbus",10,704,400,304
4640,r011,"Pennsylvania State U., University Park and Hershey Medical Center",11,688,389,299
4640,r012,"U. Washington, Seattle",12,681,335,346
4640,r013,Columbia U. in the City of New York,13,673,362,311
4640,r014,U. Florida,14,650,345,305
4640,r015,"U. Minnesota, Twin Cities",15,647,340,307
4640,r016,"U. California, Los Angeles",16,632,381,251
4640,r017,Harvard U.,17,630,331,299
4640,r018,Massachusetts Institute of Technology,18,579,414,165
4640,r019,"U. Maryland, College Park",19,568,328,240
4640,r020,"U. North Carolina, Chapel Hill",20,556,254,302
4640,r021,Arizona State U.,21,536,304,232
4640,r022,North Carolina State U.,22,533,305,228
4640,r023,Michigan State U.,23,524,282,242
4640,r024,Cornell U.,24,514,277,237
4640,r025,Georgia Institute of Technology,25,512,377,135
4640,r026,"U. California, San Diego",25,512,330,182
4640,r027,Virginia Polytechnic Institute and State U.,27,495,295,200
4640,r028,"U. California, Davis",28,493,254,239
4640,r029,U. Arizona,29,473,252,221
4640,r030,U. Pennsylvania,30,469,255,214
4640,r031,U. Georgia,31,449,209,240
4640,r032,U. Southern California,32,437,244,193
4640,r033,Northwestern U.,33,433,237,196
4640,r034,Johns Hopkins U.,34,426,240,186
4640,r035,Yale U.,35,423,209,214
4640,r036,"U. California, Irvine",36,420,241,179
4640,r037,"U. Pittsburgh, Pittsburgh",36,420,211,209
4640,r038,New York U.,38,411,220,191
4640,r039,Duke U.,39,407,241,166
4640,r040,Iowa State U.,39,407,259,148
4640,r041,"Indiana U., Bloomington",41,395,205,190
4640,r042,"Rutgers, State U. New Jersey, New Brunswick",41,395,209,186
4640,r043,"CUNY, Graduate Center",43,394,187,207
4640,r044,"U. Tennessee, Knoxville",44,393,222,171
4640,r045,U. Colorado Boulder,45,392,249,143
4640,r046,Florida State U.,46,381,192,189
4640,r047,U. Chicago,47,370,245,125
4640,r048,"SUNY, U. Buffalo",48,358,193,165
4640,r049,Texas Tech U.,49,356,172,182
4640,r050,Boston U.,50,337,176,161
