table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_doj,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nrc,field_nsf,field_ssa,field_usda
11224,r001,All states and outlying areas,All states and outlying areas,,,1,21103,116819,191852,33058,25303729,2057512,15537,5847197,3825,1184208
11224,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,1350,2868,402,0,343217,30911,376,56103,17,48554
11224,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,0,0,0,0,0,0,0,1110,0,8327
11224,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,0,0,0,0,1425,0,0,612,0,0
11224,r005,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,0,119,0,0,5514,4480,0,12597,0,31094
11224,r006,All states and outlying areas -> Alabama -> Jacksonville State U.,All states and outlying areas,Alabama,Jacksonville State U.,3,0,0,0,0,0,0,0,415,0,0
11224,r007,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,0,0,0,0,125,0,0,374,0,0
11224,r008,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,0,0,0,0,0,0,0,386,0,0
11224,r009,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,0,0,0,0,220,0,0,122,0,0
11224,r010,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,0,0,0,0,0,0,0,162,0,0
11224,r011,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,0,174,0,0,2432,0,0,2227,0,9108
11224,r012,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,0,497,0,0,312489,3430,376,9059,0,0
11224,r013,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,1350,0,0,0,932,0,0,11205,0,0
11224,r014,"All states and outlying areas -> Alabama -> U. Alabama, The, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, The, Tuscaloosa",3,0,2078,402,0,10678,22930,0,12595,17,25
11224,r015,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,0,0,0,0,9402,71,0,5235,0,0
11224,r016,"All states and outlying areas -> Alabama -> U. West Alabama, The",All states and outlying areas,Alabama,"U. West Alabama, The",3,0,0,0,0,0,0,0,6,0,0
11224,r017,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,0,4975,0,0,12193,21803,0,44548,0,3765
11224,r018,All states and outlying areas -> Alaska -> Alaska Pacific U.,All states and outlying areas,Alaska,Alaska Pacific U.,3,0,0,0,0,280,0,0,916,0,0
11224,r019,All states and outlying areas -> Alaska -> Ilisagvik C.,All states and outlying areas,Alaska,Ilisagvik C.,3,0,0,0,0,0,0,0,100,0,0
