table_id,row_id,type_of_r_d_full_path,type_of_r_d_level_1,type_of_r_d_level_2,type_of_r_d_hierarchy_depth,field_total_funds_for_r_d,field_source_of_funds_for_r_d_federal_funds_for_r_d,field_source_of_funds_for_r_d_nonfederal_funds_for_r_d
7283,r001,Total ,Total ,,1,18,12,13
7283,r002,Total  -> Basic research,Total ,Basic research,2,19,13,20
7283,r003,Total  -> Applied research,Total ,Applied research,2,9,13,11
7283,r004,Total  -> Experimental development,Total ,Experimental development,2,18,18,24
