table_id,row_id,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
1181,r001,All occupations,All occupations,,,,,1,27273000,13002000,14271000,15198000,7197000,8001000,8236000,4246000,3990000,1503000,590000,913000
1181,r002,All occupations -> S&E occupations&#160;,All occupations,S&E occupations&#160;,,,,2,6769000,1966000,4803000,3846000,979000,2867000,2069000,670000,1399000,786000,279000,507000
1181,r003,All occupations -> S&E occupations&#160; -> Science occupations&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,,,3,5041000,1697000,3344000,2786000,831000,1955000,1521000,567000,954000,670000,263000,406000
1181,r004,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Biological/life scientist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Biological/life scientist&#160;,,4,610000,292000,319000,230000,119000,110000,149000,75000,74000,217000,90000,127000
1181,r005,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Biological/life scientist&#160; -> Agricultural/food science,All occupations,S&E occupations&#160;,Science occupations&#160;,Biological/life scientist&#160;,Agricultural/food science,5,41000,13000,28000,18000,5000,12000,13000,5000,8000,10000,3000,7000
1181,r006,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Biological/life scientist&#160; -> Biological/scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Biological/life scientist&#160;,Biological/scientist,5,455000,225000,231000,183000,101000,82000,108000,56000,52000,153000,63000,90000
1181,r007,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Biological/life scientist&#160; -> Foresty and conservation scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Biological/life scientist&#160;,Foresty and conservation scientist,5,27000,7000,20000,15000,3000,12000,11000,3000,S,1000,S,1000
1181,r008,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Biological/life scientist&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Science occupations&#160;,Biological/life scientist&#160;,Postsecondary teacher,5,87000,46000,40000,S,S,5000,17000,10000,7000,53000,24000,28000
1181,r009,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Computer and information scientist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Computer and information scientist&#160;,,4,3128000,796000,2332000,2100000,515000,1585000,921000,253000,669000,95000,24000,72000
1181,r010,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Computer and information scientist&#160; -> Computer/information scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Computer and information scientist&#160;,Computer/information scientist,5,3096000,787000,2309000,2096000,515000,1581000,911000,248000,663000,78000,20000,58000
