table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
12271,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['691,547', '  ']","['5,277', '  ']","['14,695', '  ']","['15,265', '  ']",27847,,"['29,549', '  ']","['31,802', '  ']","['104,505', '  ']","['58,709', '  ']","['121,142', '  ']","['282,756', '  ']"
12271,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['372,459', '  ']","['1,443', '  ']","['6,255', '  ']","['8,144', '  ']",15265,,"['18,084', '  ']","['16,736', '  ']","['55,943', '  ']","['37,857', '  ']","['76,649', '  ']","['136,083', '  ']"
12271,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['7,143', '  ']","['1', '  ']","['84', '  ']","['97', '  ']",512,,"['1,181', 'r ']","['354', '  ']","['663', '  ']","['551', '  ']","['2,086', '  ']","['1,613', 'i ']"
12271,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['767', '  ']","['*', '  ']","['43', 'r ']","['27', '  ']",28,,"['111', '  ']","['20', '  ']","['136', '  ']","['285', '  ']","['80', '  ']","['38', '  ']"
12271,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['635', '  ']","['5', '  ']","['9', '  ']","['22', '  ']",48,,"['23', '  ']","['48', '  ']","['159', '  ']","['241', '  ']","['80', '  ']","['0', '  ']"
12271,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['259', '  ']","['1', 'r ']","['27', 'r ']","['5', '  ']",12,,"['3', '  ']","['13', '  ']","['34', '  ']","['67', '  ']","['97', '  ']","['0', '  ']"
12271,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,005', '  ']","['2', '  ']","['4', '  ']","['1', '  ']",37,,"['21', '  ']","['21', '  ']","['184', '  ']","['129', '  ']","['313', '  ']","['292', '  ']"
12271,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['165', '  ']","['*', '  ']","['3', '  ']","['9', '  ']",25,,"['32', '  ']","['6', '  ']","['6', 'i ']","['12', '  ']","['72', 'i ']","['0', '  ']"
12271,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['860', '  ']","['1', 'r ']","['1', '  ']","['18', '  ']",8,,"['18', '  ']","['77', '  ']","['87', '  ']","['10', '  ']","['639', '  ']","['0', '  ']"
12271,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['125,728', '  ']","['726', '  ']","['3,217', '  ']","['4,313', '  ']",7881,,"['9,680', '  ']","['7,104', '  ']","['20,929', '  ']","['8,557', '  ']","['36,516', '  ']","['26,806', '  ']"
