table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2811,r001,All fields,All fields,,,,,1,48028,48909,50943,52703,53986,54886,54809,54554,55103,55703
2811,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,11319,11535,11964,12207,12484,12493,12539,12554,12757,12781
2811,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,,,3,1100,1206,1255,1324,1338,1434,1379,1493,1443,1491
2811,r004,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,,4,668,669,735,786,793,831,781,905,874,917
2811,r005,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural economics,5,118,106,88,107,96,101,113,144,108,117
2811,r006,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural and horticultural plant breeding,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural and horticultural plant breeding,5,31,23,31,21,39,43,61,53,67,69
2811,r007,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural animal breeding,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural animal breeding,5,7,7,6,8,na,na,na,na,na,na
2811,r008,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agronomy and crop science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agronomy and crop science,5,69,54,73,86,80,81,82,100,80,87
2811,r009,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal nutrition,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Animal nutrition,5,34,48,57,54,50,40,42,27,36,49
2811,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal science, poultry or avian",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Animal science, poultry or avian",5,12,25,22,23,25,31,21,20,32,32
2811,r011,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other",5,54,69,75,85,103,90,83,107,121,120
2811,r012,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Food science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Food science,5,100,73,108,105,93,125,122,123,112,103
2811,r013,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Food science and technology, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other",5,37,39,35,48,39,47,40,48,51,53
2811,r014,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Horticulture science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science,5,42,48,40,41,51,50,32,42,46,44
2811,r015,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Plant pathology and phytopathology, agricultural",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Plant pathology and phytopathology, agricultural",5,56,53,71,74,74,57,73,106,90,105
2811,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Plant sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Plant sciences, other",5,49,51,77,67,78,95,51,63,65,57
2811,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Soil chemistry, microbiology",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Soil chemistry, microbiology",5,20,34,15,16,20,17,23,20,16,28
2811,r018,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Soil sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Soil sciences, other",5,39,39,37,51,45,54,38,52,50,53
2811,r019,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,,4,414,514,501,509,501,566,504,536,502,497
2811,r020,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science,5,155,195,182,204,213,182,193,228,222,229
2811,r021,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Fishing and fisheries sciences and management,5,34,59,51,53,52,60,47,46,51,63
2811,r022,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forest management, forest resources management",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Forest management, forest resources management",5,41,34,29,44,28,36,35,25,18,16
2811,r023,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forest sciences and biology,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Forest sciences and biology,5,23,26,25,19,22,37,15,32,22,15
2811,r024,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forestry, other",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other",5,17,35,29,26,20,22,29,36,53,43
2811,r025,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resource and environmental policy,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resource and environmental policy,5,na,na,na,na,35,56,68,54,51,40
2811,r026,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation,5,88,100,99,92,70,87,72,63,47,53
2811,r027,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and environmental economics (agricultural sciences),All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and environmental economics (agricultural sciences),5,na,na,31,22,28,39,23,21,27,35
2811,r028,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Wildlife, range management",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Wildlife, range management",5,48,50,39,41,29,32,14,20,11,3
2811,r029,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Wood science, pulp and paper technology",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Wood science, pulp and paper technology",5,8,15,16,8,4,15,8,11,na,na
