table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
12306,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,941', '  ']","['1,639', '  ']","['275', '  ']","['27', 'i ']","['1,316', '  ']","['1,152', '  ']","['153', 'i ']","['11', 'i ']"
12306,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['925', '  ']","['817', '  ']","['99', '  ']","['9', '  ']","['634', '  ']","['583', '  ']","['47', '  ']","['4', '  ']"
12306,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['27', '  ']","['24', '  ']","['2', '  ']","['*', '  ']","['14', '  ']","['14', '  ']","['1', 'i ']","['*', 'i ']"
12306,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['4', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['*', 'i ']"
12306,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['4', '  ']","['3', '  ']","['1', '  ']","['*', 'i ']","['2', '  ']","['1', '  ']","['*', 'i ']","['*', 'i ']"
12306,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '  ']","['2', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['1', '  ']","['*', 'i ']","['0', '  ']"
12306,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['3', '  ']","['*', '  ']","['*', '  ']"
12306,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12306,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['4', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
12306,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['206', '  ']","['200', '  ']","['5', '  ']","['1', '  ']","['131', '  ']","['128', '  ']","['3', '  ']","['1', '  ']"
12306,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['12', '  ']","['11', '  ']","['1', '  ']","['*', '  ']","['7', '  ']","['6', '  ']","['1', '  ']","['*', '  ']"
