table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_yes_filed_form_6765_in_2018,field_no_did_not_file_form_6765_in_2018,field_did_not_answer
7421,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['203', '&nbsp;']","['37.4', 'r']","['60.6', '&nbsp;']","['2.0', 'r']"
7421,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,744', '&nbsp;']","['19.1', '&nbsp;']","['80.7', '&nbsp;']","['0.2', '&nbsp;']"
7421,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['525', '&nbsp;']","['14.1', 'r']","['85.9', '&nbsp;']","['0.0', '&nbsp;']"
7421,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,252', '&nbsp;']","['25.8', '&nbsp;']","['74.2', '&nbsp;']","['0.0', '&nbsp;']"
7421,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,459', '&nbsp;']","['26.3', '&nbsp;']","['73.7', '&nbsp;']","['0.0', '&nbsp;']"
7421,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['794', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']","['0.0', '&nbsp;']"
7421,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,711', '&nbsp;']","['15.7', '&nbsp;']","['83.8', '&nbsp;']","['0.5', 'r']"
7421,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,918', '&nbsp;']","['14.4', '&nbsp;']","['85.5', '&nbsp;']","['0.0', '&nbsp;']"
7421,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,338', '&nbsp;']","['25.5', '&nbsp;']","['73.9', '&nbsp;']","['0.5', '&nbsp;']"
7421,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['326', '&nbsp;']","['25.8', '&nbsp;']","['73.0', '&nbsp;']","['1.2', 'r']"
7421,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,060', '&nbsp;']","['27.7', '&nbsp;']","['72.0', '&nbsp;']","['0.3', '&nbsp;']"
7421,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,867', '&nbsp;']","['25.5', '&nbsp;']","['74.0', '&nbsp;']","['0.5', '&nbsp;']"
7421,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['73', '&nbsp;']","['0.0', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']"
