table_id,row_id,_b_education_related_debt_level_and_field_b_full_path,_b_education_related_debt_level_and_field_b_level_1,_b_education_related_debt_level_and_field_b_level_2,_b_education_related_debt_level_and_field_b_level_3,_b_education_related_debt_level_and_field_b_level_4,_b_education_related_debt_level_and_field_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11652,r001,All fields,All fields,,,,1,46449,46819,48759,49778,49229,50041,50725,50364,47251,51989,51964
11652,r002,All fields -> No debt,All fields,No debt,,,2,28883,29333,30890,31987,32602,33847,34710,35079,33825,38216,38115
11652,r003,"All fields -> $10,000 or less",All fields,"$10,000 or less",,,2,3931,3842,4189,4071,3802,3831,3469,3399,2739,2858,3128
11652,r004,"All fields -> $10,001&#8211;$30,000",All fields,"$10,001&#8211;$30,000",,,2,4609,4435,4464,4376,3897,3720,3790,3411,2941,3232,3223
11652,r005,"All fields -> $30,001&#8211;$70,000",All fields,"$30,001&#8211;$70,000",,,2,4782,4735,4500,4528,4108,3902,3673,3481,3174,3212,3184
11652,r006,"All fields -> $70,001 or more",All fields,"$70,001 or more",,,2,4244,4474,4716,4816,4820,4741,5083,4994,4572,4471,4314
11652,r007,All fields -> Science and engineering,All fields,Science and engineering,,,2,34598,35488,36787,37658,37578,38541,39402,39139,37244,41359,41181
11652,r008,All fields -> Science and engineering -> No debt,All fields,Science and engineering,No debt,,3,23240,24040,25188,26072,26758,27926,28674,29060,28174,32074,31738
11652,r009,"All fields -> Science and engineering -> $10,000 or less",All fields,Science and engineering,"$10,000 or less",,3,2854,2860,3072,3039,2852,2861,2630,2574,2124,2178,2450
11652,r010,"All fields -> Science and engineering -> $10,001&#8211;$30,000",All fields,Science and engineering,"$10,001&#8211;$30,000",,3,3077,3036,3006,2953,2657,2506,2639,2340,2107,2265,2312
11652,r011,"All fields -> Science and engineering -> $30,001&#8211;$70,000",All fields,Science and engineering,"$30,001&#8211;$70,000",,3,2945,2916,2792,2797,2522,2434,2323,2149,2037,2100,2071
11652,r012,"All fields -> Science and engineering -> $70,001 or more",All fields,Science and engineering,"$70,001 or more",,3,2482,2636,2729,2797,2789,2814,3136,3016,2802,2742,2610
11652,r013,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,3,1235,1234,1336,1312,1392,1362,1416,1400,1276,1367,1305
11652,r014,All fields -> Science and engineering -> Agricultural sciences and natural resources -> No debt,All fields,Science and engineering,Agricultural sciences and natural resources,No debt,4,785,781,889,874,968,953,985,989,938,1022,969
11652,r015,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> $10,000 or less",All fields,Science and engineering,Agricultural sciences and natural resources,"$10,000 or less",4,143,128,138,130,132,127,119,129,108,115,108
11652,r016,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> $10,001&#8211;$30,000",All fields,Science and engineering,Agricultural sciences and natural resources,"$10,001&#8211;$30,000",4,138,137,131,122,111,104,124,98,95,89,87
11652,r017,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> $30,001&#8211;$70,000",All fields,Science and engineering,Agricultural sciences and natural resources,"$30,001&#8211;$70,000",4,93,107,117,105,102,96,94,74,62,58,82
11652,r018,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> $70,001 or more",All fields,Science and engineering,Agricultural sciences and natural resources,"$70,001 or more",4,76,81,61,81,79,82,94,110,73,83,59
11652,r019,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,3,7781,7764,8003,8268,8012,8196,8218,7940,7566,8609,8845
11652,r020,All fields -> Science and engineering -> Biological and biomedical sciences -> No debt,All fields,Science and engineering,Biological and biomedical sciences,No debt,4,5585,5695,5981,6216,6149,6287,6338,6212,6083,6989,7072
11652,r021,"All fields -> Science and engineering -> Biological and biomedical sciences -> $10,000 or less",All fields,Science and engineering,Biological and biomedical sciences,"$10,000 or less",4,616,607,637,618,605,605,566,531,405,428,495
11652,r022,"All fields -> Science and engineering -> Biological and biomedical sciences -> $10,001&#8211;$30,000",All fields,Science and engineering,Biological and biomedical sciences,"$10,001&#8211;$30,000",4,667,611,582,596,489,497,501,394,344,415,477
11652,r023,"All fields -> Science and engineering -> Biological and biomedical sciences -> $30,001&#8211;$70,000",All fields,Science and engineering,Biological and biomedical sciences,"$30,001&#8211;$70,000",4,560,507,441,481,408,411,424,427,361,396,394
11652,r024,"All fields -> Science and engineering -> Biological and biomedical sciences -> $70,001 or more",All fields,Science and engineering,Biological and biomedical sciences,"$70,001 or more",4,353,344,362,357,361,396,389,376,373,381,407
