table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2020,field_2021_preliminary_
6391,r001,All fields,All fields,,,1,34618983.6,33453041.8
6391,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1911534.3,1880338.0
6391,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,1341780.5,NA
6391,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,507878.6,NA
6391,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,61875.2,NA
6391,r006,All fields -> Engineering,All fields,Engineering,,2,3377909.6,3301000.6
6391,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,123050.8,NA
6391,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,14567.6,NA
6391,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,228631.9,NA
6391,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,9796.7,NA
6391,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,242088.6,NA
6391,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,99032.7,NA
6391,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,264222.2,NA
6391,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2396519.1,NA
6391,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,1436331.5,1319992.2
6391,r016,All fields -> Environmental sciences -> Atmospheric sciences,All fields,Environmental sciences,Atmospheric sciences,3,186043.7,NA
6391,r017,All fields -> Environmental sciences -> Geological sciences,All fields,Environmental sciences,Geological sciences,3,177217.5,NA
6391,r018,All fields -> Environmental sciences -> Oceanography,All fields,Environmental sciences,Oceanography,3,471741.4,NA
6391,r019,All fields -> Environmental sciences -> Other environmental sciences,All fields,Environmental sciences,Other environmental sciences,3,601328.8,NA
6391,r020,All fields -> Life sciences,All fields,Life sciences,,2,21665684.0,21214977.9
6391,r021,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,373128.4,NA
6391,r022,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,11295277.3,NA
6391,r023,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,338145.0,NA
6391,r024,All fields -> Life sciences -> Medical sciences,All fields,Life sciences,Medical sciences,3,7451064.4,NA
6391,r025,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,2208068.9,NA
6391,r026,All fields -> Physical sciences,All fields,Physical sciences,,2,2404712.6,1734666.7
6391,r027,All fields -> Physical sciences -> Astronomy,All fields,Physical sciences,Astronomy,3,174279.3,NA
6391,r028,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,563612.4,NA
6391,r029,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,793315.0,NA
6391,r030,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,873505.9,NA
6391,r031,All fields -> Psychology,All fields,Psychology,,2,1935726.2,1917826.9
6391,r032,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,12788.5,NA
6391,r033,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,14206.7,NA
6391,r034,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1908731.0,NA
6391,r035,All fields -> Social sciences,All fields,Social sciences,,2,450586.5,447985.4
6391,r036,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,17274.0,NA
6391,r037,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,47682.1,NA
6391,r038,All fields -> Social sciences -> Political science,All fields,Social sciences,Political science,3,4554.1,NA
6391,r039,All fields -> Social sciences -> Sociology,All fields,Social sciences,Sociology,3,20712.1,NA
6391,r040,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,360364.2,NA
6391,r041,All fields -> Other sciences nec,All fields,Other sciences nec,,2,1436498.9,1636254.1
