table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015
789,r001,All business activities,All business activities,,1,21100–81000,"['10,976,518', '&nbsp;']","['10,221,923', '&nbsp;']","['12,204,773', '&nbsp;']","['12,874,185', '&nbsp;']","['12,975,886', '&nbsp;']","['13,279,075', '&nbsp;']","['13,409,822', '&nbsp;']","['12,138,755', '&nbsp;']"
789,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['271,493', '&nbsp;']","['153,939', '&nbsp;']","['212,469', '&nbsp;']","['331,320', '&nbsp;']","['271,983', '&nbsp;']","['250,884', '&nbsp;']","['241,227', '&nbsp;']","['141,727', '&nbsp;']"
789,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['38,302', '&nbsp;']","['57,661', '&nbsp;']","['43,857', '&nbsp;']","['54,531', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
789,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['45,184', '&nbsp;']","['61,062', '&nbsp;']","['68,523', '&nbsp;']","['79,788', '&nbsp;']","['100,175', '&nbsp;']","['129,989', '&nbsp;']","['76,294', '&nbsp;']"
789,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['317,243', '&nbsp;']","['310,768', '&nbsp;']","['348,763', '&nbsp;']","['318,893', '&nbsp;']","['324,150', '&nbsp;']","['356,225', '&nbsp;']","['345,155', '&nbsp;']"
789,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['42,287', '&nbsp;']","['93,305', '&nbsp;']","['107,286', '&nbsp;']","['107,685', '&nbsp;']","['94,057', '&nbsp;']","['91,507', '&nbsp;']","['64,240', '&nbsp;']"
789,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['475,588', '&nbsp;']","['630,500', '&nbsp;']","['694,763', '&nbsp;']","['690,698', '&nbsp;']","['688,804', '&nbsp;']","['941,309', '&nbsp;']","['844,673', '&nbsp;']","['768,660', '&nbsp;']"
789,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['143,008', '&nbsp;']","['129,396', '&nbsp;']","['141,259', '&nbsp;']","['180,153', '&nbsp;']","['167,003', '&nbsp;']","['164,270', '&nbsp;']","['166,544', '&nbsp;']","['170,693', '&nbsp;']"
789,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['28,970', '&nbsp;']","['134,972', '&nbsp;']","['133,993', '&nbsp;']","['140,998', '&nbsp;']","['130,759', '&nbsp;']","['69,191', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
789,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['56,131', '&nbsp;']","['68,515', '&nbsp;']","['66,416', '&nbsp;']","['89,086', '&nbsp;']","['70,260', '&nbsp;']","['66,546', '&nbsp;']","['80,682', '&nbsp;']"
