table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_years_since_highest_degree_5,field_years_since_highest_degree_5_9,field_years_since_highest_degree_10_14,field_years_since_highest_degree_15_19,field_years_since_highest_degree_20_24,field_years_since_highest_degree_25_29,field_years_since_highest_degree_30_34,field_years_since_highest_degree_35
7775,r078,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Female,S&E occupations,Engineers,Somewhat satisfied,5,131000,36000,37000,18000,15000,11000,6000,3000,4000
7775,r079,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Engineers,Somewhat dissatisfied,5,17000,6000,5000,2000,S,3000,,,
7775,r080,All sexes -> Female -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Female,S&E occupations,Engineers,Very dissatisfied,5,8000,S,2000,S,,,,,
7775,r081,All sexes -> Female -> S&E-related occupations,All sexes,Female,S&E-related occupations,,,3,5494000,1227000,1273000,905000,560000,487000,345000,234000,463000
7775,r082,All sexes -> Female -> S&E-related occupations -> Very satisfied,All sexes,Female,S&E-related occupations,Very satisfied,,4,2403000,438000,533000,417000,225000,225000,174000,109000,283000
7775,r083,All sexes -> Female -> S&E-related occupations -> Somewhat satisfied,All sexes,Female,S&E-related occupations,Somewhat satisfied,,4,2538000,597000,609000,405000,279000,227000,155000,112000,154000
7775,r084,All sexes -> Female -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Female,S&E-related occupations,Somewhat dissatisfied,,4,418000,133000,103000,71000,48000,21000,13000,8000,21000
7775,r085,All sexes -> Female -> S&E-related occupations -> Very dissatisfied,All sexes,Female,S&E-related occupations,Very dissatisfied,,4,135000,59000,28000,12000,S,15000,,S,
7775,r086,All sexes -> Female -> Non-S&E occupations,All sexes,Female,Non-S&E occupations,,,3,18699000,2751000,3692000,3031000,2410000,1892000,1665000,1251000,2007000
7775,r087,All sexes -> Female -> Non-S&E occupations -> Very satisfied,All sexes,Female,Non-S&E occupations,Very satisfied,,4,7837000,1009000,1343000,1208000,993000,829000,792000,586000,1077000
7775,r088,All sexes -> Female -> Non-S&E occupations -> Somewhat satisfied,All sexes,Female,Non-S&E occupations,Somewhat satisfied,,4,8610000,1257000,1767000,1417000,1198000,932000,740000,521000,779000
7775,r089,All sexes -> Female -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Female,Non-S&E occupations,Somewhat dissatisfied,,4,1711000,369000,436000,302000,163000,98000,104000,122000,117000
7775,r090,All sexes -> Female -> Non-S&E occupations -> Very dissatisfied,All sexes,Female,Non-S&E occupations,Very dissatisfied,,4,541000,116000,146000,105000,56000,33000,28000,23000,34000
7775,r091,All sexes -> Male,All sexes,Male,,,,2,25271000,3492000,4469000,3684000,3124000,2558000,2289000,1930000,3723000
7775,r092,All sexes -> Male -> Very satisfied,All sexes,Male,Very satisfied,,,3,11574000,1299000,1811000,1566000,1415000,1295000,1095000,991000,2101000
7775,r093,All sexes -> Male -> Somewhat satisfied,All sexes,Male,Somewhat satisfied,,,3,11104000,1632000,2107000,1661000,1428000,1079000,1006000,784000,1407000
7775,r094,All sexes -> Male -> Somewhat dissatisfied,All sexes,Male,Somewhat dissatisfied,,,3,2086000,453000,431000,365000,223000,155000,170000,122000,167000
7775,r095,All sexes -> Male -> Very dissatisfied,All sexes,Male,Very dissatisfied,,,3,507000,108000,120000,92000,59000,29000,18000,33000,49000
7775,r096,All sexes -> Male -> S&E occupations,All sexes,Male,S&E occupations,,,3,5594000,1028000,1218000,846000,647000,561000,424000,371000,498000
7775,r097,All sexes -> Male -> S&E occupations -> Very satisfied,All sexes,Male,S&E occupations,Very satisfied,,4,2504000,413000,516000,348000,301000,267000,193000,198000,268000
7775,r098,All sexes -> Male -> S&E occupations -> Somewhat satisfied,All sexes,Male,S&E occupations,Somewhat satisfied,,4,2573000,484000,571000,413000,295000,255000,200000,151000,205000
7775,r099,All sexes -> Male -> S&E occupations -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Somewhat dissatisfied,,4,437000,106000,106000,75000,48000,35000,26000,19000,22000
7775,r100,All sexes -> Male -> S&E occupations -> Very dissatisfied,All sexes,Male,S&E occupations,Very dissatisfied,,4,79000,26000,25000,10000,3000,4000,5000,S,3000
7775,r101,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,427000,106000,100000,54000,29000,44000,24000,29000,39000
7775,r102,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,186000,49000,34000,19000,10000,22000,10000,16000,25000
7775,r103,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,204000,50000,53000,27000,17000,20000,12000,11000,13000
7775,r104,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,31000,5000,11000,8000,1000,S,1000,3000,S
7775,r105,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,5000,S,1000,S,0.05,,,,
7775,r106,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists,All sexes,Male,S&E occupations,Computer and mathematical scientists,,4,2979000,505000,653000,497000,395000,313000,224000,189000,202000
7775,r107,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very satisfied,5,1301000,199000,281000,204000,183000,147000,97000,93000,97000
7775,r108,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,1394000,239000,293000,247000,180000,145000,111000,85000,94000
7775,r109,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,238000,53000,59000,41000,30000,20000,14000,9000,11000
7775,r110,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,46000,14000,19000,4000,2000,S,S,,
7775,r111,All sexes -> Male -> S&E occupations -> Physical and related scientists,All sexes,Male,S&E occupations,Physical and related scientists,,4,273000,58000,53000,34000,24000,27000,27000,22000,28000
7775,r112,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very satisfied,5,115000,22000,18000,13000,9000,13000,13000,12000,15000
7775,r113,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat satisfied,5,130000,30000,31000,17000,11000,11000,11000,8000,10000
7775,r114,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,25000,5000,4000,4000,4000,S,3000,S,2000
7775,r115,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very dissatisfied,5,3000,1000,1000,0.05,,,0.05,,
7775,r116,All sexes -> Male -> S&E occupations -> Social and related scientists,All sexes,Male,S&E occupations,Social and related scientists,,4,279000,61000,64000,35000,23000,25000,12000,22000,37000
7775,r117,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Social and related scientists,Very satisfied,5,147000,26000,31000,14000,9000,14000,8000,18000,27000
7775,r118,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat satisfied,5,108000,25000,28000,16000,12000,10000,4000,4000,9000
7775,r119,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,22000,9000,S,S,2000,S,S,,
7775,r120,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Very dissatisfied,5,2000,1000,,,,,,,
7775,r121,All sexes -> Male -> S&E occupations -> Engineers,All sexes,Male,S&E occupations,Engineers,,4,1636000,297000,348000,226000,175000,151000,137000,109000,192000
