table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total,field_science,field_engineering,field_health
3544,r001,All institutions,All institutions,,1,-,30349,18819,3909,7621
3544,r002,All institutions -> Stanford U.,All institutions,Stanford U.,2,1,1186,733,130,323
3544,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,1118,532,57,529
3544,r004,All institutions -> U. Colorado,All institutions,U. Colorado,2,3,897,704,55,138
3544,r005,All institutions -> Cornell U.,All institutions,Cornell U.,2,4,752,526,100,126
3544,r006,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,5,720,381,91,248
3544,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,710,358,54,298
3544,r008,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,7,708,195,26,487
3544,r009,All institutions -> U. Michigan,All institutions,U. Michigan,2,8,686,307,91,288
3544,r010,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,9,632,321,70,241
3544,r011,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,10,624,328,119,177
3544,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,567,380,71,116
3544,r013,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,12,539,426,81,32
3544,r014,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,13,522,226,73,223
3544,r015,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,14,516,327,105,84
3544,r016,All institutions -> Duke U.,All institutions,Duke U.,2,15,497,280,63,154
3544,r017,"All institutions -> U. Maryland, College Park<sup>a</sup>",All institutions,"U. Maryland, College Park<sup>a</sup>",2,16,496,387,84,25
3544,r018,All institutions -> U. Washington,All institutions,U. Washington,2,17,494,393,42,59
3544,r019,All institutions -> U. Arizona,All institutions,U. Arizona,2,18,486,441,39,6
3544,r020,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,19,484,449,35,0
3544,r021,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,20,464,208,14,242
3544,r022,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,21,449,212,8,229
3544,r023,All institutions -> Indiana U.,All institutions,Indiana U.,2,22,430,245,9,176
3544,r024,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,23,412,284,102,26
3544,r025,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,24,410,128,106,176
3544,r026,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,25,400,219,1,180
3544,r027,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,26,316,286,30,0
3544,r028,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,27,300,128,69,103
3544,r029,"All institutions -> City of Hope, Irell and Manella Graduate School of Biological Sciences",All institutions,"City of Hope, Irell and Manella Graduate School of Biological Sciences",2,28,299,299,0,0
3544,r030,All institutions -> New York U.,All institutions,New York U.,2,29,286,140,7,139
3544,r031,All institutions -> U. Miami,All institutions,U. Miami,2,30,278,143,5,130
3544,r032,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,31,251,88,23,140
3544,r033,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,32,247,33,11,203
3544,r034,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,33,244,105,15,124
3544,r035,All institutions -> U. Oregon,All institutions,U. Oregon,2,34,243,214,0,29
3544,r036,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,35,231,95,5,131
3544,r037,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,36,230,175,45,10
3544,r038,All institutions -> Princeton U.,All institutions,Princeton U.,2,37,229,199,30,0
3544,r039,All institutions -> U. Chicago,All institutions,U. Chicago,2,38,228,158,0,70
3544,r040,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,39,227,72,155,0
3544,r041,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,40,225,195,20,10
