table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_state_r_d_expendituresa,field_state_r_d_plant_expendituresb
2470,r001,United States<sup>c</sup>,United States<sup>c</sup>,,1,2426882959,10290679
2470,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,2,19763230,0
2470,r003,United States<sup>c</sup> -> Alaska,United States<sup>c</sup>,Alaska,2,12502109,0
2470,r004,United States<sup>c</sup> -> Arizona,United States<sup>c</sup>,Arizona,2,17332044,0
2470,r005,United States<sup>c</sup> -> Arkansas,United States<sup>c</sup>,Arkansas,2,21098863,0
2470,r006,United States<sup>c</sup> -> California,United States<sup>c</sup>,California,2,526918585,338000
2470,r007,United States<sup>c</sup> -> Colorado,United States<sup>c</sup>,Colorado,2,36586577,0
2470,r008,United States<sup>c</sup> -> Connecticut,United States<sup>c</sup>,Connecticut,2,57241037,0
2470,r009,United States<sup>c</sup> -> Delaware,United States<sup>c</sup>,Delaware,2,3826318,0
2470,r010,United States<sup>c</sup> -> District of Columbia,United States<sup>c</sup>,District of Columbia,2,4222412,0
2470,r011,United States<sup>c</sup> -> Florida,United States<sup>c</sup>,Florida,2,170508724,4168184
2470,r012,United States<sup>c</sup> -> Georgia,United States<sup>c</sup>,Georgia,2,18875484,0
2470,r013,United States<sup>c</sup> -> Hawaii,United States<sup>c</sup>,Hawaii,2,7325591,11237
2470,r014,United States<sup>c</sup> -> Idaho,United States<sup>c</sup>,Idaho,2,17828263,52080
2470,r015,United States<sup>c</sup> -> Illinois,United States<sup>c</sup>,Illinois,2,17548556,0
2470,r016,United States<sup>c</sup> -> Indiana,United States<sup>c</sup>,Indiana,2,12357151,0
2470,r017,United States<sup>c</sup> -> Iowa,United States<sup>c</sup>,Iowa,2,9386675,0
2470,r018,United States<sup>c</sup> -> Kansas,United States<sup>c</sup>,Kansas,2,12355458,0
2470,r019,United States<sup>c</sup> -> Kentucky,United States<sup>c</sup>,Kentucky,2,26668173,0
2470,r020,United States<sup>c</sup> -> Louisiana,United States<sup>c</sup>,Louisiana,2,35142225,0
2470,r021,United States<sup>c</sup> -> Maine,United States<sup>c</sup>,Maine,2,32592625,0
2470,r022,United States<sup>c</sup> -> Maryland,United States<sup>c</sup>,Maryland,2,29107768,49891
2470,r023,United States<sup>c</sup> -> Massachusetts,United States<sup>c</sup>,Massachusetts,2,28425439,0
2470,r024,United States<sup>c</sup> -> Michigan,United States<sup>c</sup>,Michigan,2,8023318,0
2470,r025,United States<sup>c</sup> -> Minnesota,United States<sup>c</sup>,Minnesota,2,20150907,0
2470,r026,United States<sup>c</sup> -> Mississippi,United States<sup>c</sup>,Mississippi,2,12170278,0
2470,r027,United States<sup>c</sup> -> Missouri,United States<sup>c</sup>,Missouri,2,15055845,0
2470,r028,United States<sup>c</sup> -> Montana,United States<sup>c</sup>,Montana,2,8794140,5794
2470,r029,United States<sup>c</sup> -> Nebraska,United States<sup>c</sup>,Nebraska,2,28167688,0
2470,r030,United States<sup>c</sup> -> Nevada,United States<sup>c</sup>,Nevada,2,7871899,0
2470,r031,United States<sup>c</sup> -> New Hampshire,United States<sup>c</sup>,New Hampshire,2,8432696,0
2470,r032,United States<sup>c</sup> -> New Jersey,United States<sup>c</sup>,New Jersey,2,23886758,0
2470,r033,United States<sup>c</sup> -> New Mexico,United States<sup>c</sup>,New Mexico,2,3585944,0
2470,r034,United States<sup>c</sup> -> New York,United States<sup>c</sup>,New York,2,448501735,250000
2470,r035,United States<sup>c</sup> -> North Carolina,United States<sup>c</sup>,North Carolina,2,32754090,1000000
2470,r036,United States<sup>c</sup> -> North Dakota,United States<sup>c</sup>,North Dakota,2,12140358,0
2470,r037,United States<sup>c</sup> -> Ohio,United States<sup>c</sup>,Ohio,2,97758379,0
2470,r038,United States<sup>c</sup> -> Oklahoma,United States<sup>c</sup>,Oklahoma,2,29607888,109876
2470,r039,United States<sup>c</sup> -> Oregon,United States<sup>c</sup>,Oregon,2,44222659,2000000
2470,r040,United States<sup>c</sup> -> Pennsylvania,United States<sup>c</sup>,Pennsylvania,2,85050999,10000
2470,r041,United States<sup>c</sup> -> Rhode Island,United States<sup>c</sup>,Rhode Island,2,5512380,0
2470,r042,United States<sup>c</sup> -> South Carolina,United States<sup>c</sup>,South Carolina,2,46983243,430650
2470,r043,United States<sup>c</sup> -> South Dakota,United States<sup>c</sup>,South Dakota,2,2953214,115000
2470,r044,United States<sup>c</sup> -> Tennessee,United States<sup>c</sup>,Tennessee,2,7439395,0
2470,r045,United States<sup>c</sup> -> Texas,United States<sup>c</sup>,Texas,2,233030466,25
2470,r046,United States<sup>c</sup> -> Utah,United States<sup>c</sup>,Utah,2,7985508,1000
2470,r047,United States<sup>c</sup> -> Vermont,United States<sup>c</sup>,Vermont,2,2730591,47661
2470,r048,United States<sup>c</sup> -> Virginia,United States<sup>c</sup>,Virginia,2,29951353,301107
2470,r049,United States<sup>c</sup> -> Washington,United States<sup>c</sup>,Washington,2,51963060,1400174
2470,r050,United States<sup>c</sup> -> West Virginia,United States<sup>c</sup>,West Virginia,2,11068061,0
2470,r051,United States<sup>c</sup> -> Wisconsin,United States<sup>c</sup>,Wisconsin,2,17473890,0
2470,r052,United States<sup>c</sup> -> Wyoming,United States<sup>c</sup>,Wyoming,2,6002910,0
