table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
3498,r001,All graduate students,All graduate students,,,,1,690117,100.0,54467,100.0,2077,100.0,48844,100.0,38048,100.0,744,100.0,272545,100.0,15613,100.0,24166,100.0,233613,100.0
3498,r002,All graduate students -> Science,All graduate students,Science,,,2,453691,65.7,38193,70.1,1526,73.5,31482,64.5,26450,69.5,542,72.8,186405,68.4,10902,69.8,16868,69.8,141323,60.5
3498,r003,All graduate students -> Science -> Agricultural sciences,All graduate students,Science,Agricultural sciences,,3,9518,1.4,636,1.2,33,1.6,267,0.5,329,0.9,16,2.2,5003,1.8,186,1.2,181,0.7,2867,1.2
3498,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,91993,13.3,8450,15.5,276,13.3,8819,18.1,5270,13.9,147,19.8,43821,16.1,2630,16.8,3680,15.2,18900,8.1
3498,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,101284,14.7,4203,7.7,119,5.7,9343,19.1,5247,13.8,69,9.3,23620,8.7,1587,10.2,2921,12.1,54175,23.2
3498,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11878,1.7,882,1.6,39,1.9,377,0.8,258,0.7,9,1.2,7080,2.6,320,2.0,361,1.5,2552,1.1
3498,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,33159,4.8,1679,3.1,57,2.7,2391,4.9,716,1.9,7,0.9,9913,3.6,486,3.1,1001,4.1,16909,7.2
3498,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,11181,1.6,935,1.7,36,1.7,880,1.8,788,2.1,20,2.7,4807,1.8,292,1.9,356,1.5,3067,1.3
3498,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,11743,1.7,989,1.8,122,5.9,358,0.7,364,1.0,23,3.1,7388,2.7,355,2.3,441,1.8,1703,0.7
3498,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,42867,6.2,2792,5.1,89,4.3,2400,4.9,1063,2.8,21,2.8,17826,6.5,875,5.6,1021,4.2,16780,7.2
3498,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,61069,8.8,9931,18.2,276,13.3,3016,6.2,6184,16.3,111,14.9,32160,11.8,2117,13.6,3649,15.1,3625,1.6
3498,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,78999,11.4,7696,14.1,479,23.1,3631,7.4,6231,16.4,119,16.0,34787,12.8,2054,13.2,3257,13.5,20745,8.9
3498,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,164004,23.8,8643,15.9,242,11.7,11390,23.3,4220,11.1,95,12.8,48892,17.9,2773,17.8,3727,15.4,84022,36.0
3498,r014,All graduate students -> Health,All graduate students,Health,,,2,72422,10.5,7631,14.0,309,14.9,5972,12.2,7378,19.4,107,14.4,37248,13.7,1938,12.4,3571,14.8,8268,3.5
3498,r015,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,30822,4.5,3433,6.3,177,8.5,3119,6.4,4393,11.5,56,7.5,13614,5.0,971,6.2,1793,7.4,3266,1.4
3498,r016,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,41600,6.0,4198,7.7,132,6.4,2853,5.8,2985,7.8,51,6.9,23634,8.7,967,6.2,1778,7.4,5002,2.1
3498,r017,All graduate students -> Master's students,All graduate students,Master's students,,,2,408228,59.2,36777,67.5,1327,63.9,31301,64.1,27598,72.5,542,72.8,163836,60.1,9593,61.4,16396,67.8,120858,51.7
3498,r018,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,259795,37.6,24330,44.7,902,43.4,19529,40.0,18996,49.9,382,51.3,103762,38.1,6339,40.6,11138,46.1,74417,31.9
3498,r019,All graduate students -> Master's students -> Science -> Agricultural sciences,All graduate students,Master's students,Science,Agricultural sciences,4,5629,0.8,470,0.9,23,1.1,160,0.3,227,0.6,14,1.9,3425,1.3,134,0.9,123,0.5,1053,0.5
3498,r020,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,38078,5.5,3817,7.0,120,5.8,4197,8.6,3210,8.4,92,12.4,18281,6.7,1193,7.6,2018,8.4,5150,2.2
3498,r021,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,84092,12.2,3777,6.9,108,5.2,8274,16.9,4803,12.6,58,7.8,19908,7.3,1347,8.6,2494,10.3,43323,18.5
3498,r022,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5327,0.8,472,0.9,22,1.1,133,0.3,152,0.4,7,0.9,3722,1.4,154,1.0,179,0.7,486,0.2
3498,r023,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,19594,2.8,1123,2.1,42,2.0,1619,3.3,519,1.4,5,0.7,5425,2.0,256,1.6,650,2.7,9955,4.3
3498,r024,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary studies,4,8203,1.2,734,1.3,21,1.0,686,1.4,619,1.6,13,1.7,3450,1.3,231,1.5,261,1.1,2188,0.9
3498,r025,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,8066,1.2,691,1.3,86,4.1,230,0.5,216,0.6,21,2.8,5442,2.0,273,1.7,291,1.2,816,0.3
3498,r026,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,6361,0.9,698,1.3,26,1.3,439,0.9,335,0.9,6,0.8,2799,1.0,165,1.1,190,0.8,1703,0.7
3498,r027,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,40838,5.9,7361,13.5,181,8.7,1795,3.7,4709,12.4,87,11.7,20798,7.6,1336,8.6,2963,12.3,1608,0.7
3498,r028,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,43607,6.3,5187,9.5,273,13.1,1996,4.1,4206,11.1,79,10.6,20512,7.5,1250,8.0,1969,8.1,8135,3.5
3498,r029,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,91939,13.3,5846,10.7,168,8.1,7009,14.3,2708,7.1,69,9.3,30121,11.1,1672,10.7,2280,9.4,42066,18.0
3498,r030,All graduate students -> Master's students -> Health,All graduate students,Master's students,Health,,3,56494,8.2,6601,12.1,257,12.4,4763,9.8,5894,15.5,91,12.2,29953,11.0,1582,10.1,2978,12.3,4375,1.9
3498,r031,All graduate students -> Master's students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Master's students,Health,Clinical medicine<sup>a</sup>,4,26251,3.8,3004,5.5,156,7.5,2743,5.6,3799,10.0,46,6.2,11703,4.3,842,5.4,1639,6.8,2319,1.0
3498,r032,All graduate students -> Master's students -> Health -> Other health,All graduate students,Master's students,Health,Other health,4,30243,4.4,3597,6.6,101,4.9,2020,4.1,2095,5.5,45,6.0,18250,6.7,740,4.7,1339,5.5,2056,0.9
3498,r033,All graduate students -> Doctoral students,All graduate students,Doctoral students,,,2,281889,40.8,17690,32.5,750,36.1,17543,35.9,10450,27.5,202,27.2,108709,39.9,6020,38.6,7770,32.2,112755,48.3
3498,r034,All graduate students -> Doctoral students -> Science,All graduate students,Doctoral students,Science,,3,193896,28.1,13863,25.5,624,30.0,11953,24.5,7454,19.6,160,21.5,82643,30.3,4563,29.2,5730,23.7,66906,28.6
3498,r035,All graduate students -> Doctoral students -> Science -> Agricultural sciences,All graduate students,Doctoral students,Science,Agricultural sciences,4,3889,0.6,166,0.3,10,0.5,107,0.2,102,0.3,2,0.3,1578,0.6,52,0.3,58,0.2,1814,0.8
3498,r036,All graduate students -> Doctoral students -> Science -> Biological and biomedical sciences,All graduate students,Doctoral students,Science,Biological and biomedical sciences,4,53915,7.8,4633,8.5,156,7.5,4622,9.5,2060,5.4,55,7.4,25540,9.4,1437,9.2,1662,6.9,13750,5.9
3498,r037,All graduate students -> Doctoral students -> Science -> Computer and information sciences,All graduate students,Doctoral students,Science,Computer and information sciences,4,17192,2.5,426,0.8,11,0.5,1069,2.2,444,1.2,11,1.5,3712,1.4,240,1.5,427,1.8,10852,4.6
3498,r038,"All graduate students -> Doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,6551,0.9,410,0.8,17,0.8,244,0.5,106,0.3,2,0.3,3358,1.2,166,1.1,182,0.8,2066,0.9
3498,r039,All graduate students -> Doctoral students -> Science -> Mathematics and statistics,All graduate students,Doctoral students,Science,Mathematics and statistics,4,13565,2.0,556,1.0,15,0.7,772,1.6,197,0.5,2,0.3,4488,1.6,230,1.5,351,1.5,6954,3.0
3498,r040,All graduate students -> Doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,2978,0.4,201,0.4,15,0.7,194,0.4,169,0.4,7,0.9,1357,0.5,61,0.4,95,0.4,879,0.4
3498,r041,All graduate students -> Doctoral students -> Science -> Natural resources and conservation,All graduate students,Doctoral students,Science,Natural resources and conservation,4,3677,0.5,298,0.5,36,1.7,128,0.3,148,0.4,2,0.3,1946,0.7,82,0.5,150,0.6,887,0.4
3498,r042,All graduate students -> Doctoral students -> Science -> Physical sciences,All graduate students,Doctoral students,Science,Physical sciences,4,36506,5.3,2094,3.8,63,3.0,1961,4.0,728,1.9,15,2.0,15027,5.5,710,4.5,831,3.4,15077,6.5
3498,r043,All graduate students -> Doctoral students -> Science -> Psychology,All graduate students,Doctoral students,Science,Psychology,4,20231,2.9,2570,4.7,95,4.6,1221,2.5,1475,3.9,24,3.2,11362,4.2,781,5.0,686,2.8,2017,0.9
3498,r044,All graduate students -> Doctoral students -> Science -> Social sciences,All graduate students,Doctoral students,Science,Social sciences,4,35392,5.1,2509,4.6,206,9.9,1635,3.3,2025,5.3,40,5.4,14275,5.2,804,5.1,1288,5.3,12610,5.4
3498,r045,All graduate students -> Doctoral students -> Engineering,All graduate students,Doctoral students,Engineering,,3,72065,10.4,2797,5.1,74,3.6,4381,9.0,1512,4.0,26,3.5,18771,6.9,1101,7.1,1447,6.0,41956,18.0
3498,r046,All graduate students -> Doctoral students -> Health,All graduate students,Doctoral students,Health,,3,15928,2.3,1030,1.9,52,2.5,1209,2.5,1484,3.9,16,2.2,7295,2.7,356,2.3,593,2.5,3893,1.7
3498,r047,All graduate students -> Doctoral students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Doctoral students,Health,Clinical medicine<sup>a</sup>,4,4571,0.7,429,0.8,21,1.0,376,0.8,594,1.6,10,1.3,1911,0.7,129,0.8,154,0.6,947,0.4
3498,r048,All graduate students -> Doctoral students -> Health -> Other health,All graduate students,Doctoral students,Health,Other health,4,11357,1.6,601,1.1,31,1.5,833,1.7,890,2.3,6,0.8,5384,2.0,227,1.5,439,1.8,2946,1.3
