table_id,row_id,broad_field_and_academic_level_full_path,broad_field_and_academic_level_level_1,broad_field_and_academic_level_level_2,broad_field_and_academic_level_level_3,broad_field_and_academic_level_level_4,broad_field_and_academic_level_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1553,r001,All fields,All fields,,,,1,,,,,,,
1553,r002,All fields -> All levels,All fields,All levels,,,2,633070,673480,747400,776720,840160,808640,804420
1553,r003,All fields -> All levels -> Undergraduate,All fields,All levels,Undergraduate,,3,349400,371990,405930,416350,450850,440720,435260
1553,r004,All fields -> All levels -> Graduate,All fields,All levels,Graduate,,3,283680,301490,341470,360380,389310,367920,369150
1553,r005,All fields -> S&E fields,All fields,S&E fields,,,2,,,,,,,
1553,r006,All fields -> S&E fields -> All levels,All fields,S&E fields,All levels,,3,278180,305610,355910,384540,420610,406240,413040
1553,r007,All fields -> S&E fields -> All levels -> Undergraduate,All fields,S&E fields,All levels,Undergraduate,4,115800,130050,147790,157820,176570,176930,179440
1553,r008,All fields -> S&E fields -> All levels -> Graduate,All fields,S&E fields,All levels,Graduate,4,162390,175570,208110,226720,244040,229310,233600
1553,r009,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,,,,,,,
1553,r010,All fields -> Non-S&E fields -> All levels,All fields,Non-S&E fields,All levels,,3,354890,367870,391500,392190,419550,402400,391380
1553,r011,All fields -> Non-S&E fields -> All levels -> Undergraduate,All fields,Non-S&E fields,All levels,Undergraduate,4,233600,241950,258140,258520,274280,263790,255830
1553,r012,All fields -> Non-S&E fields -> All levels -> Graduate,All fields,Non-S&E fields,All levels,Graduate,4,121290,125920,133360,133660,145270,138610,135550
