table_id,row_id,type_of_funded_organization_full_path,type_of_funded_organization_level_1,type_of_funded_organization_level_2,type_of_funded_organization_hierarchy_depth,field_total_funds_for_r_d
7158,r001,Total ,Total ,,1,10528134
7158,r002,Total  -> Universities,Total ,Universities,2,7596196
7158,r003,Total  -> Other nonprofits,Total ,Other nonprofits,2,1829889
7158,r004,Total  -> Businesses,Total ,Businesses,2,869874
7158,r005,Total  -> Other,Total ,Other,2,232176
