table_id,row_id,rank,baccalaureate_institution_,hispanic_doctorate_recipients,institutional_control,2018_carnegie_classification,hhe_status
7145,r001,na,Life sciencesa,,,,
7145,r002,1,"U. Puerto Rico, Mayaguez",246,Public,M1: master's institutions - larger programs,Yes
7145,r003,2,"U. Puerto Rico, Rio Piedras",218,Public,R2: doctoral universities,Yes
7145,r004,3,"U. Texas, El Paso",122,Public,R1: doctoral universities,Yes
7145,r005,4,"U. California, Davis",113,Public,R1: doctoral universities,No
7145,r006,4,"U. California, Los Angeles",113,Public,R1: doctoral universities,No
7145,r007,6,U. Florida,106,Public,R1: doctoral universities,No
7145,r008,7,"U. California, Irvine",97,Public,R1: doctoral universities,Yes
7145,r009,8,U. Arizona,91,Public,R1: doctoral universities,Yes
7145,r010,9,Florida International U.,88,Public,R1: doctoral universities,Yes
7145,r011,9,"Texas A&M U., College Station and Health Science Center",88,Public,R1: doctoral universities,Yes
7145,r012,na,Physical sciences and earth sciences,,,,
7145,r013,1,"U. Puerto Rico, Rio Piedras",119,Public,R2: doctoral universities,Yes
7145,r014,2,"U. Puerto Rico, Mayaguez",85,Public,M1: master's institutions - larger programs,Yes
7145,r015,3,Florida International U.,59,Public,R1: doctoral universities,Yes
7145,r016,4,"U. California, Berkeley",41,Public,R1: doctoral universities,No
7145,r017,4,"U. Texas, El Paso",41,Public,R1: doctoral universities,Yes
7145,r018,6,"U. California, Los Angeles",34,Public,R1: doctoral universities,No
7145,r019,7,U. Florida,33,Public,R1: doctoral universities,No
7145,r020,8,Massachusetts Institute of Technology,32,Private,R1: doctoral universities,No
7145,r021,9,"U. Puerto Rico, Cayey",28,Public,Baccalaureate colleges: arts and sciences focus,Yes
7145,r022,10,California Institute of Technology,27,Private,R1: doctoral universities,No
7145,r023,na,Mathematics and computer sciences,,,,
7145,r024,1,"U. Puerto Rico, Rio Piedras",29,Public,R2: doctoral universities,Yes
7145,r025,2,Florida International U.,22,Public,R1: doctoral universities,Yes
7145,r026,3,"U. Texas, El Paso",20,Public,R1: doctoral universities,Yes
7145,r027,4,Massachusetts Institute of Technology,17,Private,R1: doctoral universities,No
7145,r028,4,"U. California, Berkeley",17,Public,R1: doctoral universities,No
7145,r029,4,"U. Puerto Rico, Mayaguez",17,Public,M1: master's institutions - larger programs,Yes
7145,r030,7,"U. California, Los Angeles",14,Public,R1: doctoral universities,No
7145,r031,8,U. Arizona,12,Public,R1: doctoral universities,Yes
7145,r032,9,"U. California, San Diego",11,Public,R1: doctoral universities,No
7145,r033,9,U. Florida,11,Public,R1: doctoral universities,No
7145,r034,9,"U. Texas, Austin",11,Public,R1: doctoral universities,Yes
7145,r035,na,Psychology and social sciences ,,,,
7145,r036,1,"U. Puerto Rico, Rio Piedras",260,Public,R2: doctoral universities,Yes
7145,r037,2,"U. California, Berkeley",111,Public,R1: doctoral universities,No
7145,r038,3,"U. California, Los Angeles",106,Public,R1: doctoral universities,No
7145,r039,4,U. Florida,95,Public,R1: doctoral universities,No
7145,r040,5,Florida International U.,90,Public,R1: doctoral universities,Yes
7145,r041,6,"U. Puerto Rico, Mayaguez",83,Public,M1: master's institutions - larger programs,Yes
7145,r042,7,"U. Texas, Austin",76,Public,R1: doctoral universities,Yes
7145,r043,8,U. Miami,66,Private,R1: doctoral universities,No
7145,r044,9,Harvard U.,62,Private,R1: doctoral universities,No
7145,r045,9,"U. California, San Diego",62,Public,R1: doctoral universities,No
7145,r046,na,Engineering,,,,
7145,r047,1,"U. Puerto Rico, Mayaguez",292,Public,M1: master's institutions - larger programs,Yes
7145,r048,2,U. Florida,106,Public,R1: doctoral universities,No
7145,r049,3,"U. Texas, El Paso",94,Public,R1: doctoral universities,Yes
7145,r050,4,Massachusetts Institute of Technology,79,Private,R1: doctoral universities,No
7145,r051,5,"U. Texas, Austin",58,Public,R1: doctoral universities,Yes
7145,r052,6,"Texas A&M U., College Station and Health Science Center",44,Public,R1: doctoral universities,Yes
7145,r053,7,"U. New Mexico, Albuquerque",43,Public,R1: doctoral universities,Yes
7145,r054,8,U. Miami,41,Private,R1: doctoral universities,No
7145,r055,9,"U. California, Berkeley",40,Public,R1: doctoral universities,No
7145,r056,10,Florida International U.,33,Public,R1: doctoral universities,Yes
7145,r057,10,Georgia Institute of Technology,33,Public,R1: doctoral universities,No
7145,r058,na,Education,,,,
7145,r059,1,"U. Texas, Austin",79,Public,R1: doctoral universities,Yes
7145,r060,2,"U. California, Los Angeles",77,Public,R1: doctoral universities,No
7145,r061,3,"U. Texas, El Paso",64,Public,R1: doctoral universities,Yes
7145,r062,4,"U. California, Berkeley",51,Public,R1: doctoral universities,No
7145,r063,5,"New Mexico State U., Las Cruces",49,Public,R2: doctoral universities,Yes
7145,r064,5,"Texas A&M U., College Station and Health Science Center",49,Public,R1: doctoral universities,Yes
7145,r065,5,"U. New Mexico, Albuquerque",49,Public,R1: doctoral universities,Yes
7145,r066,8,Florida International U.,47,Public,R1: doctoral universities,Yes
7145,r067,9,"U. Texas, San Antonio",45,Public,R2: doctoral universities,Yes
7145,r068,10,Texas State U.,44,Public,R2: doctoral universities,Yes
7145,r069,na,Humanities and arts,,,,
7145,r070,1,"U. Puerto Rico, Rio Piedras",145,Public,R2: doctoral universities,Yes
7145,r071,2,"U. California, Berkeley",88,Public,R1: doctoral universities,No
7145,r072,3,"U. California, Los Angeles",82,Public,R1: doctoral universities,No
7145,r073,4,"U. Texas, Austin",52,Public,R1: doctoral universities,Yes
7145,r074,5,Florida International U.,50,Public,R1: doctoral universities,Yes
7145,r075,5,"U. New Mexico, Albuquerque",50,Public,R1: doctoral universities,Yes
7145,r076,7,"U. Puerto Rico, Mayaguez",39,Public,M1: master's institutions - larger programs,Yes
7145,r077,8,New York U.,36,Private,R1: doctoral universities,No
7145,r078,9,Harvard U.,31,Private,R1: doctoral universities,No
7145,r079,9,U. Arizona,31,Public,R1: doctoral universities,Yes
7145,r080,na,Otherb,,,,
7145,r081,1,"U. Puerto Rico, Rio Piedras",42,Public,R2: doctoral universities,Yes
7145,r082,2,Florida International U.,23,Public,R1: doctoral universities,Yes
7145,r083,3,U. Florida,20,Public,R1: doctoral universities,No
7145,r084,4,"U. Puerto Rico, Mayaguez",18,Public,M1: master's institutions - larger programs,Yes
7145,r085,5,"U. Texas, Austin",17,Public,R1: doctoral universities,Yes
7145,r086,5,"U. Texas, El Paso",17,Public,R1: doctoral universities,Yes
7145,r087,7,"Texas A&M U., College Station and Health Science Center",13,Public,R1: doctoral universities,Yes
7145,r088,7,U. Southern California,13,Private,R1: doctoral universities,No
7145,r089,9,Arizona State U.,11,Public,R1: doctoral universities,Yes
7145,r090,9,Florida State U.,11,Public,R1: doctoral universities,No
7145,r091,9,New York U.,11,Private,R1: doctoral universities,No
7145,r092,9,"U. Illinois, Urbana-Champaign",11,Public,R1: doctoral universities,No
7145,r093,9,U. Texas Rio Grande Valley,11,Public,R2: doctoral universities,Yes
