table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
12868,r001,FYs 1986&#8211;87,All sources,,1,2050.6
12868,r002,FYs 1986&#8211;87,Government,Federal,2,145.4
12868,r003,FYs 1986&#8211;87,Government,State and local,2,779.1
12868,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,1126.1
12868,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,1887.7
12868,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,129.9
12868,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,690.4
12868,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,1067.4
12868,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,162.9
12868,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,15.5
12868,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,88.7
12868,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,58.7
12868,r013,FYs 1988&#8211;89,All sources,,1,2464.5
12868,r014,FYs 1988&#8211;89,Government,Federal,2,352.0
12868,r015,FYs 1988&#8211;89,Government,State and local,2,890.7
12868,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,1221.8
12868,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,2315.0
12868,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,339.0
12868,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,807.3
12868,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,1168.7
12868,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,149.5
12868,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,13.0
12868,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,83.4
12868,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,53.1
12868,r025,FYs 1990&#8211;91,All sources,,1,2975.6
12868,r026,FYs 1990&#8211;91,Government,Federal,2,476.3
12868,r027,FYs 1990&#8211;91,Government,State and local,2,956.6
