table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_doi,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10395,r001,All states and outlying areas,All states and outlying areas,,1,43222829,454335,5350798,1595404,70800,191599,46981,25610027,1395567,6380720,1841690,284907
10395,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,581957,3563,47256,11741,952,1296,0,374457,13470,61247,61755,6222
10395,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,123875,2715,9813,11819,2797,3800,0,14552,17555,51813,6331,2680
10395,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,603521,4416,85066,20257,316,3734,0,241560,85976,143081,15638,3477
10395,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,154659,0,22654,1570,10,0,0,74911,1325,27276,24619,2295
10395,r006,All states and outlying areas -> California,All states and outlying areas,California,2,5802921,14387,660538,181173,17780,14376,8100,3789670,175377,823018,99467,19035
10395,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,960172,76118,88956,43978,5673,1177,1696,424220,69193,222626,22939,3595
10395,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,858540,6058,85043,16009,487,5208,0,638273,3553,87505,14270,2134
10395,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,254296,96706,24185,20260,952,1320,0,47205,3498,44548,15458,163
10395,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,469641,239,39094,2498,49,4768,0,158283,149771,109944,1166,3829
10395,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,1126801,20635,126940,42791,6130,12478,1437,575746,35216,244659,50103,10667
10395,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,1235838,8144,224636,28979,664,2991,4019,734408,18751,148895,55960,8393
10395,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,200470,390,44957,1508,0,0,0,54144,22167,53626,23577,100
10395,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,83522,815,690,7327,665,0,0,16767,3116,33627,20115,399
10395,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,1634531,5415,161581,119694,115,3797,0,986571,20289,277779,45701,13589
10395,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,721074,9333,83348,33581,1615,1725,0,349178,12445,169016,55226,5607
10395,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,371343,7279,22834,12448,300,858,0,209251,921,56822,53846,6784
