table_id,row_id,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_full_path,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_1,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_2,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_3,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_4,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_5,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_6,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7941,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,,
7941,r002,All institutions -> Number of institutions with clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,,,,,2,173,178,166,169,176,178,174,181,180,191,189,194
7941,r003,All institutions -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,,,,3,43587067,46154058,46182393,47521867,48823411,50518176,52974681,56092244,60206052,64936027,66979960,69735128
7941,r004,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,,4,1533053,1587503,1667554,1756031,1998453,2138547,2367976,2621635,2938075,3093342,3154663,3387004
7941,r005,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,,4,27502023,29715665,28976410,28839622,28242451,28219390,29059366,30420421,32030351,34832958,36154336,38637519
7941,r006,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,,5,539834,637812,665163,747442,793733,840757,867041,920753,1032010,1183895,1186056,1447555
7941,r007,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,,4,16085044,16438393,17205983,18682245,20580960,22298786,23915315,25671823,28175701,30103069,30825624,31097609
7941,r008,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,,5,993219,949691,1002391,1008589,1204720,1297790,1500935,1700882,1906065,1909447,1968607,1939449
7941,r009,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,,
7941,r010,All institutions -> Doctorate -> Number of institutions with clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,,,,3,147,150,150,154,159,163,159,167,168,178,179,181
