table_id,row_id,_b_source_of_foreign_funding_b_full_path,_b_source_of_foreign_funding_b_level_1,_b_source_of_foreign_funding_b_level_2,_b_source_of_foreign_funding_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
7928,r001,All foreign funds,All foreign funds,,1,1343381,34175,2.5
7928,r002,All foreign funds -> Foreign government,All foreign funds,Foreign government,2,285738,5853,2.0
7928,r003,All foreign funds -> Business,All foreign funds,Business,2,659378,46321,7.0
7928,r004,All foreign funds -> Nonprofit organizations,All foreign funds,Nonprofit organizations,2,268334,14966,5.6
7928,r005,All foreign funds -> Higher education institutions,All foreign funds,Higher education institutions,2,104444,6493,6.2
7928,r006,All foreign funds -> All other sources,All foreign funds,All other sources,2,25487,3926,15.4
