table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7953,r001,All R&D fields,All R&D fields,,,,1,23809028,24506142,25586784,27567207,29237972,30703080,32979234,34898363,37161992,39026015,40186034,40579987
7953,r002,All R&D fields -> Science,All R&D fields,Science,,,2,18270250,18582380,19417860,20855315,22389910,23548411,25168366,26731174,28498005,29868077,30812168,31252841
7953,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,462704,448206,461891,516198,538467,543701,636568,694706,767655,842784,925710,957195
7953,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,977987,971968,969612,1100736,1178542,1181535,1091976,1105544,1111248,1118719,1171759,1150720
7953,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,90667,97535,87634,95840,112263,120219,113396,120136,122304,129922,141786,140314
7953,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,348875,342724,350160,395998,418856,414661,393608,398414,433950,444710,462551,470182
7953,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,354927,343778,351584,389199,408322,403045,432824,441832,412190,402367,422569,394885
7953,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,183518,187931,180234,219699,239101,243610,152148,145162,142804,141720,144853,145339
7953,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,13282124,13674114,14446569,15337267,16688795,17609817,19074192,20349294,21741809,22792195,23390074,23911640
7953,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,2053440,2074100,2162369,2241442,2307493,2385336,2317228,2296289,2356617,2437010,2551644,2449311
