table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12578,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,5,5,5,0.0,0.0
12578,r002,R&D and R&D plant -> Community development (451),R&D and R&D plant,Community development (451),,,,2,0,0,0,-,-
12578,r003,R&D and R&D plant -> Area and regional development (452),R&D and R&D plant,Area and regional development (452),,,,2,5,5,5,0.0,0.0
12578,r004,R&D and R&D plant -> Area and regional development (452) -> Department of the Interior ,R&D and R&D plant,Area and regional development (452),Department of the Interior ,,,3,5,5,5,0.0,0.0
12578,r005,R&D and R&D plant -> Area and regional development (452) -> Department of the Interior  -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,Area and regional development (452),Department of the Interior ,Bureau of Indian Affairs and Bureau of Indian Education,,4,5,5,5,0.0,0.0
12578,r006,R&D and R&D plant -> Area and regional development (452) -> Appalachian Regional Commission,R&D and R&D plant,Area and regional development (452),Appalachian Regional Commission,,,3,0,0,0,-,-
12578,r007,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,5,5,5,0.0,0.0
12578,r008,R&D and R&D plant -> R&D -> Community development (451),R&D and R&D plant,R&D,Community development (451),,,3,0,0,0,-,-
12578,r009,R&D and R&D plant -> R&D -> Area and regional development (452),R&D and R&D plant,R&D,Area and regional development (452),,,3,5,5,5,0.0,0.0
12578,r010,R&D and R&D plant -> R&D -> Area and regional development (452) -> Department of the Interior,R&D and R&D plant,R&D,Area and regional development (452),Department of the Interior,,4,5,5,5,0.0,0.0
12578,r011,R&D and R&D plant -> R&D -> Area and regional development (452) -> Department of the Interior -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,R&D,Area and regional development (452),Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,5,5,5,5,0.0,0.0
12578,r012,R&D and R&D plant -> R&D -> Area and regional development (452) -> Appalachian Regional Commission,R&D and R&D plant,R&D,Area and regional development (452),Appalachian Regional Commission,,4,0,0,0,-,-
