table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2019,field_total_2020,field_total_2021,field_total_2022,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022
10142,r001,All institutions,All institutions,,1,-,"['1,965,378', '']","['1,928,978', '']","['1,996,074', '']","['2,126,741', '']","['1,182,601', '']","['1,167,364', '']","['1,235,822', '']","['1,322,328', '']"
10142,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['65,572', '']","['68,745', '']","['68,492', '']","['70,707', '']","['38,487', '']","['41,413', '']","['37,311', '']","['42,570', '']"
10142,r003,All institutions -> U. Houston,All institutions,U. Houston,2,2,"['34,730', '']","['40,835', '']","['43,502', '']","['50,262', '']","['2,298', '']","['2,981', '']","['3,476', '']","['5,173', '']"
10142,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['30,743', '']","['36,326', '']","['41,402', '']","['49,390', '']","['15,560', '']","['17,414', '']","['21,494', '']","['28,472', '']"
10142,r005,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,4,"['40,651', '']","['35,130', '']","['36,484', '']","['40,697', '']","['25,466', '']","['22,766', '']","['25,004', '']","['22,536', '']"
10142,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['34,683', '']","['33,675', '']","['37,078', '']","['37,601', '']","['20,722', '']","['19,149', '']","['22,149', '']","['20,608', '']"
10142,r007,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,6,"['42,498', '']","['40,638', '']","['37,366', 'i']","['36,223', '']","['28,469', '']","['26,664', '']","['22,573', '']","['21,863', '']"
10142,r008,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,7,"['26,369', '']","['31,441', '']","['33,896', '']","['36,183', '']","['17,502', '']","['19,249', '']","['22,131', '']","['23,999', '']"
10142,r009,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,8,"['31,179', '']","['32,375', '']","['37,408', '']","['35,819', '']","['18,377', '']","['19,258', '']","['22,959', '']","['22,375', '']"
10142,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['32,067', '']","['27,429', '']","['27,339', '']","['33,116', '']","['21,472', '']","['16,704', '']","['21,719', '']","['27,997', '']"
10142,r011,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,10,"['29,977', '']","['31,361', '']","['33,006', '']","['32,418', '']","['19,168', '']","['18,164', '']","['19,179', '']","['20,011', '']"
10142,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['24,143', '']","['22,546', '']","['23,102', '']","['31,221', '']","['16,280', '']","['15,780', '']","['16,230', '']","['22,796', '']"
10142,r013,All institutions -> U. Chicago,All institutions,U. Chicago,2,12,"['23,963', '']","['24,631', '']","['24,034', '']","['31,158', '']","['19,011', '']","['20,747', '']","['20,993', '']","['26,860', '']"
10142,r014,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,13,"['22,763', '']","['22,953', '']","['26,272', '']","['30,984', '']","['11,830', '']","['12,344', '']","['14,122', '']","['16,510', '']"
10142,r015,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,14,"['35,411', '']","['34,642', '']","['35,360', '']","['30,955', '']","['21,926', '']","['21,367', '']","['20,905', '']","['18,398', '']"
10142,r016,All institutions -> Cornell U.,All institutions,Cornell U.,2,15,"['26,542', '']","['27,423', '']","['27,978', '']","['30,250', '']","['19,679', '']","['21,016', '']","['19,666', '']","['22,442', '']"
10142,r017,All institutions -> Stanford U.,All institutions,Stanford U.,2,16,"['25,306', '']","['25,478', '']","['27,849', '']","['29,681', '']","['22,382', '']","['22,802', '']","['25,419', '']","['26,211', '']"
10142,r018,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,17,"['28,342', '']","['29,216', '']","['30,859', '']","['29,610', '']","['17,970', '']","['18,246', '']","['19,720', '']","['18,107', '']"
10142,r019,All institutions -> Florida International U.,All institutions,Florida International U.,2,18,"['17,688', '']","['18,412', '']","['22,439', '']","['28,705', '']","['6,744', '']","['7,623', '']","['12,085', '']","['16,674', '']"
10142,r020,All institutions -> Princeton U.,All institutions,Princeton U.,2,19,"['22,317', '']","['25,095', '']","['29,163', '']","['28,604', '']","['11,066', '']","['13,611', '']","['13,984', '']","['13,432', '']"
10142,r021,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,20,"['22,113', '']","['24,008', '']","['23,508', '']","['25,922', '']","['19,183', '']","['21,802', '']","['21,211', '']","['23,761', '']"
10142,r022,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,21,"['24,066', '']","['24,507', '']","['23,182', '']","['25,693', '']","['7,711', '']","['8,781', '']","['8,988', '']","['11,112', '']"
10142,r023,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,22,"['24,180', 'i']","['25,946', 'i']","['24,078', 'i']","['25,673', 'i']","['22,678', '']","['24,462', '']","['22,938', '']","['22,992', '']"
10142,r024,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,23,"['20,121', '']","['21,246', '']","['23,124', '']","['25,511', '']","['12,441', '']","['13,345', '']","['15,115', '']","['17,415', '']"
10142,r025,All institutions -> Emory U.,All institutions,Emory U.,2,24,"['20,261', '']","['19,048', '']","['20,841', '']","['24,772', '']","['13,433', '']","['12,627', '']","['15,197', '']","['14,402', '']"
10142,r026,All institutions -> Yale U.,All institutions,Yale U.,2,25,"['23,452', '']","['21,309', '']","['21,464', '']","['23,376', '']","['14,079', '']","['10,663', '']","['12,340', '']","['16,105', '']"
10142,r027,All institutions -> U. Florida,All institutions,U. Florida,2,26,"['12,084', '']","['10,773', '']","['12,984', '']","['22,973', '']","['6,722', '']","['6,769', '']","['7,415', '']","['9,638', '']"
10142,r028,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,27,"['25,802', '']","['22,323', '']","['22,555', '']","['22,397', '']","['17,973', '']","['15,235', '']","['15,425', '']","['15,762', '']"
10142,r029,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,28,"['23,711', '']","['19,842', '']","['24,038', '']","['21,680', '']","['16,506', '']","['14,839', '']","['16,178', '']","['17,355', '']"
10142,r030,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,29,"['22,169', '']","['21,988', '']","['18,924', '']","['21,156', '']","['16,378', '']","['15,738', '']","['12,676', '']","['15,716', '']"
10142,r031,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,30,"['15,321', '']","['16,470', '']","['18,584', '']","['20,895', '']","['7,452', '']","['8,614', '']","['7,913', '']","['8,569', '']"
10142,r032,All institutions -> Florida State U.,All institutions,Florida State U.,2,31,"['20,708', '']","['23,225', '']","['20,686', '']","['20,685', '']","['11,289', '']","['12,958', '']","['11,182', '']","['11,140', '']"
10142,r033,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,32,"['21,094', '']","['22,061', '']","['20,661', '']","['19,860', '']","['14,112', '']","['14,721', '']","['15,439', '']","['13,989', '']"
10142,r034,All institutions -> U. Delaware,All institutions,U. Delaware,2,33,"['9,124', '']","['8,146', '']","['9,404', '']","['19,259', '']","['7,107', '']","['6,472', '']","['7,732', '']","['9,278', '']"
10142,r035,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,34,"['19,039', '']","['19,430', '']","['17,500', '']","['18,778', '']","['12,357', '']","['11,206', '']","['10,812', '']","['11,725', '']"
10142,r036,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,35,"['11,749', '']","['11,983', '']","['16,528', '']","['17,944', '']","['8,577', '']","['9,611', '']","['14,024', '']","['14,752', '']"
10142,r037,All institutions -> Boston U.,All institutions,Boston U.,2,36,"['13,712', '']","['14,230', '']","['17,695', '']","['17,896', '']","['8,686', '']","['9,210', '']","['11,004', '']","['10,572', '']"
10142,r038,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,37,"['12,997', '']","['13,559', '']","['16,401', '']","['17,734', '']","['5,760', '']","['7,056', '']","['9,126', '']","['9,796', '']"
10142,r039,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,38,"['13,683', '']","['13,607', '']","['14,017', '']","['15,996', '']","['9,783', '']","['9,896', '']","['9,954', '']","['12,099', '']"
10142,r040,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,39,"['10,320', '']","['11,806', '']","['12,568', '']","['15,669', '']","['5,939', '']","['7,154', '']","['8,166', '']","['8,837', '']"
10142,r041,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,40,"['18,532', '']","['17,696', '']","['16,923', '']","['15,578', '']","['11,300', '']","['10,176', '']","['13,617', '']","['13,319', '']"
10142,r042,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,41,"['17,222', '']","['16,058', '']","['15,518', '']","['15,366', '']","['11,279', '']","['10,893', '']","['9,776', '']","['10,128', '']"
