table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performersb
8823,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['466,162', '']","['4.1', '&nbsp;']","['4.3', '']"
8823,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['264,596', '']","['4.6', '&nbsp;']","['4.7', '']"
8823,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,985', '']","['0.8', '&nbsp;']","['0.8', '']"
8823,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,056', '']","['0.7', '&nbsp;']","['0.7', '']"
8823,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['812', '']","['1.3', '&nbsp;']","['1.3', '']"
8823,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['183', '']","['0.4', '&nbsp;']","['0.4', '']"
8823,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['927', '']","['1.1', '&nbsp;']","['1.1', '']"
8823,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['282', '']","['0.9', '&nbsp;']","['0.9', '']"
8823,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,222', '']","['0.6', '&nbsp;']","['0.6', '']"
8823,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['89,403', '']","['8.0', '&nbsp;']","['8.1', '']"
8823,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,523', '']","['1.0', '&nbsp;']","['1.0', '']"
8823,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,161', '']","['2.2', '&nbsp;']","['2.2', '']"
8823,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['775', '']","['0.9', '&nbsp;']","['0.9', '']"
8823,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['80,858', '']","['14.7', '&nbsp;']","['14.9', '']"
8823,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,476', '']","['2.2', '&nbsp;']","['2.2', '']"
8823,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,610', '']","['2.5', '&nbsp;']","['2.5', '']"
8823,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,607', '']","['1.4', '&nbsp;']","['1.4', '']"
8823,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,619', 'i']","['2.7', '&nbsp;']","['3.4', '']"
8823,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['795', '']","['1.1', '&nbsp;']","['1.2', '']"
8823,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,336', '']","['2.5', '&nbsp;']","['2.5', '']"
8823,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['15,071', '']","['4.2', '&nbsp;']","['4.3', '']"
8823,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,760', '']","['4.3', '&nbsp;']","['D', '']"
8823,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,121', '']","['15.4', '&nbsp;']","['15.4', '']"
8823,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,523', '']","['3.5', '&nbsp;']","['D', '']"
8823,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,667', '']","['3.1', '&nbsp;']","['3.2', '']"
8823,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['88,505', '']","['11.7', '&nbsp;']","['11.7', '']"
8823,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['11,107', '']","['10.9', '&nbsp;']","['D', '']"
8823,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['40,801', '']","['19.8', '&nbsp;']","['19.9', '']"
8823,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['11,012', '']","['5.9', '&nbsp;']","['5.9', '']"
