table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12387,r001,All states,All states,,1,"['200,719', '  ']","['186,198', '  ']","['198,389', '  ']"
12387,r002,All states -> Alabama,All states,Alabama,2,"['766', '  ']","['800', '  ']","['774', '  ']"
12387,r003,All states -> Alaska,All states,Alaska,2,"['3,705', '  ']","['197', '  ']","['163', '  ']"
12387,r004,All states -> Arizona,All states,Arizona,2,"['1,132', '  ']","['956', '  ']","['1,217', '  ']"
12387,r005,All states -> Arkansas,All states,Arkansas,2,"['455', 'i ']","['785', 'i ']","['165', '  ']"
12387,r006,All states -> California,All states,California,2,"['27,749', '  ']","['20,018', '  ']","['20,111', '  ']"
12387,r007,All states -> Colorado,All states,Colorado,2,"['1,300', '  ']","['1,598', '  ']","['2,136', '  ']"
12387,r008,All states -> Connecticut,All states,Connecticut,2,"['904', 'i ']","['529', '  ']","['593', '  ']"
12387,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12387,r010,All states -> District of Columbia,All states,District of Columbia,2,"['7,964', '  ']","['6,078', '  ']","['5,705', '  ']"
12387,r011,All states -> Florida,All states,Florida,2,"['4,129', 'i ']","['6,505', 'i ']","['6,335', 'i ']"
12387,r012,All states -> Georgia,All states,Georgia,2,"['714', '  ']","['687', '  ']","['751', '  ']"
12387,r013,All states -> Hawaii,All states,Hawaii,2,"['721', '  ']","['353', '  ']","['188', '  ']"
12387,r014,All states -> Idaho,All states,Idaho,2,"['195', '  ']","['683', '  ']","['316', '  ']"
12387,r015,All states -> Illinois,All states,Illinois,2,"['3,597', '  ']","['5,923', 'i ']","['2,153', '  ']"
12387,r016,All states -> Indiana,All states,Indiana,2,"['279', '  ']","['1,016', '  ']","['106', '  ']"
12387,r017,All states -> Iowa,All states,Iowa,2,"['15', '  ']","['53', '  ']","['49', '  ']"
12387,r018,All states -> Kansas,All states,Kansas,2,"['73', '  ']","['120', '  ']","['140', '  ']"
12387,r019,All states -> Kentucky,All states,Kentucky,2,"['51', '  ']","['166', '  ']","['54', '  ']"
12387,r020,All states -> Louisiana,All states,Louisiana,2,"['399', 'i ']","['228', '  ']","['783', '  ']"
12387,r021,All states -> Maine,All states,Maine,2,"['1,194', '  ']","['1,395', '  ']","['2,165', '  ']"
12387,r022,All states -> Maryland,All states,Maryland,2,"['5,767', '  ']","['6,012', '  ']","['6,829', '  ']"
12387,r023,All states -> Massachusetts,All states,Massachusetts,2,"['36,786', '  ']","['33,883', '  ']","['38,309', '  ']"
12387,r024,All states -> Michigan,All states,Michigan,2,"['3,641', '  ']","['1,783', '  ']","['1,874', '  ']"
12387,r025,All states -> Minnesota,All states,Minnesota,2,"['12,882', 'i ']","['20,205', 'i ']","['19,919', 'i ']"
12387,r026,All states -> Mississippi,All states,Mississippi,2,"['42', '  ']","['13', '  ']","['14', '  ']"
12387,r027,All states -> Missouri,All states,Missouri,2,"['1,576', 'i ']","['505', '  ']","['1,524', 'i ']"
12387,r028,All states -> Montana,All states,Montana,2,"['31', '  ']","['43', '  ']","['73', '  ']"
12387,r029,All states -> Nebraska,All states,Nebraska,2,"['306', '  ']","['38', '  ']","['137', '  ']"
12387,r030,All states -> Nevada,All states,Nevada,2,"['49', '  ']","['160', '  ']","['108', '  ']"
12387,r031,All states -> New Hampshire,All states,New Hampshire,2,"['406', '  ']","['370', '  ']","['399', '  ']"
12387,r032,All states -> New Jersey,All states,New Jersey,2,"['483', '  ']","['1,405', '  ']","['1,525', '  ']"
12387,r033,All states -> New Mexico,All states,New Mexico,2,"['572', 'i ']","['185', '  ']","['145', '  ']"
12387,r034,All states -> New York,All states,New York,2,"['18,161', '  ']","['18,563', '  ']","['29,499', 'i ']"
12387,r035,All states -> North Carolina,All states,North Carolina,2,"['15,596', '  ']","['4,246', '  ']","['6,898', '  ']"
12387,r036,All states -> North Dakota,All states,North Dakota,2,"['53', '  ']","['5', '  ']","['10', '  ']"
12387,r037,All states -> Ohio,All states,Ohio,2,"['9,445', '  ']","['10,039', '  ']","['11,428', '  ']"
12387,r038,All states -> Oklahoma,All states,Oklahoma,2,"['713', '  ']","['658', '  ']","['709', '  ']"
12387,r039,All states -> Oregon,All states,Oregon,2,"['733', '  ']","['521', '  ']","['408', '  ']"
12387,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['5,986', '  ']","['4,114', '  ']","['3,659', '  ']"
12387,r041,All states -> Rhode Island,All states,Rhode Island,2,"['1,642', 'i ']","['2,359', '  ']","['2,669', '  ']"
12387,r042,All states -> South Carolina,All states,South Carolina,2,"['39', '  ']","['113', '  ']","['472', '  ']"
12387,r043,All states -> South Dakota,All states,South Dakota,2,"['11', '  ']","['0', '  ']","['143', '  ']"
12387,r044,All states -> Tennessee,All states,Tennessee,2,"['5,220', '  ']","['4,464', '  ']","['3,628', '  ']"
12387,r045,All states -> Texas,All states,Texas,2,"['6,945', '  ']","['8,248', '  ']","['5,621', '  ']"
12387,r046,All states -> Utah,All states,Utah,2,"['783', '  ']","['703', '  ']","['555', '  ']"
12387,r047,All states -> Vermont,All states,Vermont,2,"['52', '  ']","['134', '  ']","['1', '  ']"
12387,r048,All states -> Virginia,All states,Virginia,2,"['5,181', '  ']","['5,673', '  ']","['6,160', '  ']"
12387,r049,All states -> Washington,All states,Washington,2,"['10,553', '  ']","['8,729', '  ']","['9,558', '  ']"
12387,r050,All states -> West Virginia,All states,West Virginia,2,"['758', '  ']","['85', '  ']","['159', '  ']"
12387,r051,All states -> Wisconsin,All states,Wisconsin,2,"['957', '  ']","['4,847', '  ']","['2,047', '  ']"
