table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_count_of_repositories_contributed_to_by_institutional_members
5813,r001,Federal total,Federal total,,1,15716
5813,r002,Federal total -> Department of Energy,Federal total,Department of Energy,2,11156
5813,r003,Federal total -> National Aeronautics and Space Administration,Federal total,National Aeronautics and Space Administration,2,1102
5813,r004,Federal total -> Department of Health and Human Services,Federal total,Department of Health and Human Services,2,863
5813,r005,Federal total -> Department of Commerce,Federal total,Department of Commerce,2,819
5813,r006,Federal total -> Department of the Interior,Federal total,Department of the Interior,2,537
5813,r007,Federal total -> Department of Defense,Federal total,Department of Defense,2,321
5813,r008,Federal total -> General Services Administration,Federal total,General Services Administration,2,319
5813,r009,Federal total -> Smithsonian Institution,Federal total,Smithsonian Institution,2,107
5813,r010,Federal total -> Department of Agriculture,Federal total,Department of Agriculture,2,104
5813,r011,Federal total -> Department of Veterans Affairs,Federal total,Department of Veterans Affairs,2,76
5813,r012,Federal total -> All other federal departments and agencies,Federal total,All other federal departments and agencies,2,312
5813,r013,Selected business and university repositories,Selected business and university repositories,,1,57284
5813,r014,Selected business and university repositories -> Microsoft,Selected business and university repositories,Microsoft,2,25365
5813,r015,Selected business and university repositories -> RedHat,Selected business and university repositories,RedHat,2,24767
5813,r016,"Selected business and university repositories -> University of California, Berkeley",Selected business and university repositories,"University of California, Berkeley",2,7152
