table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_foreign_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
6580,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['63,989', '']","['21,461', '']","['17,563', '']","['1,991', '']","['21,941', '']","['100 - 192', '']","['123', '']","['47', '']","['3 - 16', '']","['627 - 719', '']","['32 - 44', '']"
6580,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['37,564', '']","['5,470', '']","['14,290', '']","['1,459', '']","['16,023', 'i']","['14 - 107', '']","['119', '']","['8', '']","['0 - 11', '']","['72 - 164', '']","['11 - 23', '']"
6580,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['243', '']","['5', 'i']","['234', '']","['2', '']","['*', 'i']","['0', '']","['0', '']","['*', 'i']","['0', '']","['1', 'i']","['0', '']"
6580,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['111', 'i']","['*', 'i']","['111', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['31', '']","['6', 'i']","['*', 'i']","['5', 'i']","['7', 'i']","['0', '']","['0', '']","['*', 'i']","['0', '']","['12', 'i']","['0', '']"
6580,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['6', '']","['0', '']","['6', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '']","['*', 'i']","['0', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']"
6580,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['103', '']","['0 - 21', '']","['72 - 104', '']","['0 - 9', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,775', '']","['1,967', '']","['6,643', '']","['816', '']","['289', '']","['1', '']","['*', '']","['6', '']","['0 - 10', '']","['45', '']","['0 - 10', '']"
