table_id,row_id,_b_type_of_agreement_b_full_path,_b_type_of_agreement_b_level_1,_b_type_of_agreement_b_level_2,_b_type_of_agreement_b_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations_,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2021_all_organizations_,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2022_all_organizations_,field_type_of_nonprofit_organizationa_fy_2022_healthcare,field_type_of_nonprofit_organizationa_fy_2022_science_and_technology,field_type_of_nonprofit_organizationa_fy_2022_other_nonprofit_organizations_
12373,r001,All funds for R&D,All funds for R&D,,1,"['8,230,657', '  ']","['909,284', '  ']","['1,610,208', '  ']","['5,711,166', '  ']","['8,723,736', '  ']","['1,295,917', '  ']","['1,897,991', '  ']","['5,529,828', '  ']","['8,277,041', '  ']","['1,329,548', '  ']","['1,931,920', '  ']","['5,015,573', '  ']"
12373,r002,All funds for R&D -> R&D grants or contracts,All funds for R&D,R&D grants or contracts,2,"['5,880,503', '  ']","['204,086', '  ']","['587,733', '  ']","['5,088,683', '  ']","['6,202,088', '  ']","['432,838', '  ']","['677,644', '  ']","['5,091,606', '  ']","['5,629,925', '  ']","['314,517', '  ']","['726,698', 'i ']","['4,588,711', '  ']"
12373,r003,All funds for R&D -> Subcontracts and subawards ,All funds for R&D,Subcontracts and subawards ,2,"['2,350,154', '  ']","['705,197', '  ']","['1,022,475', '  ']","['622,482', '  ']","['2,521,639', '  ']","['863,079', '  ']","['1,220,347', '  ']","['438,213', '  ']","['2,647,116', '  ']","['1,015,031', '  ']","['1,205,223', '  ']","['426,862', '  ']"
