table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_aid,field_arc,field_dhs,field_doc,field_doda_total,field_doda_research,field_doda_development_advanced_technology,field_doda_development_major_systems,field_doe,field_doi
4323,r001,All states and outlying areas,All states and outlying areas,,,1,35125460.1,57182.1,593.6,20385.5,348756.3,4679372.0,2662678.2,959543.3,1057150.4,1262777.4,63631.0
4323,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,491035.2,0.0,0.0,635.3,6579.7,52233.8,5027.9,34095.8,13110.0,9360.2,519.1
4323,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,3271.2,0.0,0.0,0.0,0.0,196.0,196.0,0.0,0.0,0.0,0.0
4323,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,2122.4,0.0,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0
4323,r005,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,40829.9,0.0,0.0,635.3,2887.0,1670.9,1420.9,250.0,0.0,2330.0,245.7
4323,r006,All states and outlying areas -> Alabama -> Gadsden State Community C.,All states and outlying areas,Alabama,Gadsden State Community C.,3,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r007,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r008,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,1315.0,0.0,0.0,0.0,202.4,170.0,170.0,0.0,0.0,0.0,0.0
4323,r009,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,205.8,0.0,0.0,0.0,0.0,205.8,205.8,0.0,0.0,0.0,0.0
4323,r010,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,2914.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r011,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,6667.3,0.0,0.0,0.0,0.0,192.7,192.7,0.0,0.0,0.0,0.0
4323,r012,"All states and outlying areas -> Alabama -> U. Alabama, Birmingham",All states and outlying areas,Alabama,"U. Alabama, Birmingham",3,348770.2,0.0,0.0,0.0,0.0,13514.1,80.0,12452.2,981.9,513.0,0.0
4323,r013,"All states and outlying areas -> Alabama -> U. Alabama, Huntsville",All states and outlying areas,Alabama,"U. Alabama, Huntsville",3,43995.6,0.0,0.0,0.0,217.1,33867.7,346.1,21393.6,12128.1,505.4,0.0
4323,r014,"All states and outlying areas -> Alabama -> U. Alabama, system office",All states and outlying areas,Alabama,"U. Alabama, system office",3,980.9,0.0,0.0,0.0,0.0,852.4,852.4,0.0,0.0,0.0,113.5
4323,r015,"All states and outlying areas -> Alabama -> U. Alabama, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, Tuscaloosa",3,22519.7,0.0,0.0,0.0,0.0,834.0,834.0,0.0,0.0,3300.8,150.0
4323,r016,All states and outlying areas -> Alabama -> U. North Alabama,All states and outlying areas,Alabama,U. North Alabama,3,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r017,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,16593.8,0.0,0.0,0.0,573.2,130.0,130.0,0.0,0.0,2711.0,10.0
4323,r018,All states and outlying areas -> Alabama -> U. West Alabama,All states and outlying areas,Alabama,U. West Alabama,3,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r019,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,103531.5,0.0,0.0,0.0,2863.1,9883.8,9883.8,0.0,0.0,3850.0,4385.1
4323,r020,All states and outlying areas -> Alaska -> Alaska Pacific U.,All states and outlying areas,Alaska,Alaska Pacific U.,3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r021,All states and outlying areas -> Alaska -> U. Alaska System of Higher Education,All states and outlying areas,Alaska,U. Alaska System of Higher Education,3,1256.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0
4323,r022,"All states and outlying areas -> Alaska -> U. Alaska, Anchorage, Anchorage Campus",All states and outlying areas,Alaska,"U. Alaska, Anchorage, Anchorage Campus",3,3909.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.9
4323,r023,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks, Fairbanks Campus",All states and outlying areas,Alaska,"U. Alaska, Fairbanks, Fairbanks Campus",3,94421.6,0.0,0.0,0.0,0.0,9883.8,9883.8,0.0,0.0,2700.0,3376.1
4323,r024,"All states and outlying areas -> Alaska -> U. Alaska, Southeast, Juneau",All states and outlying areas,Alaska,"U. Alaska, Southeast, Juneau",3,3920.4,0.0,0.0,0.0,2863.1,0.0,0.0,0.0,0.0,0.0,150.2
4323,r025,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,441188.2,450.0,0.0,0.0,1650.6,40541.8,35847.8,2843.9,1850.2,22409.8,1636.1
4323,r026,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,161049.8,450.0,0.0,0.0,35.3,24645.4,22795.2,0.0,1850.2,12534.4,217.7
4323,r027,All states and outlying areas -> Arizona -> Central Arizona C.,All states and outlying areas,Arizona,Central Arizona C.,3,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,r028,All states and outlying areas -> Arizona -> Dine C.,All states and outlying areas,Arizona,Dine C.,3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
