table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
10694,r001,All detailed fields,All detailed fields,,,,,1,501311,100.0,48303,100.0,1331,100.0,40873,100.0,31398,100.0,541,100.0,172212,100.0,12002,100.0,15345,100.0,179306,100.0
10694,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,331983,66.2,31959,66.2,752,56.5,26267,64.3,20810,66.3,382,70.6,110258,64.0,7876,65.6,9928,64.7,123751,69.0
10694,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,6949,1.4,644,1.3,19,1.4,267,0.7,364,1.2,13,2.4,3876,2.3,173,1.4,179,1.2,1414,0.8
10694,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,6165,1.2,556,1.2,19,1.4,232,0.6,327,1.0,12,2.2,3450,2.0,154,1.3,138,0.9,1277,0.7
10694,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,784,0.2,88,0.2,0,0.0,35,0.1,37,0.1,1,0.2,426,0.2,19,0.2,41,0.3,137,0.1
10694,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,43062,8.6,4953,10.3,93,7.0,4963,12.1,3807,12.1,61,11.3,18595,10.8,1425,11.9,1550,10.1,7615,4.2
10694,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,911,0.2,116,0.2,1,0.1,77,0.2,41,0.1,1,0.2,353,0.2,25,0.2,41,0.3,256,0.1
10694,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,7969,1.6,1083,2.2,22,1.7,558,1.4,603,1.9,23,4.3,4354,2.5,268,2.2,248,1.6,810,0.5
10694,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,5681,1.1,689,1.4,9,0.7,1072,2.6,967,3.1,5,0.9,1953,1.1,184,1.5,209,1.4,593,0.3
10694,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,8,0.05,1,0.05,0,0.0,1,0.05,0,0.0,0,0.0,4,0.05,1,0.05,1,0.05,0,0.0
