table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12570,r001,R&D and R&D plant,R&D and R&D plant,,,,1,178,162,162,-9.0,0.0
12570,r002,R&D and R&D plant -> International development and humanitarian assistance (151),R&D and R&D plant,International development and humanitarian assistance (151),,,2,178,162,162,-9.0,0.0
12570,r003,R&D and R&D plant -> International development and humanitarian assistance (151) -> Agency for International Development,R&D and R&D plant,International development and humanitarian assistance (151),Agency for International Development,,3,169,153,153,-9.5,0.0
12570,r004,R&D and R&D plant -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,International development and humanitarian assistance (151),Department of State,,3,2,2,2,0.0,0.0
12570,r005,R&D and R&D plant -> International security assistance (152),R&D and R&D plant,International security assistance (152),,,2,7,7,7,0.0,0.0
12570,r006,R&D and R&D plant -> International security assistance (152) -> Economic Support Fund,R&D and R&D plant,International security assistance (152),Economic Support Fund,,3,7,7,7,0.0,0.0
12570,r007,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,178,162,162,-9.0,0.0
12570,r008,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151),R&D and R&D plant,R&D,International development and humanitarian assistance (151),,3,178,162,162,-9.0,0.0
12570,r009,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Agency for International Development,R&D and R&D plant,R&D,International development and humanitarian assistance (151),Agency for International Development,4,169,153,153,-9.5,0.0
12570,r010,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,R&D,International development and humanitarian assistance (151),Department of State,4,2,2,2,0.0,0.0
12570,r011,R&D and R&D plant -> R&D -> International security assistance (152),R&D and R&D plant,R&D,International security assistance (152),,3,7,7,7,0.0,0.0
12570,r012,R&D and R&D plant -> R&D -> International security assistance (152) -> Economic Support Fund,R&D and R&D plant,R&D,International security assistance (152),Economic Support Fund,4,7,7,7,0.0,0.0
