table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_all_costs,field_included_in_institutional_plans_construct,field_included_in_institutional_plans_repair_or_renovate,field_not_included_in_institutional_plans_construct,field_not_included_in_institutional_plans_repair_or_renovate
7868,r001,All research space,All research space,,1,20505.5,8369.9,8110.0,1044.2,2981.4
7868,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,1318.0,621.3,458.6,55.9,182.2
7868,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,3977.4,1175.5,1896.4,202.4,703.2
7868,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,815.8,418.8,221.0,123.5,52.5
7868,r005,All research space -> Engineering,All research space,Engineering,2,4378.8,2396.7,1477.7,9.0,495.3
7868,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,1250.1,452.9,340.8,236.0,220.4
7868,r007,All research space -> Health sciences,All research space,Health sciences,2,3001.8,954.8,1581.4,228.3,237.3
7868,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,251.6,101.6,76.5,5.0,68.5
7868,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,416.1,95.9,255.0,18.7,46.5
7868,r010,All research space -> Physical sciences,All research space,Physical sciences,2,3194.5,1464.6,1056.0,121.5,552.4
7868,r011,All research space -> Psychology,All research space,Psychology,2,662.9,252.8,276.8,2.0,131.2
7868,r012,All research space -> Social sciences,All research space,Social sciences,2,700.3,201.7,355.4,1.0,142.2
7868,r013,All research space -> Other,All research space,Other,2,538.1,233.0,114.4,41.0,149.6
