table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10265,r001,All agencies,All agencies,,,,,1,100594656,50879431,4373221,40234425,2852861,1913840,88494,252385
10265,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10265,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,248877,223283,0,0,22931,1698,367,599
10265,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7484,4050,0,0,2659,302,350,123
10265,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,159900,144145,0,0,14255,1008,0.05,475
10265,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21217,15247,0,0,5970,0,0,0
10265,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,55136,55136,0,0,0,0,0,0
10265,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5140,4706,0,0,0.05,387,0,0
10265,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,282525,144533,793,8340,126403,1056,1395,0.05
10265,r010,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,38560,38560,0,0,0,0,0,0
10265,r011,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,73711,9749,0,0.05,63962,0,0,0
10265,r012,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,170254,96224,793,8340,62441,1056,1395,0.05
10265,r013,"All agencies -> Departments -> Department of Defense, total experimental development",All agencies,Departments,"Department of Defense, total experimental development",,,3,65095967,23939921,2444435,35253349,2028221,1217462,10414,202164
10265,r014,"All agencies -> Departments -> Department of Defense, total experimental development -> Defense Advanced Research Projects Agency",All agencies,Departments,"Department of Defense, total experimental development",Defense Advanced Research Projects Agency,,4,1812259,181663,30494,1517630,65330,17142,0,0
10265,r015,"All agencies -> Departments -> Department of Defense, total experimental development -> Defense Health Agency",All agencies,Departments,"Department of Defense, total experimental development",Defense Health Agency,,4,2362905,553586,3092,309357,778275,652651,0,65945
10265,r016,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Air Force",All agencies,Departments,"Department of Defense, total experimental development",Department of the Air Force,,4,10823005,4168158,507757,5955793,161362,29724,212,0
10265,r017,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Army",All agencies,Departments,"Department of Defense, total experimental development",Department of the Army,,4,10844886,4896625,103908,5467811,136577,199655,0,40310
10265,r018,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Navy",All agencies,Departments,"Department of Defense, total experimental development",Department of the Navy,,4,16587032,7287341,173385,8595560,390473,123175,304,16795
10265,r019,"All agencies -> Departments -> Department of Defense, total experimental development -> Space Force",All agencies,Departments,"Department of Defense, total experimental development",Space Force,,4,4517004,274046,228059,3992488,15431,0,6979,0
10265,r020,"All agencies -> Departments -> Department of Defense, total experimental development -> Other defense agencies",All agencies,Departments,"Department of Defense, total experimental development",Other defense agencies,,4,18148876,6578502,1397740,9414711,480773,195115,2919,79114
10265,r021,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",,4,10488317,3091775,261139,4866070,1205489,930853,2162,130829
10265,r022,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Defense Advanced Research Projects Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Defense Advanced Research Projects Agency,5,1639449,117031,30494,1409474,65330,17121,0,0
10265,r023,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Defense Health Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Defense Health Agency,5,1667967,44294,2670,211646,750305,595702,0,63350
10265,r024,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Air Force",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Air Force,5,989532,217027,10497,701876,53452,6468,212,0
10265,r025,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Army",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Army,5,2127203,1079980,33788,888005,83900,39633,0,1897
10265,r026,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Navy",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Navy,5,1004613,403129,6730,393877,103832,95824,0,1223
10265,r027,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Other defense agencies",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Other defense agencies,5,3059553,1230315,176961,1261192,148671,176106,1950,64359
10265,r028,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, major systems",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, major systems",,4,54607650,20848146,2183296,30387280,822732,286609,8252,71335
10265,r029,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, major systems -> Defense Advanced Research Projects Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, major systems",Defense Advanced Research Projects Agency,5,172810,64633,0,108156,0,0.05,0,0
10265,r030,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, major systems -> Defense Health Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, major systems",Defense Health Agency,5,694938,509292,422,97710,27971,56949,0,2595
10265,r031,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, major systems -> Department of the Air Force",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, major systems",Department of the Air Force,5,9833473,3951131,497260,5253916,107910,23255,0,0
10265,r032,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, major systems -> Department of the Army",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, major systems",Department of the Army,5,8717683,3816644,70120,4579806,52677,160023,0,38413
