table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
6840,r001,All degrees,All degrees,,,,1,48223000,24900000,23323000,4280000,121000,4498000,3805000,137000,34435000,946000,42610000,5613000
6840,r002,All degrees -> S&E occupations,All degrees,S&E occupations,,,2,6769000,1966000,4803000,505000,14000,1338000,382000,23000,4397000,109000,6120000,649000
6840,r003,"All degrees -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,S&E occupations,"Biological, agricultural, and other life scientists",,3,610000,292000,319000,38000,S,126000,20000,1000,415000,9000,570000,41000
6840,r004,All degrees -> S&E occupations -> Computer and mathematical scientists,All degrees,S&E occupations,Computer and mathematical scientists,,3,3419000,919000,2500000,200000,4000,840000,242000,12000,2070000,52000,3112000,307000
6840,r005,All degrees -> S&E occupations -> Physical and related scientists,All degrees,S&E occupations,Physical and related scientists,,3,366000,107000,259000,29000,S,51000,11000,S,265000,7000,332000,34000
6840,r006,All degrees -> S&E occupations -> Social and related scientists,All degrees,S&E occupations,Social and related scientists,,3,646000,379000,266000,95000,S,38000,48000,S,451000,10000,559000,87000
6840,r007,All degrees -> S&E occupations -> Engineers,All degrees,S&E occupations,Engineers,,3,1728000,269000,1459000,143000,5000,283000,62000,8000,1196000,31000,1548000,180000
6840,r008,All degrees -> S&E-related occupations,All degrees,S&E-related occupations,,,2,8271000,4764000,3507000,702000,28000,1042000,610000,16000,5726000,147000,7532000,739000
6840,r009,All degrees -> Non-S&E occupations,All degrees,Non-S&E occupations,,,2,33183000,18170000,15013000,3073000,80000,2118000,2813000,97000,24313000,689000,28958000,4225000
6840,r010,All degrees -> Bachelor's,All degrees,Bachelor's,,,2,30131000,15524000,14606000,2902000,86000,2347000,2419000,105000,21626000,645000,26490000,3641000
6840,r011,All degrees -> Bachelor's -> S&E occupations,All degrees,Bachelor's,S&E occupations,,3,3846000,979000,2867000,331000,9000,522000,252000,19000,2641000,72000,3461000,385000
6840,r012,"All degrees -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,230000,119000,110000,17000,,24000,8000,1000,175000,5000,214000,16000
6840,r013,All degrees -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degrees,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2219000,570000,1649000,153000,S,369000,193000,10000,1450000,40000,2014000,205000
6840,r014,All degrees -> Bachelor's -> S&E occupations -> Physical and related scientists,All degrees,Bachelor's,S&E occupations,Physical and related scientists,4,164000,49000,115000,17000,S,17000,6000,S,119000,3000,148000,16000
6840,r015,All degrees -> Bachelor's -> S&E occupations -> Social and related scientists,All degrees,Bachelor's,S&E occupations,Social and related scientists,4,172000,92000,80000,S,,4000,8000,,107000,S,133000,S
6840,r016,All degrees -> Bachelor's -> S&E occupations -> Engineers,All degrees,Bachelor's,S&E occupations,Engineers,4,1061000,149000,912000,93000,4000,109000,37000,7000,789000,21000,952000,109000
6840,r017,All degrees -> Bachelor's -> S&E-related occupations,All degrees,Bachelor's,S&E-related occupations,,3,4338000,2654000,1685000,415000,17000,479000,351000,9000,2983000,84000,3914000,424000
6840,r018,All degrees -> Bachelor's -> Non-S&E occupations,All degrees,Bachelor's,Non-S&E occupations,,3,21946000,11891000,10055000,2156000,59000,1346000,1817000,77000,16002000,488000,19115000,2831000
6840,r019,All degrees -> Master's,All degrees,Master's,,,2,13260000,7359000,5901000,1038000,21000,1482000,1116000,24000,9360000,219000,11716000,1545000
6840,r020,All degrees -> Master's -> S&E occupations,All degrees,Master's,S&E occupations,,3,2069000,670000,1399000,119000,3000,607000,98000,4000,1211000,27000,1868000,201000
6840,r021,"All degrees -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Master's,S&E occupations,"Biological, agricultural, and other life scientists",4,149000,75000,74000,8000,,34000,6000,,98000,2000,138000,11000
6840,r022,All degrees -> Master's -> S&E occupations -> Computer and mathematical scientists,All degrees,Master's,S&E occupations,Computer and mathematical scientists,4,1039000,298000,741000,38000,0.05,411000,44000,S,533000,11000,945000,94000
6840,r023,All degrees -> Master's -> S&E occupations -> Physical and related scientists,All degrees,Master's,S&E occupations,Physical and related scientists,4,98000,39000,59000,7000,,13000,3000,,73000,2000,91000,7000
6840,r024,All degrees -> Master's -> S&E occupations -> Social and related scientists,All degrees,Master's,S&E occupations,Social and related scientists,4,235000,155000,80000,24000,S,18000,22000,S,165000,3000,207000,28000
6840,r025,All degrees -> Master's -> S&E occupations -> Engineers,All degrees,Master's,S&E occupations,Engineers,4,548000,104000,445000,42000,1000,132000,23000,1000,342000,9000,488000,61000
6840,r026,All degrees -> Master's -> S&E-related occupations,All degrees,Master's,S&E-related occupations,,3,2262000,1405000,857000,153000,3000,271000,168000,5000,1623000,40000,2054000,208000
6840,r027,All degrees -> Master's -> Non-S&E occupations,All degrees,Master's,Non-S&E occupations,,3,8929000,5284000,3645000,766000,15000,604000,850000,16000,6526000,152000,7793000,1136000
6840,r028,All degrees -> Doctorate,All degrees,Doctorate,,,2,1796000,734000,1062000,98000,5000,337000,105000,2000,1220000,30000,1614000,182000
6840,r029,All degrees -> Doctorate -> S&E occupations,All degrees,Doctorate,S&E occupations,,3,786000,279000,507000,43000,S,198000,31000,,503000,9000,729000,57000
6840,r030,"All degrees -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",4,217000,90000,127000,11000,,62000,5000,,135000,2000,203000,14000
6840,r031,All degrees -> Doctorate -> S&E occupations -> Computer and mathematical scientists,All degrees,Doctorate,S&E occupations,Computer and mathematical scientists,4,150000,46000,104000,8000,,58000,5000,,79000,S,143000,7000
6840,r032,All degrees -> Doctorate -> S&E occupations -> Physical and related scientists,All degrees,Doctorate,S&E occupations,Physical and related scientists,4,101000,19000,82000,4000,,21000,2000,,72000,1000,90000,11000
6840,r033,All degrees -> Doctorate -> S&E occupations -> Social and related scientists,All degrees,Doctorate,S&E occupations,Social and related scientists,4,201000,108000,93000,12000,0.05,15000,17000,,154000,3000,185000,17000
6840,r034,All degrees -> Doctorate -> S&E occupations -> Engineers,All degrees,Doctorate,S&E occupations,Engineers,4,116000,16000,101000,8000,,42000,2000,,63000,2000,107000,9000
6840,r035,All degrees -> Doctorate -> S&E-related occupations,All degrees,Doctorate,S&E-related occupations,,3,267000,126000,140000,22000,,62000,6000,,173000,3000,238000,29000
6840,r036,All degrees -> Doctorate -> Non-S&E occupations,All degrees,Doctorate,Non-S&E occupations,,3,743000,328000,415000,33000,3000,76000,68000,S,544000,18000,647000,96000
6840,r037,All degrees -> Professional,All degrees,Professional,,,2,3036000,1283000,1754000,241000,S,333000,165000,6000,2230000,53000,2790000,246000
6840,r038,All degrees -> Professional -> S&E occupations,All degrees,Professional,S&E occupations,,3,67000,37000,30000,12000,,10000,2000,,42000,,61000,6000
6840,r039,"All degrees -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Professional,S&E occupations,"Biological, agricultural, and other life scientists",4,15000,7000,8000,1000,,6000,S,,7000,,15000,
6840,r040,All degrees -> Professional -> S&E occupations -> Computer and mathematical scientists,All degrees,Professional,S&E occupations,Computer and mathematical scientists,4,11000,S,7000,,,S,,,7000,,9000,
6840,r041,All degrees -> Professional -> S&E occupations -> Physical and related scientists,All degrees,Professional,S&E occupations,Physical and related scientists,4,2000,,2000,,,,,,2000,,2000,
