table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d_and_r_d_plant,field_type_of_r_d_total_r_d,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development,field_r_d_plant
10814,r001,All agencies sponsoring FFRDCs,All agencies sponsoring FFRDCs,,,,1,18817912,15380951,6730777,4402075,4248099,3436961
10814,r002,All agencies sponsoring FFRDCs -> Departments,All agencies sponsoring FFRDCs,Departments,,,2,,,,,,
10814,r003,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce,All agencies sponsoring FFRDCs,Departments,Department of Commerce,,3,16866,16866,0,13058,3808,0
10814,r004,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce -> National Cybersecurity Center of Excellence,All agencies sponsoring FFRDCs,Departments,Department of Commerce,National Cybersecurity Center of Excellence,4,16866,16866,0,13058,3808,0
10814,r005,All agencies sponsoring FFRDCs -> Departments -> Department of Defense,All agencies sponsoring FFRDCs,Departments,Department of Defense,,3,2700177,2649396,153125,642850,1853421,50781
10814,r006,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Aerospace FFRDC,All agencies sponsoring FFRDCs,Departments,Department of Defense,Aerospace FFRDC,4,592289,592047,19375,25826,546845,242
10814,r007,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Arroyo Center,All agencies sponsoring FFRDCs,Departments,Department of Defense,Arroyo Center,4,33675,33675,0,0,33675,0
10814,r008,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Communications and Computing,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Communications and Computing,4,20910,20910,557,9773,10580,0
10814,r009,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Naval Analyses,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Naval Analyses,4,44659,44659,208,1944,42507,0
10814,r010,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Lincoln Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Defense,Lincoln Laboratory,4,1126805,1076266,127598,360880,587789,50538
10814,r011,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;Bedford, MA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;Bedford, MA",4,126297,126297,0,3647,122650,0
10814,r012,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;McLean, VA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;McLean, VA",4,150384,150384,366,17555,132463,0
10814,r013,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> National Defense Research Institute,All agencies sponsoring FFRDCs,Departments,Department of Defense,National Defense Research Institute,4,14774,14774,1200,3092,10482,0
10814,r014,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Project Air Force,All agencies sponsoring FFRDCs,Departments,Department of Defense,Project Air Force,4,50582,50582,0,43092,7490,0
10814,r015,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Software Engineering Institute,All agencies sponsoring FFRDCs,Departments,Department of Defense,Software Engineering Institute,4,283330,283330,146,12946,270237,0
10814,r016,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Systems and Analyses Center,All agencies sponsoring FFRDCs,Departments,Department of Defense,Systems and Analyses Center,4,256470,256470,3674,164093,88702,0
10814,r017,All agencies sponsoring FFRDCs -> Departments -> Department of Energy,All agencies sponsoring FFRDCs,Departments,Department of Energy,,3,12611792,9243708,4535532,3256758,1451418,3368084
10814,r018,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Ames Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Ames Laboratory,4,64414,34996,31907,2980,110,29418
10814,r019,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Argonne National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Argonne National Laboratory,4,902426,776723,632838,79550,64334,125703
10814,r020,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Brookhaven National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Brookhaven National Laboratory,4,922670,571657,553158,9791,8707,351013
10814,r021,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Fermi National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Fermi National Accelerator Laboratory,4,871960,320213,319351,70,792,551747
10814,r022,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Idaho National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Idaho National Laboratory,4,845155,496903,10742,372532,113628,348252
10814,r023,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Berkeley National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Berkeley National Laboratory,4,1262014,954580,802822,77778,73980,307434
10814,r024,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Livermore National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Livermore National Laboratory,4,1355912,1139545,92875,899544,147126,216367
10814,r025,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Los Alamos National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Los Alamos National Laboratory,4,1000466,923009,141181,647466,134361,77458
10814,r026,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> National Renewable Energy Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,National Renewable Energy Laboratory,4,475884,427283,30459,169840,226984,48601
10814,r027,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Oak Ridge National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Oak Ridge National Laboratory,4,2094472,1281667,916947,183947,180774,812805
10814,r028,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Pacific Northwest National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Pacific Northwest National Laboratory,4,588882,559924,256444,164320,139160,28958
10814,r029,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Princeton Plasma Physics Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Princeton Plasma Physics Laboratory,4,155825,104751,104535,216,0,51074
10814,r030,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> SLAC National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,SLAC National Accelerator Laboratory,4,642366,371157,363685,4965,2507,271209
10814,r031,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Sandia National Laboratories,All agencies sponsoring FFRDCs,Departments,Department of Energy,Sandia National Laboratories,4,1029350,990269,103915,615598,270756,39081
10814,r032,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Savannah River National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Savannah River National Laboratory,4,128955,123978,8964,26885,88129,4977
10814,r033,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Thomas Jefferson National Accelerator Facility,All agencies sponsoring FFRDCs,Departments,Department of Energy,Thomas Jefferson National Accelerator Facility,4,271042,167054,165707,1276,70,103988
10814,r034,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,,3,671265,671265,336780,334485,0,0
10814,r035,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services -> CMS Alliance to Modernize Healthcare,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,CMS Alliance to Modernize Healthcare,4,16909,16909,8488,8421,0,0
10814,r036,All agencies sponsoring FFRDCs -> Departments -> Department of Health and Human Services -> Frederick National Laboratory for Cancer Research,All agencies sponsoring FFRDCs,Departments,Department of Health and Human Services,Frederick National Laboratory for Cancer Research,4,654356,654356,328292,326065,0,0
10814,r037,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,,3,31991,21895,10537,10553,805,10096
10814,r038,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Operational Analysis Center,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Operational Analysis Center,4,13142,8066,4138,3125,803,5076
10814,r039,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Systems Engineering and Development Institute,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Systems Engineering and Development Institute,4,18847,13827,6399,7428,0,5019
10814,r040,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> National Biodefense Analysis and Countermeasures Center,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,National Biodefense Analysis and Countermeasures Center,4,2,2,0,0,2,0
10814,r041,All agencies sponsoring FFRDCs -> Departments -> Department of Justice,All agencies sponsoring FFRDCs,Departments,Department of Justice,,3,75756,75756,0,1443,74313,0
10814,r042,All agencies sponsoring FFRDCs -> Departments -> Department of Justice -> Judiciary Engineering and Modernization Center,All agencies sponsoring FFRDCs,Departments,Department of Justice,Judiciary Engineering and Modernization Center,4,75756,75756,0,1443,74313,0
10814,r043,All agencies sponsoring FFRDCs -> Departments -> Department of Transportation,All agencies sponsoring FFRDCs,Departments,Department of Transportation,,3,13146,13146,0,0,13146,0
10814,r044,All agencies sponsoring FFRDCs -> Departments -> Department of Transportation -> Center for Advanced Aviation System Development,All agencies sponsoring FFRDCs,Departments,Department of Transportation,Center for Advanced Aviation System Development,4,13146,13146,0,0,13146,0
10814,r045,"All agencies sponsoring FFRDCs -> Departments -> Departments of Treasury and Veterans Affairs, and the Social Security Administration",All agencies sponsoring FFRDCs,Departments,"Departments of Treasury and Veterans Affairs, and the Social Security Administration",,3,50440,50440,1523,3122,45795,0
10814,r046,"All agencies sponsoring FFRDCs -> Departments -> Departments of Treasury and Veterans Affairs, and the Social Security Administration -> Center for Enterprise Modernization",All agencies sponsoring FFRDCs,Departments,"Departments of Treasury and Veterans Affairs, and the Social Security Administration",Center for Enterprise Modernization,4,50440,50440,1523,3122,45795,0
10814,r047,All agencies sponsoring FFRDCs -> Other agencies,All agencies sponsoring FFRDCs,Other agencies,,,2,,,,,,
10814,r048,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,,3,2289720,2281720,1377899,126555,777266,8000
10814,r049,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration -> Jet Propulsion Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,Jet Propulsion Laboratory,4,2289720,2281720,1377899,126555,777266,8000
10814,r050,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,,3,334246,334246,315382,6019,12845,0.05
10814,r051,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> Green Bank Observatory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,Green Bank Observatory,4,15530,15530,15530,0,0,0
