table_id,row_id,_b_industry_b_full_path,_b_industry_b_level_1,_b_industry_b_level_2,_b_industry_b_level_3,_b_industry_b_level_4,_b_industry_b_level_5,_b_industry_b_hierarchy_depth,field_isic_rev_4_code,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10761,r001,&nbsp;,&nbsp;,,,,,1,,Billions of dollars,,,,,,,,,,,,,,,,,,,,
10761,r002,GDP,GDP,,,,,1,,10929,11457,12217,13039,13816,14474,14770,14478,15049,15600,16254,16881,17608,18295,18805,19612,20657,21521,21323,23594,25744
10761,r003,GDP -> All manufacturing,GDP,All manufacturing,,,,2,,1495,1551,1637,1721,1823,1877,1833,1730,1829,1906,1968,2032,2089,2167,2139,2236,2373,2409,2279,2541,2894
10761,r004,GDP -> Total private services,GDP,Total private services,,,,2,,5930,6171,6541,7038,7416,7769,7887,7742,8056,8355,8815,9132,9578,10094,10454,10867,11483,12074,11998,13357,14320
10761,r005,GDP -> Total private services -> All KTI industries,GDP,Total private services,All KTI industries,,,3,,1080,1115,1167,1215,1301,1353,1386,1352,1483,1566,1614,1698,1769,1856,1933,2029,2181,2287,2338,2584,2886
10761,r006,GDP -> Total private services -> All KTI industries -> KTI manufacturing,GDP,Total private services,All KTI industries,KTI manufacturing,,4,,767,799,827,857,926,962,939,904,991,1028,1055,1099,1129,1171,1195,1236,1295,1335,1300,1402,1595
10761,r007,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Chemicals and chemical products,GDP,Total private services,All KTI industries,KTI manufacturing,Chemicals and chemical products,5,20,110,110,121,119,136,145,142,144,172,175,181,188,190,186,199,201,211,213,202,222,258
10761,r008,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Pharmaceuticals, medicinal chemical, and botanical products ",GDP,Total private services,All KTI industries,KTI manufacturing,"Pharmaceuticals, medicinal chemical, and botanical products ",5,21,97,101,106,104,118,123,124,144,131,131,124,133,140,148,158,162,166,184,199,218,234
10761,r009,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Weapons and ammunition,GDP,Total private services,All KTI industries,KTI manufacturing,Weapons and ammunition,5,252,2,3,3,3,4,3,4,4,4,5,6,6,6,6,7,6,6,7,8,8,9
10761,r010,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Computer, electronic, and optical products ",GDP,Total private services,All KTI industries,KTI manufacturing,"Computer, electronic, and optical products ",5,26,173,193,201,212,225,230,233,226,241,240,244,247,254,269,271,283,308,313,320,338,380
